time,Houston,pts.away,score,pts.home,Indiana
3:28.0,,,93-111,2,M. Turner makes 2-pt shot from 8 ft (assist by J. Teague)
3:08.0,Turnover by M. Harrell (bad pass; steal by M. Turner),,93-111,,
3:04.0,,,93-111,,Offensive charge foul by T. Young
3:04.0,,,93-111,,Turnover by T. Young (offensive foul)
2:52.0,Turnover by P. Beverley (bad pass; steal by M. Turner),,93-111,,
2:33.0,,,93-113,2,J. Teague makes 2-pt shot from 2 ft
2:33.0,Houston full timeout,,93-113,,
2:33.0,,,93-113,,A. Brooks enters the game for P. George
2:33.0,,,93-113,,J. Young enters the game for T. Young
2:33.0,,,93-113,,G. Robinson enters the game for M. Turner
2:33.0,,,93-113,,G. Niang enters the game for J. Teague
2:33.0,,,93-113,,R. Christmas enters the game for M. Ellis
2:33.0,K. McDaniels enters the game for R. Anderson,,93-113,,
2:33.0,B. Brown enters the game for P. Beverley,,93-113,,
2:33.0,T. Ennis enters the game for E. Gordon,,93-113,,
2:26.0,M. Harrell misses 2-pt shot from 4 ft (block by R. Christmas),,93-113,,
2:24.0,,,93-113,,Defensive rebound by R. Christmas
2:04.0,,,93-115,2,G. Niang makes 2-pt shot from 3 ft
1:55.0,B. Brown makes 3-pt shot from 28 ft (assist by T. Ennis),3,96-115,,
1:32.0,,,96-115,,J. Young misses 3-pt shot from 27 ft
1:31.0,,,96-115,,Offensive rebound by R. Christmas
1:31.0,,,96-115,,Shooting foul by M. Harrell (drawn by R. Christmas)
1:31.0,,,96-116,1,R. Christmas makes free throw 1 of 2
1:31.0,,,96-117,1,R. Christmas makes free throw 2 of 2
1:19.0,B. Brown makes 3-pt shot from 29 ft (assist by M. Harrell),3,99-117,,
1:08.0,,,99-117,,Shooting foul by M. Harrell (drawn by R. Christmas)
1:08.0,,,99-117,,R. Christmas misses free throw 1 of 2
1:08.0,,,99-117,,Offensive rebound by Team
1:08.0,,,99-118,1,R. Christmas makes free throw 2 of 2
0:57.0,T. Ennis makes 2-pt shot from 1 ft,2,101-118,,
0:37.0,,,101-120,2,R. Christmas makes 2-pt shot from 2 ft (assist by A. Brooks)
0:17.0,B. Brown misses 2-pt shot from 13 ft,,101-120,,
0:17.0,,,101-120,,Defensive rebound by G. Robinson
0:00.0,End of 4th quarter,,,,End of 4th quarter
