time,Minnesota,pts.away,score,pts.home,Sacramento
3:18.0,R. Rubio misses 2-pt shot from 4 ft,,97-84,,
3:17.0,Offensive rebound by A. Wiggins,,97-84,,
3:17.0,A. Wiggins misses 2-pt shot from 2 ft,,97-84,,
3:16.0,,,97-84,,Defensive rebound by T. Evans
3:08.0,,,97-84,,B. Hield misses 3-pt shot from 23 ft
3:07.0,Defensive rebound by K. Towns,,97-84,,
3:03.0,,,97-84,,Shooting block foul by T. Evans (drawn by A. Wiggins)
3:03.0,A. Wiggins makes free throw 1 of 2,1,98-84,,
3:03.0,A. Wiggins makes free throw 2 of 2,1,99-84,,
2:50.0,,,99-84,,Turnover by W. Cauley-Stein (bad pass; steal by N. Bjelica)
2:26.0,K. Towns makes 2-pt shot at rim (assist by N. Bjelica),2,101-84,,
2:26.0,,,101-84,,Sacramento full timeout
2:26.0,,,101-84,,B. McLemore enters the game for W. Cauley-Stein
2:26.0,,,101-84,,L. Galloway enters the game for T. Lawson
2:26.0,,,101-84,,G. Papagiannis enters the game for T. Evans
2:05.0,,,101-84,,B. Hield misses 2-pt shot from 22 ft
2:04.0,Defensive rebound by A. Wiggins,,101-84,,
1:43.0,K. Towns misses 2-pt shot from 5 ft,,101-84,,
1:42.0,,,101-84,,Defensive rebound by S. Labissiere
1:33.0,,,101-84,,B. Hield misses 3-pt shot from 24 ft
1:33.0,,,101-84,,Offensive rebound by S. Labissiere
1:33.0,,,101-84,,S. Labissiere misses 2-pt shot from 4 ft
1:32.0,Defensive rebound by K. Towns,,101-84,,
1:13.0,Turnover by R. Rubio (bad pass),,101-84,,
1:13.0,K. Dunn enters the game for K. Towns,,101-84,,
1:13.0,S. Muhammad enters the game for A. Wiggins,,101-84,,
1:03.0,,,101-84,,L. Galloway misses 3-pt shot from 25 ft
1:02.0,,,101-84,,Offensive rebound by S. Labissiere
0:59.0,,,101-84,,Shooting foul by N. Bjelica (drawn by B. Hield)
0:59.0,,,101-84,,B. Hield misses free throw 1 of 2
0:59.0,,,101-84,,Offensive rebound by Team
0:59.0,,,101-85,1,B. Hield makes free throw 2 of 2
0:45.0,Shooting foul by B. McLemore (drawn by S. Muhammad),,101-85,,
0:45.0,S. Muhammad makes free throw 1 of 2,1,102-85,,
0:45.0,S. Muhammad misses free throw 2 of 2,,102-85,,
0:44.0,Offensive rebound by N. Bjelica,,102-85,,
0:27.0,N. Bjelica misses 3-pt shot from 26 ft,,102-85,,
0:26.0,,,102-85,,Defensive rebound by S. Labissiere
0:19.0,,,102-88,3,B. Hield makes 3-pt shot from 26 ft (assist by L. Galloway)
0:00.0,End of 4th quarter,,,,End of 4th quarter
