time,Phoenix,pts.away,score,pts.home,Orlando
1:30.0,B. Knight makes 3-pt shot from 26 ft,3,88-80,,
1:18.0,,,88-82,2,N. Vucevic makes 2-pt shot from 6 ft (assist by E. Fournier)
1:01.0,A. Len misses 2-pt shot at rim (block by S. Ibaka),,88-82,,
0:59.0,,,88-82,,Defensive rebound by N. Vucevic
0:56.0,,,88-82,,Shooting foul by D. Booker (drawn by E. Payton)
0:56.0,,,88-83,1,E. Payton makes free throw 1 of 2
0:56.0,,,88-84,1,E. Payton makes free throw 2 of 2
0:31.0,E. Bledsoe misses 2-pt shot from 16 ft,,88-84,,
0:29.0,,,88-84,,Defensive rebound by N. Vucevic
0:18.0,Personal foul by E. Bledsoe (drawn by E. Fournier),,88-84,,
0:18.0,,,88-84,,E. Fournier misses free throw 1 of 2
0:18.0,,,88-84,,Offensive rebound by Team
0:18.0,,,88-85,1,E. Fournier makes free throw 2 of 2
0:16.0,,,88-85,,Personal foul by E. Payton (drawn by E. Bledsoe)
0:16.0,E. Bledsoe makes free throw 1 of 2,1,89-85,,
0:16.0,E. Bledsoe makes free throw 2 of 2,1,90-85,,
0:16.0,,,90-85,,Orlando full timeout
0:16.0,D. Bender enters the game for A. Len,,90-85,,
0:09.0,,,90-85,,E. Payton misses 2-pt shot from 1 ft
0:07.0,Defensive rebound by D. Booker,,90-85,,
0:06.0,,,90-85,,Personal foul by D. Augustin (drawn by D. Booker)
0:06.0,D. Booker makes free throw 1 of 2,1,91-85,,
0:06.0,D. Booker makes free throw 2 of 2,1,92-85,,
0:06.0,,,92-85,,Orlando full timeout
0:05.0,,,92-87,2,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton)
0:00.0,End of 4th quarter,,,,End of 4th quarter
