time,Golden State,pts.away,score,pts.home,Portland
0:55.0,,,51-65,,Turnover by N. Vonleh (offensive foul)
0:35.0,S. Curry makes 3-pt shot from 27 ft,3,54-65,,
0:24.0,,,54-67,2,D. Lillard makes 2-pt shot from 12 ft
0:01.0,S. Curry misses 2-pt shot from 21 ft,,54-67,,
0:00.0,,,54-67,,Defensive rebound by C. McCollum
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,K. Thompson makes 3-pt shot from 27 ft (assist by Z. Pachulia),3,57-67,,
11:23.0,,,57-70,3,E. Turner makes 3-pt shot from 24 ft (assist by J. Nurkic)
11:12.0,Z. Pachulia misses 2-pt shot from 18 ft,,57-70,,
11:12.0,,,57-70,,Defensive rebound by J. Nurkic
10:49.0,,,57-70,,D. Lillard misses 3-pt shot from 26 ft
10:48.0,Defensive rebound by Z. Pachulia,,57-70,,
10:38.0,Turnover by K. Thompson (bad pass),,57-70,,
10:24.0,,,57-70,,C. McCollum misses 2-pt shot from 12 ft
10:24.0,Defensive rebound by Z. Pachulia,,57-70,,
10:12.0,P. McCaw misses 3-pt shot from 26 ft,,57-70,,
10:12.0,Offensive rebound by Team,,57-70,,
10:12.0,,,57-70,,Loose ball foul by D. Lillard (drawn by K. Thompson)
10:02.0,S. Curry misses 3-pt shot from 23 ft,,57-70,,
10:02.0,,,57-70,,Defensive rebound by Team
9:42.0,,,57-70,,Turnover by J. Nurkic (bad pass; steal by K. Thompson)
9:36.0,P. McCaw makes 2-pt shot from 3 ft,2,59-70,,
9:25.0,,,59-72,2,C. McCollum makes 2-pt shot from 8 ft
9:09.0,D. Green misses 3-pt shot from 26 ft,,59-72,,
9:09.0,,,59-72,,Defensive rebound by J. Nurkic
8:48.0,,,59-72,,J. Nurkic misses 3-pt shot from 28 ft
8:47.0,Defensive rebound by P. McCaw,,59-72,,
8:36.0,S. Curry misses 2-pt shot from 12 ft,,59-72,,
8:34.0,Offensive rebound by P. McCaw,,59-72,,
8:34.0,P. McCaw misses 2-pt shot from 1 ft,,59-72,,
8:33.0,,,59-72,,Defensive rebound by J. Nurkic
8:30.0,,,59-75,3,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard)
8:30.0,Golden State full timeout,,59-75,,
8:30.0,A. Iguodala enters the game for Z. Pachulia,,59-75,,
8:15.0,S. Curry makes 3-pt shot from 24 ft (assist by P. McCaw),3,62-75,,
7:54.0,,,62-75,,J. Nurkic misses 2-pt shot from 1 ft
7:53.0,,,62-75,,Offensive rebound by Team
7:53.0,,,62-75,,N. Vonleh enters the game for J. Nurkic
7:43.0,,,62-75,,E. Turner misses 2-pt shot from 10 ft
7:43.0,,,62-75,,Offensive rebound by M. Harkless
7:35.0,,,62-75,,D. Lillard misses 2-pt shot from 12 ft
7:34.0,Defensive rebound by S. Curry,,62-75,,
7:29.0,S. Curry misses 3-pt shot from 26 ft,,62-75,,
7:28.0,,,62-75,,Defensive rebound by C. McCollum
7:20.0,,,62-75,,C. McCollum misses 2-pt shot from 7 ft
7:19.0,,,62-75,,Offensive rebound by C. McCollum
7:19.0,,,62-77,2,C. McCollum makes 2-pt shot at rim
7:12.0,Shooting foul by M. Harkless (drawn by A. Iguodala),,62-77,,
7:12.0,A. Iguodala makes free throw 1 of 2,1,63-77,,
7:12.0,A. Iguodala makes free throw 2 of 2,1,64-77,,
6:57.0,,,64-80,3,C. McCollum makes 3-pt shot from 26 ft (assist by N. Vonleh)
6:41.0,Shooting foul by M. Harkless (drawn by A. Iguodala),,64-80,,
6:41.0,A. Iguodala makes free throw 1 of 2,1,65-80,,
6:41.0,A. Iguodala makes free throw 2 of 2,1,66-80,,
6:20.0,,,66-82,2,D. Lillard makes 2-pt shot from 1 ft
6:08.0,J. McGee enters the game for P. McCaw,,66-82,,
6:03.0,S. Curry makes 2-pt shot from 1 ft (assist by D. Green),2,68-82,,
5:50.0,,,68-82,,Offensive foul by N. Vonleh
5:50.0,,,68-82,,Turnover by N. Vonleh (offensive foul)
5:36.0,J. McGee makes 2-pt shot at rim (assist by D. Green),2,70-82,,
5:36.0,,,70-82,,Portland full timeout
5:36.0,,,70-82,,A. Crabbe enters the game for E. Turner
5:36.0,,,70-82,,A. Aminu enters the game for N. Vonleh
5:16.0,Personal foul by K. Thompson (drawn by D. Lillard),,70-82,,
5:07.0,,,70-82,,A. Aminu misses 3-pt shot from 27 ft
5:06.0,Defensive rebound by A. Iguodala,,70-82,,
4:51.0,A. Iguodala misses 3-pt shot from 26 ft,,70-82,,
4:51.0,,,70-82,,Defensive rebound by Team
4:51.0,Loose ball foul by J. McGee (drawn by A. Aminu),,70-82,,
4:36.0,,,70-82,,M. Harkless misses 2-pt shot from 2 ft
4:35.0,Defensive rebound by D. Green,,70-82,,
4:26.0,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry),3,73-82,,
4:09.0,,,73-82,,C. McCollum misses 2-pt shot from 11 ft
4:08.0,Defensive rebound by D. Green,,73-82,,
4:04.0,S. Curry misses 2-pt shot from 2 ft (block by A. Aminu),,73-82,,
4:01.0,,,73-82,,Defensive rebound by D. Lillard
3:55.0,,,73-82,,D. Lillard misses 2-pt shot from 12 ft
3:54.0,Defensive rebound by J. McGee,,73-82,,
3:51.0,Shooting foul by M. Harkless (drawn by K. Thompson),,73-82,,
3:51.0,K. Thompson makes free throw 1 of 2,1,74-82,,
3:51.0,K. Thompson makes free throw 2 of 2,1,75-82,,
3:35.0,,,75-82,,Turnover by C. McCollum (bad pass; steal by K. Thompson)
3:29.0,K. Thompson makes 3-pt shot from 27 ft,3,78-82,,
3:29.0,,,78-82,,Portland full timeout
3:29.0,,,78-82,,E. Turner enters the game for M. Harkless
3:29.0,,,78-82,,N. Vonleh enters the game for C. McCollum
3:17.0,Jump ball: D. Green vs. D. Lillard (A. Aminu gains possession),,,,Jump ball: D. Green vs. D. Lillard (A. Aminu gains possession)
3:09.0,,,78-82,,Shooting foul by J. McGee (drawn by E. Turner)
3:09.0,,,78-83,1,E. Turner makes free throw 1 of 2
3:09.0,,,78-83,,E. Turner misses free throw 2 of 2
3:08.0,Defensive rebound by D. Green,,78-83,,
2:50.0,K. Thompson makes 3-pt shot from 27 ft (assist by S. Curry),3,81-83,,
2:49.0,Violation by Team (jump ball),,81-83,,
2:33.0,,,81-83,,D. Lillard misses 3-pt shot from 24 ft
2:32.0,,,81-83,,Offensive rebound by E. Turner
2:32.0,,,81-83,,E. Turner misses 3-pt shot from 24 ft
2:31.0,Defensive rebound by S. Curry,,81-83,,
2:27.0,A. Iguodala makes 2-pt shot at rim (assist by S. Curry),2,83-83,,
2:12.0,,,83-83,,A. Crabbe misses 3-pt shot from 26 ft
2:12.0,Defensive rebound by A. Iguodala,,83-83,,
2:01.0,J. McGee makes 2-pt shot at rim (assist by D. Green),2,85-83,,
1:32.0,,,85-83,,A. Aminu misses 3-pt shot from 26 ft
1:31.0,Defensive rebound by A. Iguodala,,85-83,,
1:23.0,K. Thompson misses 3-pt shot from 23 ft,,85-83,,
1:23.0,,,85-83,,Defensive rebound by D. Lillard
1:12.0,,,85-86,3,A. Aminu makes 3-pt shot from 26 ft (assist by E. Turner)
0:58.0,J. McGee makes 2-pt shot from 1 ft (assist by D. Green),2,87-86,,
0:36.0,,,87-86,,Turnover by A. Aminu (bad pass; steal by D. Green)
0:32.0,K. Thompson misses 2-pt shot from 2 ft (block by D. Lillard),,87-86,,
0:30.0,,,87-86,,Defensive rebound by A. Crabbe
0:18.0,,,87-86,,Shooting foul by K. Thompson (drawn by D. Lillard)
0:18.0,,,87-87,1,D. Lillard makes free throw 1 of 2
0:18.0,,,87-88,1,D. Lillard makes free throw 2 of 2
0:18.0,I. Clark enters the game for J. McGee,,87-87,,
0:05.0,K. Thompson misses 3-pt shot from 25 ft,,87-88,,
0:03.0,,,87-88,,Defensive rebound by A. Aminu
0:00.0,,,87-88,,D. Lillard misses 3-pt shot from 46 ft
0:00.0,,,87-88,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,87-90,2,E. Turner makes 2-pt shot from 16 ft (assist by A. Aminu)
11:18.0,P. McCaw makes 2-pt shot from 6 ft (assist by D. West),2,89-90,,
11:03.0,,,89-90,,D. Lillard misses 3-pt shot from 26 ft
11:00.0,Defensive rebound by D. West,,89-90,,
10:48.0,D. West makes 2-pt shot from 18 ft (assist by P. McCaw),2,91-90,,
10:30.0,,,91-90,,A. Aminu misses 2-pt shot at rim (block by D. West)
10:27.0,Defensive rebound by P. McCaw,,91-90,,
10:27.0,Shooting foul by D. Lillard (drawn by D. Green),,91-90,,
10:27.0,D. Green makes free throw 1 of 2,1,92-90,,
10:27.0,D. Green makes free throw 2 of 2,1,93-90,,
10:27.0,,,92-90,,J. Nurkic enters the game for N. Vonleh
10:27.0,,,92-90,,C. McCollum enters the game for D. Lillard
10:10.0,,,93-92,2,A. Aminu makes 2-pt shot at rim (assist by J. Nurkic)
9:54.0,D. West misses 2-pt shot from 21 ft,,93-92,,
9:53.0,,,93-92,,Defensive rebound by J. Nurkic
9:39.0,,,93-92,,A. Aminu misses 3-pt shot from 27 ft
9:39.0,Defensive rebound by A. Iguodala,,93-92,,
9:35.0,Shooting foul by A. Crabbe (drawn by P. McCaw),,93-92,,
9:35.0,P. McCaw makes free throw 1 of 2,1,94-92,,
9:35.0,P. McCaw misses free throw 2 of 2,,94-92,,
9:34.0,,,94-92,,Defensive rebound by J. Nurkic
9:25.0,,,94-95,3,C. McCollum makes 3-pt shot from 26 ft
9:07.0,D. Green misses 3-pt shot from 27 ft,,94-95,,
9:06.0,,,94-95,,Defensive rebound by J. Nurkic
8:52.0,,,94-95,,A. Aminu misses 2-pt shot from 16 ft
8:52.0,Defensive rebound by A. Iguodala,,94-95,,
8:35.0,A. Iguodala misses 2-pt shot from 6 ft,,94-95,,
8:34.0,,,94-95,,Defensive rebound by J. Nurkic
8:28.0,,,94-95,,C. McCollum misses 3-pt shot from 26 ft
8:25.0,Defensive rebound by A. Iguodala,,94-95,,
8:22.0,Golden State full timeout,,94-95,,
8:22.0,K. Thompson enters the game for D. Green,,94-95,,
8:11.0,Shooting foul by A. Crabbe (drawn by K. Thompson),,94-95,,
8:11.0,K. Thompson misses free throw 1 of 2,,94-95,,
8:11.0,Offensive rebound by Team,,94-95,,
8:11.0,K. Thompson makes free throw 2 of 2,1,95-95,,
8:01.0,,,95-95,,Shooting foul by P. McCaw (drawn by E. Turner)
8:01.0,,,95-95,,E. Turner misses free throw 1 of 2
8:01.0,,,95-95,,Offensive rebound by Team
8:01.0,,,95-96,1,E. Turner makes free throw 2 of 2
7:43.0,A. Iguodala misses 3-pt shot from 25 ft,,95-96,,
7:42.0,,,95-96,,Defensive rebound by A. Crabbe
7:32.0,,,95-96,,Shooting foul by D. West (drawn by E. Turner)
7:32.0,,,95-96,,E. Turner misses free throw 1 of 2
7:32.0,,,95-96,,Offensive rebound by Team
7:32.0,,,95-96,,E. Turner misses free throw 2 of 2
7:32.0,D. Green enters the game for A. Iguodala,,95-96,,
7:32.0,S. Curry enters the game for P. McCaw,,95-96,,
7:32.0,,,95-96,,D. Lillard enters the game for A. Crabbe
7:30.0,Defensive rebound by D. Green,,95-96,,
7:21.0,D. West misses 2-pt shot from 16 ft,,95-96,,
7:20.0,,,95-96,,Defensive rebound by D. Lillard
7:20.0,Personal foul by D. West (drawn by D. Lillard),,95-96,,
7:10.0,,,95-96,,D. Lillard misses 3-pt shot from 27 ft
7:10.0,Defensive rebound by K. Thompson,,95-96,,
7:01.0,S. Curry makes 3-pt shot from 26 ft,3,98-96,,
6:38.0,,,98-96,,A. Aminu misses 2-pt shot from 3 ft (block by D. Green)
6:36.0,Defensive rebound by D. Green,,98-96,,
