time,San Antonio,pts.away,score,pts.home,Toronto
5:42.0,,,96-95,2,K. Lowry makes 2-pt shot from 10 ft
5:29.0,M. Ginobili misses 2-pt shot from 10 ft (block by J. Valanciunas),,96-95,,
5:28.0,,,96-95,,Defensive rebound by J. Valanciunas
5:19.0,,,96-97,2,T. Ross makes 2-pt shot from 2 ft
5:04.0,L. Aldridge misses 2-pt shot from 4 ft,,96-97,,
5:02.0,Offensive rebound by K. Anderson,,96-97,,
5:02.0,K. Anderson makes 2-pt shot from 1 ft,2,98-97,,
4:58.0,Official timeout,,98-97,,
4:58.0,B. Forbes enters the game for K. Anderson,,98-97,,
4:47.0,,,98-99,2,K. Lowry makes 2-pt shot from 8 ft
4:33.0,P. Mills misses 2-pt shot from 14 ft,,98-99,,
4:32.0,,,98-99,,Defensive rebound by N. Powell
4:23.0,,,98-102,3,T. Ross makes 3-pt shot from 25 ft (assist by N. Powell)
4:06.0,P. Mills makes 3-pt shot from 25 ft,3,101-102,,
3:50.0,,,101-102,,K. Lowry misses 3-pt shot from 25 ft
3:50.0,,,101-102,,Offensive rebound by J. Valanciunas
3:42.0,,,101-104,2,K. Lowry makes 2-pt shot from 2 ft (assist by J. Valanciunas)
3:25.0,L. Aldridge makes 2-pt shot from 4 ft,2,103-104,,
3:25.0,Shooting foul by J. Valanciunas (drawn by L. Aldridge),,103-104,,
3:25.0,L. Aldridge makes free throw 1 of 1,1,104-104,,
3:25.0,K. Anderson enters the game for M. Ginobili,,103-104,,
3:25.0,D. Murray enters the game for B. Forbes,,103-104,,
3:08.0,,,104-104,,K. Lowry misses 2-pt shot from 10 ft
3:07.0,Defensive rebound by D. Green,,104-104,,
2:49.0,D. Green misses 2-pt shot from 5 ft (block by T. Ross),,104-104,,
2:49.0,,,104-104,,Defensive rebound by Team
2:49.0,San Antonio full timeout,,104-104,,
2:49.0,Jump ball: D. Green vs. T. Ross (N. Powell gains possession),,,,Jump ball: D. Green vs. T. Ross (N. Powell gains possession)
2:34.0,,,104-104,,Turnover by J. Valanciunas (traveling)
2:13.0,L. Aldridge misses 2-pt shot from 19 ft,,104-104,,
2:13.0,,,104-104,,Defensive rebound by K. Lowry
1:59.0,,,104-104,,K. Lowry misses 2-pt shot from 3 ft
1:59.0,Defensive rebound by D. Murray,,104-104,,
1:49.0,D. Green misses 3-pt shot from 23 ft,,104-104,,
1:49.0,Offensive rebound by K. Anderson,,104-104,,
1:29.0,D. Murray makes 2-pt shot from 7 ft (assist by L. Aldridge),2,106-104,,
1:24.0,,,106-104,,Toronto full timeout
1:17.0,,,106-104,,T. Ross misses 3-pt shot from 25 ft
1:17.0,Defensive rebound by Team,,106-104,,
1:03.0,Turnover by K. Anderson (bad pass; steal by C. Joseph),,106-104,,
0:46.0,,,106-104,,N. Powell misses 2-pt shot from 1 ft
0:45.0,Defensive rebound by L. Aldridge,,106-104,,
0:30.0,D. Green misses 3-pt shot from 24 ft (block by T. Ross),,106-104,,
0:30.0,Offensive rebound by Team,,106-104,,
0:30.0,San Antonio full timeout,,106-104,,
0:25.0,D. Green misses 3-pt shot from 26 ft,,106-104,,
0:25.0,,,106-104,,Defensive rebound by J. Valanciunas
0:11.0,,,106-104,,T. Ross misses 3-pt shot from 25 ft
0:11.0,Defensive rebound by Team,,106-104,,
0:11.0,,,106-104,,Personal take foul by C. Joseph (drawn by L. Aldridge)
0:11.0,L. Aldridge makes free throw 1 of 2,1,107-104,,
0:11.0,L. Aldridge misses free throw 2 of 2,,107-104,,
0:11.0,,,107-104,,Defensive rebound by L. Nogueira
0:11.0,,,107-104,,L. Nogueira enters the game for C. Joseph
0:10.0,,,107-104,,Toronto full timeout
0:10.0,,,107-104,,C. Joseph enters the game for L. Nogueira
0:10.0,,,107-104,,Toronto full timeout
0:06.0,,,107-106,2,N. Powell makes 2-pt shot at rim
0:06.0,San Antonio full timeout,,107-106,,
0:06.0,San Antonio full timeout,,107-106,,
0:06.0,,,107-106,,L. Nogueira enters the game for J. Valanciunas
0:05.0,,,107-106,,Personal take foul by C. Joseph (drawn by L. Aldridge)
0:05.0,L. Aldridge makes free throw 1 of 2,1,108-106,,
0:05.0,L. Aldridge misses free throw 2 of 2,,108-106,,
0:04.0,,,108-106,,Defensive rebound by L. Nogueira
0:00.0,,,108-106,,N. Powell misses 3-pt shot from 33 ft
0:00.0,,,108-106,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
