time,Memphis,pts.away,score,pts.home,Utah
0:23.0,Memphis full timeout,,98-94,,
0:23.0,Memphis full timeout,,98-94,,
0:19.0,,,98-94,,Personal foul by S. Mack (drawn by M. Conley)
0:19.0,M. Conley makes free throw 1 of 2,1,99-94,,
0:19.0,M. Conley makes free throw 2 of 2,1,100-94,,
0:10.0,,,100-94,,G. Hayward misses 2-pt shot from 2 ft
0:10.0,,,100-94,,Offensive rebound by S. Mack
0:10.0,,,100-96,2,S. Mack makes 2-pt shot from 1 ft
0:08.0,,,100-96,,Personal foul by B. Diaw (drawn by V. Carter)
0:08.0,V. Carter makes free throw 1 of 2,1,101-96,,
0:08.0,V. Carter makes free throw 2 of 2,1,102-96,,
0:08.0,,,102-96,,Utah full timeout
0:06.0,,,102-96,,T. Lyles misses 3-pt shot from 22 ft
0:05.0,Defensive rebound by V. Carter,,102-96,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
