time,Milwaukee,pts.away,score,pts.home,LA Lakers
4:36.0,Turnover by M. Brogdon (bad pass),,99-93,,
4:36.0,T. Snell enters the game for J. Terry,,99-93,,
4:24.0,,,99-93,,Turnover by J. Randle (traveling)
4:06.0,M. Teletovic misses 3-pt shot from 26 ft,,99-93,,
4:05.0,,,99-93,,Defensive rebound by J. Randle
4:01.0,,,99-93,,Turnover by J. Randle (lost ball)
4:01.0,,,99-93,,Loose ball foul by J. Randle (drawn by T. Snell)
4:01.0,T. Snell makes free throw 1 of 2,1,100-93,,
4:01.0,T. Snell makes free throw 2 of 2,1,101-93,,
3:39.0,,,101-93,,J. Clarkson misses 3-pt shot from 26 ft
3:38.0,Defensive rebound by M. Brogdon,,101-93,,
3:28.0,Shooting foul by D. Nwaba (drawn by G. Antetokounmpo),,101-93,,
3:28.0,G. Antetokounmpo misses free throw 1 of 2,,101-93,,
3:28.0,Offensive rebound by Team,,101-93,,
3:28.0,G. Antetokounmpo misses free throw 2 of 2,,101-93,,
3:27.0,,,101-93,,Defensive rebound by Team
3:11.0,Personal foul by G. Antetokounmpo (drawn by B. Ingram),,101-93,,
3:00.0,,,101-93,,B. Ingram misses 2-pt shot from 17 ft
2:59.0,Defensive rebound by T. Snell,,101-93,,
2:47.0,M. Teletovic misses 2-pt shot from 2 ft (block by B. Ingram),,101-93,,
2:45.0,,,101-93,,Defensive rebound by L. Nance
2:39.0,,,101-93,,J. Randle misses 2-pt shot from 3 ft
2:38.0,Defensive rebound by Team,,101-93,,
2:38.0,Milwaukee full timeout,,101-93,,
2:38.0,K. Middleton enters the game for J. Henson,,101-93,,
2:23.0,M. Brogdon makes 2-pt shot from 15 ft (assist by M. Teletovic),2,103-93,,
2:02.0,,,103-93,,Turnover by L. Nance (bad pass; steal by M. Brogdon)
1:59.0,,,103-93,,Technical foul by J. Randle
1:59.0,K. Middleton misses technical free throw,,103-93,,
1:59.0,Offensive rebound by Team,,103-93,,
1:43.0,Offensive charge foul by G. Antetokounmpo,,103-93,,
1:43.0,Turnover by G. Antetokounmpo (offensive foul),,103-93,,
1:20.0,,,103-95,2,J. Clarkson makes 2-pt shot from 7 ft
1:06.0,Turnover by G. Antetokounmpo (bad pass; steal by L. Nance),,103-95,,
1:06.0,Loose ball foul by G. Antetokounmpo (drawn by L. Nance),,103-95,,
1:06.0,,,103-96,1,L. Nance makes free throw 1 of 2
1:06.0,,,103-96,,Violation by Team (jump ball)
1:06.0,,,103-97,1,L. Nance makes free throw 2 of 2
0:47.0,Turnover by K. Middleton (bad pass; steal by L. Nance),,103-97,,
0:42.0,,,103-99,2,D. Nwaba makes 2-pt shot from 2 ft
0:42.0,,,103-99,,Shooting foul by M. Teletovic (drawn by D. Nwaba)
0:42.0,,,103-99,,D. Nwaba misses free throw 1 of 1
0:38.0,Defensive rebound by T. Snell,,103-99,,
0:20.0,K. Middleton misses 2-pt shot from 12 ft,,103-99,,
0:19.0,,,103-99,,Defensive rebound by J. Randle
0:12.0,,,103-99,,J. Clarkson misses 3-pt shot from 27 ft
0:11.0,,,103-99,,Offensive rebound by Team
0:11.0,,,103-99,,LA Lakers full timeout
0:11.0,M. Dellavedova enters the game for K. Middleton,,103-99,,
0:11.0,J. Terry enters the game for M. Teletovic,,103-99,,
0:08.0,Personal foul by G. Antetokounmpo (drawn by J. Randle),,103-99,,
0:08.0,,,103-99,,J. Randle misses free throw 1 of 2
0:08.0,,,103-99,,Offensive rebound by Team
0:08.0,,,103-100,1,J. Randle makes free throw 2 of 2
0:08.0,J. Henson enters the game for G. Antetokounmpo,,103-99,,
0:08.0,K. Middleton enters the game for J. Terry,,103-99,,
0:07.0,Milwaukee full timeout,,103-100,,
0:07.0,Milwaukee full timeout,,103-100,,
0:07.0,M. Teletovic enters the game for J. Henson,,103-100,,
0:07.0,Milwaukee full timeout,,103-100,,
0:07.0,J. Terry enters the game for M. Teletovic,,103-100,,
0:06.0,,,103-100,,Personal take foul by D. Nwaba (drawn by M. Brogdon)
0:06.0,M. Brogdon makes free throw 1 of 2,1,104-100,,
0:06.0,M. Brogdon makes free throw 2 of 2,1,105-100,,
0:06.0,,,105-100,,LA Lakers full timeout
0:03.0,,,105-103,3,J. Clarkson makes 3-pt shot from 27 ft (assist by L. Nance)
0:02.0,,,105-103,,Personal take foul by L. Nance (drawn by K. Middleton)
0:02.0,K. Middleton makes free throw 1 of 2,1,106-103,,
0:02.0,K. Middleton makes free throw 2 of 2,1,107-103,,
0:02.0,,,107-103,,LA Lakers full timeout
0:01.0,,,107-103,,J. Clarkson misses 3-pt shot from 27 ft
0:00.0,,,107-103,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
