time,Oklahoma City,pts.away,score,pts.home,Toronto
5:49.0,,,108-79,,Shooting foul by D. McDermott (drawn by D. Wright)
5:49.0,Official timeout,,108-79,,
5:49.0,,,108-79,,D. Wright misses free throw 1 of 1
5:49.0,A. Abrines enters the game for V. Oladipo,,108-79,,
5:48.0,Defensive rebound by D. Sabonis,,108-79,,
5:33.0,A. Abrines misses 3-pt shot from 27 ft,,108-79,,
5:32.0,,,108-79,,Defensive rebound by N. Powell
5:23.0,,,108-79,,N. Powell misses 2-pt shot from 20 ft
5:23.0,Defensive rebound by A. Abrines,,108-79,,
5:07.0,D. McDermott makes 3-pt shot from 23 ft (assist by A. Abrines),3,111-79,,
4:50.0,,,111-82,3,N. Powell makes 3-pt shot from 28 ft (assist by D. Wright)
4:38.0,,,111-82,,Personal foul by N. Powell (drawn by A. Abrines)
4:30.0,A. Abrines makes 3-pt shot from 26 ft (assist by D. Sabonis),3,114-82,,
4:21.0,Personal foul by D. Sabonis (drawn by N. Powell),,114-82,,
4:21.0,J. Grant enters the game for E. Kanter,,114-82,,
4:13.0,,,114-84,2,N. Powell makes 2-pt shot from 4 ft
4:03.0,A. Abrines misses 3-pt shot from 23 ft,,114-84,,
4:02.0,,,114-84,,Defensive rebound by D. Wright
3:41.0,,,114-86,2,P. Siakam makes 2-pt shot from 4 ft
3:28.0,D. McDermott misses 2-pt shot from 4 ft (block by P. Siakam),,114-86,,
3:27.0,,,114-86,,Defensive rebound by F. VanVleet
3:15.0,,,114-89,3,P. Siakam makes 3-pt shot from 25 ft (assist by F. VanVleet)
2:52.0,D. McDermott misses 3-pt shot from 24 ft,,114-89,,
2:52.0,,,114-89,,Defensive rebound by N. Powell
2:46.0,,,114-91,2,N. Powell makes 2-pt shot from 4 ft
2:45.0,Oklahoma City full timeout,,114-91,,
2:45.0,,,114-91,,Toronto full timeout
2:45.0,N. Cole enters the game for D. McDermott,,114-91,,
2:39.0,Turnover by J. Grant (bad pass),,114-91,,
2:24.0,,,114-91,,Turnover by F. VanVleet (bad pass; steal by A. Abrines)
2:08.0,D. Sabonis makes 2-pt shot from 20 ft (assist by A. Abrines),2,116-91,,
1:57.0,Personal foul by D. Sabonis (drawn by D. Wright),,116-91,,
1:57.0,,,116-92,1,D. Wright makes free throw 1 of 2
1:57.0,,,116-93,1,D. Wright makes free throw 2 of 2
1:57.0,D. McDermott enters the game for D. Sabonis,,116-91,,
1:44.0,Turnover by N. Cole (bad pass; steal by F. VanVleet),,116-93,,
1:33.0,,,116-95,2,P. Siakam makes 2-pt shot from 5 ft
1:24.0,Turnover by N. Cole (bad pass; steal by L. Nogueira),,116-95,,
1:21.0,,,116-97,2,F. VanVleet makes 2-pt shot from 3 ft
1:06.0,N. Cole misses 2-pt shot from 2 ft (block by L. Nogueira),,116-97,,
1:06.0,Offensive rebound by Team,,116-97,,
1:03.0,J. Grant makes 2-pt shot from 20 ft (assist by N. Cole),2,118-97,,
0:54.0,,,118-97,,D. Wright misses 2-pt shot from 2 ft
0:54.0,Defensive rebound by D. McDermott,,118-97,,
0:41.0,A. Abrines makes 2-pt shot from 2 ft (assist by D. McDermott),2,120-97,,
0:34.0,,,120-99,2,N. Powell makes 2-pt shot at rim
0:12.0,A. Abrines makes 3-pt shot from 26 ft (assist by N. Cole),3,123-99,,
0:03.0,,,123-102,3,F. VanVleet makes 3-pt shot from 35 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
