time,Washington,pts.away,score,pts.home,Miami
2:01.0,,,101-106,,J. Johnson misses 3-pt shot from 24 ft
2:00.0,,,101-106,,Offensive rebound by Team
1:40.0,,,101-108,2,G. Dragic makes 2-pt shot from 15 ft
1:24.0,J. Wall misses 3-pt shot from 25 ft,,101-108,,
1:23.0,,,101-108,,Defensive rebound by G. Dragic
1:00.0,,,101-108,,G. Dragic misses 2-pt shot from 17 ft
0:59.0,Defensive rebound by M. Gortat,,101-108,,
0:52.0,J. Wall misses 2-pt shot from 2 ft (block by T. Johnson),,101-108,,
0:51.0,,,101-108,,Defensive rebound by H. Whiteside
0:42.0,,,101-110,2,H. Whiteside makes 2-pt shot at rim (assist by T. Johnson)
0:42.0,Washington full timeout,,101-110,,
0:42.0,Offensive foul by M. Gortat,,101-110,,
0:42.0,Turnover by M. Gortat (offensive foul),,101-110,,
0:34.0,Personal foul by M. Morris (drawn by J. Johnson),,101-110,,
0:34.0,,,101-110,,J. Johnson misses free throw 1 of 2
0:34.0,,,101-110,,Offensive rebound by Team
0:34.0,,,101-111,1,J. Johnson makes free throw 2 of 2
0:34.0,Washington full timeout,,101-111,,
0:30.0,M. Morris misses 3-pt shot from 25 ft,,101-111,,
0:29.0,,,101-111,,Defensive rebound by H. Whiteside
0:29.0,Personal foul by B. Beal (drawn by H. Whiteside),,101-111,,
0:29.0,,,101-111,,H. Whiteside misses free throw 1 of 2
0:29.0,,,101-111,,Offensive rebound by Team
0:29.0,,,101-112,1,H. Whiteside makes free throw 2 of 2
0:18.0,M. Morris misses 3-pt shot from 25 ft,,101-112,,
0:17.0,,,101-112,,Defensive rebound by H. Whiteside
0:00.0,End of 4th quarter,,,,End of 4th quarter
