time,Phoenix,pts.away,score,pts.home,Cleveland
5:39.0,,,90-104,,Turnover by K. Irving (bad pass; steal by P. Tucker)
5:31.0,T. Chandler makes 2-pt shot at rim (assist by D. Booker),2,92-104,,
5:09.0,,,92-107,3,C. Frye makes 3-pt shot from 24 ft (assist by I. Shumpert)
4:43.0,D. Booker misses 2-pt shot from 6 ft,,92-107,,
4:42.0,,,92-107,,Defensive rebound by L. James
4:25.0,,,92-109,2,K. Irving makes 2-pt shot from 1 ft (assist by C. Frye)
4:10.0,Turnover by D. Booker (lost ball; steal by K. Irving),,92-109,,
3:59.0,,,92-109,,I. Shumpert misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by P. Tucker,,92-109,,
3:53.0,E. Bledsoe misses 3-pt shot from 26 ft,,92-109,,
3:52.0,,,92-109,,Defensive rebound by C. Frye
3:48.0,,,92-109,,Shooting foul by D. Booker (drawn by L. James)
3:48.0,,,92-110,1,L. James makes free throw 1 of 2
3:48.0,,,92-111,1,L. James makes free throw 2 of 2
3:28.0,T. Warren makes 2-pt shot from 17 ft (assist by P. Tucker),2,94-111,,
3:04.0,,,94-113,2,L. James makes 2-pt shot at rim (assist by K. Irving)
3:04.0,Phoenix full timeout,,94-113,,
3:04.0,,,94-113,,D. Liggins enters the game for K. Irving
2:44.0,D. Booker misses 3-pt shot from 23 ft,,94-113,,
2:43.0,,,94-113,,Defensive rebound by C. Frye
2:27.0,,,94-113,,K. Korver misses 3-pt shot from 25 ft
2:27.0,Defensive rebound by T. Chandler,,94-113,,
2:23.0,E. Bledsoe makes 2-pt shot from 1 ft,2,96-113,,
2:23.0,Shooting foul by I. Shumpert (drawn by E. Bledsoe),,96-113,,
2:23.0,E. Bledsoe makes free throw 1 of 1,1,97-113,,
2:03.0,,,97-116,3,C. Frye makes 3-pt shot from 26 ft (assist by L. James)
2:01.0,,,97-116,,K. Felder enters the game for I. Shumpert
1:47.0,T. Warren makes 2-pt shot from 20 ft (assist by E. Bledsoe),2,99-116,,
1:42.0,,,99-116,,Cleveland full timeout
1:42.0,T. Ulis enters the game for T. Chandler,,99-116,,
1:42.0,A. Len enters the game for D. Booker,,99-116,,
1:42.0,D. Bender enters the game for E. Bledsoe,,99-116,,
1:42.0,M. Chriss enters the game for P. Tucker,,99-116,,
1:42.0,,,99-116,,J. Jones enters the game for L. James
1:42.0,,,99-116,,J. McRae enters the game for C. Frye
1:42.0,,,99-116,,R. Jefferson enters the game for K. Korver
1:37.0,,,99-118,2,K. Felder makes 2-pt shot from 15 ft
1:25.0,Turnover by T. Ulis (traveling),,99-118,,
1:06.0,,,99-118,,D. Liggins misses 3-pt shot from 24 ft
1:06.0,Defensive rebound by A. Len,,99-118,,
0:54.0,T. Ulis makes 2-pt shot from 20 ft,2,101-118,,
0:32.0,,,101-118,,K. Felder misses 2-pt shot from 4 ft (block by A. Len)
0:31.0,Defensive rebound by D. Bender,,101-118,,
0:23.0,A. Len misses 2-pt shot from 16 ft,,101-118,,
0:23.0,Offensive rebound by M. Chriss,,101-118,,
0:23.0,M. Chriss makes 2-pt shot from 1 ft,2,103-118,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
