time,Toronto,pts.away,score,pts.home,Golden State
3:06.0,,,107-114,,K. Thompson misses 3-pt shot from 24 ft
3:06.0,Defensive rebound by K. Lowry,,107-114,,
3:01.0,D. Carroll makes 2-pt shot from 2 ft (assist by K. Lowry),2,109-114,,
3:01.0,,,109-114,,Golden State full timeout
2:45.0,,,109-114,,S. Curry misses 2-pt shot from 2 ft (block by P. Patterson)
2:45.0,,,109-114,,Offensive rebound by Team
2:41.0,,,109-114,,Turnover by S. Curry (bad pass; steal by K. Lowry)
2:41.0,,,109-114,,Personal foul by D. Green (drawn by K. Lowry)
2:23.0,D. Carroll misses 3-pt shot from 25 ft,,109-114,,
2:23.0,Offensive rebound by Team,,109-114,,
2:18.0,T. Ross misses 2-pt shot from 23 ft,,109-114,,
2:17.0,,,109-114,,Defensive rebound by S. Curry
2:14.0,Personal foul by K. Lowry (drawn by S. Curry),,109-114,,
2:04.0,,,109-114,,K. Durant misses 3-pt shot from 26 ft
2:04.0,,,109-114,,Offensive rebound by S. Curry
2:04.0,,,109-114,,Shooting foul by T. Ross (drawn by S. Curry)
2:04.0,,,109-115,1,S. Curry makes free throw 1 of 2
2:04.0,,,109-116,1,S. Curry makes free throw 2 of 2
1:54.0,D. DeRozan misses 2-pt shot from 16 ft,,109-116,,
1:54.0,,,109-116,,Defensive rebound by A. Iguodala
1:40.0,,,109-116,,Turnover by D. Green (3 sec)
1:40.0,Toronto full timeout,,109-116,,
1:32.0,D. DeRozan misses 2-pt shot from 2 ft (block by K. Durant),,109-116,,
1:30.0,,,109-116,,Defensive rebound by D. Green
1:16.0,,,109-116,,K. Durant misses 2-pt shot from 18 ft
1:15.0,,,109-116,,Offensive rebound by A. Iguodala
0:59.0,,,109-116,,K. Durant misses 2-pt shot from 12 ft
0:59.0,Defensive rebound by D. DeRozan,,109-116,,
0:52.0,D. DeRozan misses 2-pt shot from 7 ft,,109-116,,
0:52.0,,,109-116,,Defensive rebound by K. Durant
0:45.0,Personal foul by P. Patterson (drawn by S. Curry),,109-116,,
0:45.0,,,109-117,1,S. Curry makes free throw 1 of 2
0:45.0,,,109-118,1,S. Curry makes free throw 2 of 2
0:41.0,K. Lowry misses 3-pt shot from 28 ft,,109-118,,
0:40.0,,,109-118,,Defensive rebound by A. Iguodala
0:37.0,Personal take foul by D. DeRozan (drawn by K. Durant),,109-118,,
0:37.0,,,109-118,,K. Durant misses free throw 1 of 2
0:37.0,,,109-118,,Offensive rebound by Team
0:37.0,,,109-119,1,K. Durant makes free throw 2 of 2
0:33.0,Shooting foul by K. Thompson (drawn by D. DeRozan),,109-119,,
0:33.0,D. DeRozan makes free throw 1 of 2,1,110-119,,
0:33.0,D. DeRozan makes free throw 2 of 2,1,111-119,,
0:14.0,,,111-121,2,S. Curry makes 2-pt shot from 2 ft
0:05.0,D. Carroll misses 2-pt shot from 6 ft,,111-121,,
0:03.0,Offensive rebound by D. Carroll,,111-121,,
0:02.0,D. Carroll misses 2-pt shot from 2 ft (block by K. Durant),,111-121,,
0:01.0,Offensive rebound by D. Carroll,,111-121,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
