time,Phoenix,pts.away,score,pts.home,New York
3:28.0,,,98-103,,Defensive rebound by W. Hernangomez
3:17.0,,,98-103,,D. Rose misses 2-pt shot from 9 ft
3:16.0,Defensive rebound by Team,,98-103,,
3:16.0,,,98-103,,K. Porzingis enters the game for W. Hernangomez
2:56.0,E. Bledsoe misses 2-pt shot from 5 ft,,98-103,,
2:54.0,Offensive rebound by P. Tucker,,98-103,,
2:54.0,P. Tucker makes 2-pt shot from 1 ft,2,100-103,,
2:36.0,,,100-103,,K. Porzingis misses 3-pt shot from 27 ft
2:34.0,Defensive rebound by T. Warren,,100-103,,
2:19.0,D. Booker makes 2-pt shot from 7 ft,2,102-103,,
2:18.0,,,102-103,,New York full timeout
2:05.0,,,102-105,2,D. Rose makes 2-pt shot from 2 ft
1:48.0,E. Bledsoe misses 2-pt shot from 9 ft,,102-105,,
1:47.0,Offensive rebound by Team,,102-105,,
1:47.0,,,102-105,,Loose ball foul by C. Lee (drawn by P. Tucker)
1:33.0,Shooting foul by C. Lee (drawn by D. Booker),,102-105,,
1:33.0,D. Booker makes free throw 1 of 2,1,103-105,,
1:33.0,D. Booker makes free throw 2 of 2,1,104-105,,
1:18.0,,,104-105,,D. Rose misses 2-pt shot from 13 ft
1:16.0,Defensive rebound by E. Bledsoe,,104-105,,
1:11.0,P. Tucker misses 2-pt shot from 4 ft,,104-105,,
1:09.0,,,104-105,,Defensive rebound by C. Lee
0:47.0,,,104-105,,R. Baker misses 2-pt shot from 2 ft
0:45.0,Defensive rebound by T. Chandler,,104-105,,
0:32.0,D. Booker makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,107-105,,
0:32.0,,,107-105,,New York full timeout
0:29.0,,,107-105,,D. Rose misses 2-pt shot from 1 ft (block by E. Bledsoe)
0:27.0,Defensive rebound by T. Chandler,,107-105,,
0:07.0,D. Booker misses 2-pt shot from 11 ft,,107-105,,
0:06.0,,,107-105,,Defensive rebound by Team
0:06.0,,,107-105,,New York full timeout
0:01.0,,,107-105,,C. Anthony misses 3-pt shot from 25 ft
0:00.0,,,107-105,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
