time,Oklahoma City,pts.away,score,pts.home,Atlanta
7:55.0,R. Westbrook misses free throw 1 of 2,,88-78,,
7:55.0,Offensive rebound by Team,,88-78,,
7:55.0,R. Westbrook misses free throw 2 of 2,,88-78,,
7:55.0,Offensive rebound by Team,,88-78,,
7:55.0,,,88-78,,Loose ball foul by T. Sefolosha (drawn by S. Adams)
7:48.0,J. Grant misses 2-pt shot from 2 ft,,88-78,,
7:48.0,,,88-78,,Defensive rebound by Team
7:48.0,,,88-78,,D. Schroder enters the game for M. Delaney
7:31.0,,,88-80,2,P. Millsap makes 2-pt shot from 1 ft (assist by T. Hardaway)
7:14.0,J. Grant misses 3-pt shot from 23 ft,,88-80,,
7:12.0,,,88-80,,Defensive rebound by T. Sefolosha
7:06.0,,,88-83,3,K. Korver makes 3-pt shot from 24 ft (assist by T. Sefolosha)
7:05.0,Oklahoma City full timeout,,88-83,,
7:05.0,A. Roberson enters the game for A. Morrow,,88-83,,
7:05.0,D. Sabonis enters the game for J. Grant,,88-83,,
6:55.0,R. Westbrook misses 2-pt shot from 1 ft,,88-83,,
6:53.0,Offensive rebound by S. Adams,,88-83,,
6:53.0,S. Adams misses 2-pt shot at rim,,88-83,,
6:51.0,Offensive rebound by S. Adams,,88-83,,
6:43.0,A. Roberson misses 3-pt shot from 25 ft,,88-83,,
6:42.0,,,88-83,,Defensive rebound by Team
6:31.0,,,88-83,,Turnover by P. Millsap (traveling)
6:23.0,R. Westbrook makes 2-pt shot from 18 ft,2,90-83,,
6:12.0,Personal foul by R. Westbrook (drawn by K. Korver),,90-83,,
6:12.0,,,90-84,1,K. Korver makes free throw 1 of 2
6:12.0,,,90-85,1,K. Korver makes free throw 2 of 2
6:10.0,Turnover by D. Sabonis (bad pass; steal by T. Sefolosha),,90-85,,
6:05.0,,,90-85,,T. Hardaway misses 3-pt shot from 25 ft
6:01.0,Defensive rebound by A. Roberson,,90-85,,
5:59.0,Turnover by A. Roberson (lost ball; steal by T. Sefolosha),,90-85,,
5:57.0,,,90-85,,Shooting foul by A. Roberson (drawn by D. Schroder)
5:57.0,,,90-86,1,D. Schroder makes free throw 1 of 2
5:57.0,,,90-87,1,D. Schroder makes free throw 2 of 2
5:36.0,R. Westbrook misses 3-pt shot from 27 ft,,90-87,,
5:34.0,,,90-87,,Defensive rebound by T. Sefolosha
5:21.0,,,90-87,,D. Schroder misses 2-pt shot at rim (block by A. Roberson)
5:19.0,Defensive rebound by D. Sabonis,,90-87,,
5:11.0,V. Oladipo makes 3-pt shot from 24 ft (assist by R. Westbrook),3,93-87,,
4:50.0,,,93-87,,T. Hardaway misses 2-pt shot from 2 ft (block by D. Sabonis)
4:47.0,Defensive rebound by S. Adams,,93-87,,
4:47.0,Oklahoma City full timeout,,93-87,,
4:47.0,J. Grant enters the game for S. Adams,,93-87,,
4:42.0,Turnover by V. Oladipo (lost ball; steal by D. Schroder),,93-87,,
4:42.0,,,93-87,,Atlanta full timeout
4:42.0,S. Adams enters the game for D. Sabonis,,93-87,,
4:19.0,,,93-89,2,D. Schroder makes 2-pt shot at rim
4:01.0,R. Westbrook makes 2-pt shot from 19 ft,2,95-89,,
3:45.0,Personal foul by S. Adams (drawn by P. Millsap),,95-89,,
3:45.0,,,95-90,1,P. Millsap makes free throw 1 of 2
3:45.0,,,95-91,1,P. Millsap makes free throw 2 of 2
3:45.0,A. Morrow enters the game for J. Grant,,95-90,,
3:29.0,Shooting foul by T. Sefolosha (drawn by R. Westbrook),,95-91,,
3:29.0,R. Westbrook makes 2-pt shot from 16 ft,2,97-91,,
3:29.0,R. Westbrook makes free throw 1 of 1,1,98-91,,
3:12.0,,,98-91,,D. Schroder misses 2-pt shot from 1 ft
3:10.0,Defensive rebound by R. Westbrook,,98-91,,
3:06.0,R. Westbrook makes 2-pt shot from 1 ft,2,100-91,,
3:05.0,,,100-91,,Atlanta full timeout
3:05.0,J. Grant enters the game for S. Adams,,100-91,,
2:41.0,,,100-91,,T. Sefolosha misses 2-pt shot from 7 ft
2:39.0,Defensive rebound by V. Oladipo,,100-91,,
2:23.0,J. Grant misses 2-pt shot from 15 ft,,100-91,,
2:21.0,,,100-91,,Defensive rebound by P. Millsap
2:08.0,,,100-93,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by D. Schroder)
1:44.0,A. Morrow misses 3-pt shot from 26 ft,,100-93,,
1:43.0,,,100-93,,Defensive rebound by T. Hardaway
1:36.0,,,100-95,2,D. Schroder makes 2-pt shot from 1 ft
1:18.0,Shooting foul by K. Korver (drawn by R. Westbrook),,100-95,,
1:18.0,R. Westbrook makes free throw 1 of 2,1,101-95,,
1:18.0,R. Westbrook makes free throw 2 of 2,1,102-95,,
1:08.0,,,102-97,2,P. Millsap makes 2-pt shot from 1 ft
0:47.0,R. Westbrook misses 3-pt shot from 25 ft,,102-97,,
0:45.0,,,102-97,,Defensive rebound by K. Korver
0:35.0,,,102-99,2,D. Schroder makes 2-pt shot from 2 ft
0:11.0,,,102-99,,M. Muscala enters the game for D. Schroder
0:11.0,Turnover by V. Oladipo (lost ball; steal by K. Korver),,102-99,,
0:11.0,Jump ball: K. Korver vs. V. Oladipo (T. Sefolosha gains possession),,,,Jump ball: K. Korver vs. V. Oladipo (T. Sefolosha gains possession)
0:10.0,,,102-99,,Atlanta full timeout
0:10.0,,,102-99,,D. Schroder enters the game for M. Muscala
0:10.0,S. Christon enters the game for A. Morrow,,102-99,,
0:02.0,,,102-99,,T. Hardaway misses 3-pt shot from 29 ft
0:01.0,Defensive rebound by R. Westbrook,,102-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
