time,Miami,pts.away,score,pts.home,Golden State
3:13.0,,,86-96,3,S. Curry makes 3-pt shot from 29 ft
2:56.0,Turnover by G. Dragic (bad pass; steal by D. Green),,86-96,,
2:50.0,,,86-96,,D. Green misses 2-pt shot at rim
2:49.0,Defensive rebound by T. Johnson,,86-96,,
2:40.0,G. Dragic makes 3-pt shot from 24 ft (assist by J. Johnson),3,89-96,,
2:29.0,,,89-96,,S. Curry misses 3-pt shot from 27 ft
2:28.0,Defensive rebound by T. Johnson,,89-96,,
2:13.0,H. Whiteside misses 2-pt shot from 4 ft,,89-96,,
2:13.0,,,89-96,,Defensive rebound by K. Durant
2:03.0,,,89-98,2,K. Durant makes 2-pt shot from 17 ft
2:02.0,Miami full timeout,,89-98,,
1:52.0,,,89-98,,Personal foul by K. Durant (drawn by D. Waiters)
1:40.0,D. Waiters misses 3-pt shot from 30 ft,,89-98,,
1:40.0,Offensive rebound by H. Whiteside,,89-98,,
1:37.0,H. Whiteside misses 2-pt shot from 5 ft,,89-98,,
1:35.0,,,89-98,,Defensive rebound by D. Green
1:18.0,,,89-100,2,S. Curry makes 2-pt shot from 2 ft
1:00.0,Turnover by H. Whiteside (lost ball; steal by S. Curry),,89-100,,
0:58.0,,,89-102,2,A. Iguodala makes 2-pt shot at rim (assist by S. Curry)
0:58.0,Miami full timeout,,89-102,,
0:58.0,,,89-102,,I. Clark enters the game for A. Iguodala
0:58.0,,,89-102,,J. McGee enters the game for Z. Pachulia
0:52.0,Shooting foul by I. Clark (drawn by T. Johnson),,89-102,,
0:52.0,T. Johnson misses free throw 1 of 2,,89-102,,
0:52.0,Offensive rebound by Team,,89-102,,
0:52.0,T. Johnson makes free throw 2 of 2,1,90-102,,
0:39.0,,,90-105,3,K. Durant makes 3-pt shot from 26 ft (assist by D. Green)
0:26.0,D. Waiters misses 2-pt shot from 11 ft,,90-105,,
0:25.0,,,90-105,,Defensive rebound by J. McGee
0:19.0,Personal foul by J. Johnson (drawn by K. Durant),,90-105,,
0:19.0,,,90-106,1,K. Durant makes free throw 1 of 2
0:19.0,,,90-107,1,K. Durant makes free throw 2 of 2
0:19.0,,,90-106,,P. McCaw enters the game for S. Curry
0:13.0,G. Dragic makes 2-pt shot from 2 ft,2,92-107,,
0:13.0,Shooting foul by P. McCaw (drawn by G. Dragic),,92-107,,
0:13.0,G. Dragic makes free throw 1 of 1,1,93-107,,
0:08.0,,,93-107,,Turnover by K. Durant (bad pass; steal by J. Johnson)
0:07.0,J. Johnson makes 2-pt shot from 2 ft,2,95-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
