time,Minnesota,pts.away,score,pts.home,Boston
1:05.0,,,99-112,,Shooting foul by A. Wiggins (drawn by A. Johnson)
1:05.0,,,99-114,2,A. Johnson makes 2-pt shot from 1 ft (assist by M. Smart)
1:05.0,,,99-115,1,A. Johnson makes free throw 1 of 1
0:58.0,K. Towns misses 3-pt shot from 25 ft,,99-115,,
0:55.0,Offensive rebound by G. Dieng,,99-115,,
0:51.0,S. Muhammad makes 2-pt shot from 1 ft (assist by G. Dieng),2,101-115,,
0:39.0,,,101-117,2,A. Johnson makes 2-pt shot from 2 ft (assist by M. Smart)
0:32.0,A. Wiggins makes 3-pt shot from 27 ft,3,104-117,,
0:07.0,,,104-117,,M. Smart misses 3-pt shot from 34 ft
0:06.0,Defensive rebound by G. Dieng,,104-117,,
0:00.0,G. Dieng misses 3-pt shot from 31 ft,,104-117,,
0:00.0,Offensive rebound by Team,,104-117,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
