time,Phoenix,pts.away,score,pts.home,Indiana
5:29.0,,,104-90,,Indiana full timeout
5:23.0,Personal foul by T. Ulis (drawn by J. Teague),,104-90,,
5:15.0,,,104-90,,Turnover by J. Teague (bad pass; steal by T. Ulis)
4:51.0,P. Tucker misses 2-pt shot from 13 ft,,104-90,,
4:50.0,,,104-90,,Defensive rebound by J. Teague
4:41.0,,,104-90,,Shooting foul by A. Williams (drawn by M. Turner)
4:41.0,,,104-90,,M. Turner misses free throw 1 of 2
4:41.0,,,104-90,,Offensive rebound by Team
4:41.0,,,104-91,1,M. Turner makes free throw 2 of 2
4:23.0,T. Ulis makes 2-pt shot from 14 ft,2,106-91,,
4:14.0,,,106-91,,Turnover by J. Teague (lost ball; steal by T. Ulis)
3:51.0,T. Ulis makes 2-pt shot from 3 ft,2,108-91,,
3:42.0,,,108-91,,J. Teague misses 2-pt shot at rim
3:40.0,Defensive rebound by A. Williams,,108-91,,
3:21.0,T. Ulis misses 3-pt shot from 27 ft,,108-91,,
3:21.0,,,108-91,,Defensive rebound by Team
3:21.0,Loose ball foul by A. Williams (drawn by M. Turner),,108-91,,
3:21.0,,,108-91,,M. Turner misses free throw 1 of 2
3:21.0,,,108-91,,Offensive rebound by Team
3:21.0,,,108-92,1,M. Turner makes free throw 2 of 2
3:02.0,P. Tucker misses 2-pt shot from 1 ft,,108-92,,
3:00.0,Offensive rebound by A. Williams,,108-92,,
3:00.0,A. Williams makes 2-pt shot from 1 ft,2,110-92,,
2:50.0,,,110-92,,M. Turner misses 3-pt shot from 26 ft
2:50.0,Defensive rebound by Team,,110-92,,
2:50.0,Phoenix full timeout,,110-92,,
2:50.0,,,110-92,,K. Seraphin enters the game for T. Young
2:50.0,,,110-92,,J. Young enters the game for M. Turner
2:50.0,,,110-92,,G. Niang enters the game for M. Ellis
2:50.0,,,110-92,,A. Brooks enters the game for J. Teague
2:29.0,J. Dudley misses 3-pt shot from 22 ft,,110-92,,
2:28.0,Offensive rebound by A. Williams,,110-92,,
2:25.0,A. Williams makes 2-pt shot from 9 ft,2,112-92,,
2:09.0,,,112-92,,G. Robinson misses 2-pt shot from 15 ft
2:09.0,Defensive rebound by A. Williams,,112-92,,
1:50.0,T. Ulis makes 2-pt shot from 14 ft,2,114-92,,
1:36.0,,,114-92,,K. Seraphin misses 2-pt shot from 15 ft
1:34.0,Defensive rebound by P. Tucker,,114-92,,
1:13.0,J. Dudley makes 2-pt shot from 20 ft (assist by T. Ulis),2,116-92,,
1:02.0,,,116-92,,J. Young misses 3-pt shot from 27 ft
1:00.0,Defensive rebound by A. Williams,,116-92,,
0:44.0,T. Ulis misses 2-pt shot from 19 ft,,116-92,,
0:43.0,,,116-92,,Defensive rebound by A. Brooks
0:37.0,,,116-94,2,G. Robinson makes 2-pt shot at rim (assist by G. Niang)
0:13.0,Turnover by Team (shot clock),,116-94,,
0:04.0,,,116-96,2,J. Young makes 2-pt shot from 15 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
