time,Philadelphia,pts.away,score,pts.home,LA Lakers
5:20.0,J. Okafor makes 2-pt shot from 17 ft,2,102-100,,
5:03.0,,,102-100,,Turnover by J. Randle (bad pass; steal by J. Okafor)
4:57.0,Turnover by D. Saric (bad pass; steal by L. Nance),,102-100,,
4:52.0,,,102-102,2,D. Russell makes 2-pt shot from 2 ft (assist by L. Nance)
4:33.0,J. Okafor misses 2-pt shot from 9 ft,,102-102,,
4:30.0,,,102-102,,Defensive rebound by L. Nance
4:16.0,,,102-104,2,D. Nwaba makes 2-pt shot at rim (assist by D. Russell)
3:56.0,J. Okafor makes 2-pt shot from 7 ft (assist by T. McConnell),2,104-104,,
3:42.0,,,104-104,,D. Russell misses 2-pt shot from 19 ft
3:39.0,Defensive rebound by T. Luwawu-Cabarrot,,104-104,,
3:29.0,G. Henderson misses 2-pt shot from 2 ft (block by D. Nwaba),,104-104,,
3:29.0,Offensive rebound by Team,,104-104,,
3:26.0,Turnover by J. Okafor (lost ball; steal by L. Nance),,104-104,,
3:20.0,,,104-106,2,J. Randle makes 2-pt shot at rim (assist by D. Russell)
2:50.0,D. Saric makes 3-pt shot from 24 ft,3,107-106,,
2:34.0,Shooting block foul by D. Saric (drawn by J. Randle),,107-106,,
2:34.0,,,107-106,,LA Lakers full timeout
2:34.0,,,107-107,1,J. Randle makes free throw 1 of 2
2:34.0,,,107-108,1,J. Randle makes free throw 2 of 2
2:34.0,,,107-106,,J. Clarkson enters the game for D. Nwaba
2:23.0,D. Saric makes 2-pt shot from 3 ft,2,109-108,,
2:00.0,,,109-110,2,J. Clarkson makes 2-pt shot from 2 ft
1:44.0,Shooting foul by J. Randle (drawn by D. Saric),,109-110,,
1:44.0,D. Saric misses free throw 1 of 2,,109-110,,
1:44.0,Offensive rebound by Team,,109-110,,
1:44.0,D. Saric misses free throw 2 of 2,,109-110,,
1:42.0,,,109-110,,Defensive rebound by J. Randle
1:33.0,,,109-110,,J. Randle misses 2-pt shot from 4 ft
1:31.0,Defensive rebound by G. Henderson,,109-110,,
1:26.0,D. Saric makes 2-pt shot from 1 ft (assist by T. McConnell),2,111-110,,
1:12.0,,,111-112,2,J. Clarkson makes 2-pt shot from 11 ft
1:12.0,Philadelphia full timeout,,111-112,,
0:51.0,T. McConnell makes 2-pt shot from 9 ft (assist by T. Luwawu-Cabarrot),2,113-112,,
0:32.0,,,113-112,,J. Randle misses 2-pt shot from 4 ft (block by J. Okafor)
0:32.0,,,113-112,,Offensive rebound by Team
0:32.0,Violation by Team (jump ball),,113-112,,
0:32.0,,,113-112,,LA Lakers full timeout
0:26.0,,,113-112,,D. Russell misses 3-pt shot from 30 ft
0:24.0,Defensive rebound by Team,,113-112,,
0:24.0,Philadelphia full timeout,,113-112,,
0:24.0,J. Anderson enters the game for J. Okafor,,113-112,,
0:20.0,,,113-112,,Personal foul by J. Randle (drawn by G. Henderson)
0:20.0,G. Henderson makes free throw 1 of 2,1,114-112,,
0:20.0,G. Henderson makes free throw 2 of 2,1,115-112,,
0:20.0,,,115-112,,LA Lakers full timeout
0:15.0,,,115-112,,Shooting foul by G. Henderson (drawn by J. Clarkson)
0:15.0,,,115-113,1,J. Clarkson makes free throw 1 of 2
0:15.0,,,115-113,,J. Clarkson misses free throw 2 of 2
0:15.0,R. Holmes enters the game for J. Anderson,,115-113,,
0:13.0,Defensive rebound by T. Luwawu-Cabarrot,,115-113,,
0:12.0,,,115-113,,Personal foul by L. Nance (drawn by T. Luwawu-Cabarrot)
0:12.0,T. Luwawu-Cabarrot makes free throw 1 of 2,1,116-113,,
0:12.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,117-113,,
0:12.0,,,117-113,,LA Lakers full timeout
0:12.0,J. Anderson enters the game for R. Holmes,,117-113,,
0:05.0,,,117-116,3,L. Nance makes 3-pt shot from 25 ft (assist by D. Russell)
0:04.0,,,117-116,,Personal foul by J. Randle (drawn by D. Saric)
0:04.0,D. Saric makes free throw 1 of 2,1,118-116,,
0:04.0,D. Saric misses free throw 2 of 2,,118-116,,
0:04.0,,,118-116,,Defensive rebound by J. Randle
0:01.0,,,118-116,,J. Randle misses 3-pt shot from 35 ft
0:00.0,,,118-116,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
