time,New York,pts.away,score,pts.home,Portland
4:12.0,C. Lee makes 2-pt shot from 16 ft (assist by C. Randle),2,88-98,,
3:52.0,,,88-100,2,C. McCollum makes 2-pt shot from 12 ft
3:42.0,Shooting foul by D. Lillard (drawn by C. Randle),,88-100,,
3:42.0,C. Randle makes free throw 1 of 2,1,89-100,,
3:42.0,C. Randle makes free throw 2 of 2,1,90-100,,
3:24.0,,,90-102,2,D. Lillard makes 2-pt shot from 2 ft
3:07.0,Turnover by K. O'Quinn (bad pass; steal by D. Lillard),,90-102,,
3:00.0,,,90-105,3,C. McCollum makes 3-pt shot from 25 ft (assist by A. Crabbe)
2:59.0,New York full timeout,,90-105,,
2:46.0,K. Porzingis misses 3-pt shot from 25 ft,,90-105,,
2:46.0,,,90-105,,Defensive rebound by J. Nurkic
2:29.0,,,90-108,3,D. Lillard makes 3-pt shot from 27 ft
2:14.0,J. Holiday misses 2-pt shot from 23 ft,,90-108,,
2:13.0,,,90-108,,Defensive rebound by J. Nurkic
1:57.0,,,90-110,2,D. Lillard makes 2-pt shot from 1 ft
1:57.0,New York full timeout,,90-110,,
1:57.0,S. Vujacic enters the game for K. Porzingis,,90-110,,
1:57.0,M. Plumlee enters the game for C. Lee,,90-110,,
1:57.0,R. Baker enters the game for J. Holiday,,90-110,,
1:57.0,M. Kuzminskas enters the game for K. O'Quinn,,90-110,,
1:57.0,,,90-110,,S. Napier enters the game for J. Nurkic
1:57.0,,,90-110,,J. Layman enters the game for C. McCollum
1:57.0,,,90-110,,E. Turner enters the game for D. Lillard
1:57.0,,,90-110,,P. Connaughton enters the game for A. Crabbe
1:45.0,S. Vujacic makes 2-pt shot from 22 ft (assist by M. Plumlee),2,92-110,,
1:28.0,,,92-110,,J. Layman misses 2-pt shot from 1 ft (block by M. Plumlee)
1:28.0,Defensive rebound by Team,,92-110,,
1:20.0,C. Randle misses 2-pt shot from 2 ft,,92-110,,
1:20.0,,,92-110,,Defensive rebound by N. Vonleh
1:17.0,,,92-110,,Turnover by N. Vonleh (bad pass)
1:04.0,Turnover by M. Plumlee (lost ball; steal by N. Vonleh),,92-110,,
0:51.0,,,92-110,,J. Layman misses 3-pt shot from 25 ft
0:51.0,Defensive rebound by M. Plumlee,,92-110,,
0:39.0,C. Randle makes 3-pt shot from 23 ft (assist by M. Plumlee),3,95-110,,
0:16.0,,,95-110,,Turnover by E. Turner (traveling)
0:09.0,Turnover by S. Vujacic (bad pass; steal by J. Layman),,95-110,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
