time,LA Clippers,pts.away,score,pts.home,New York
6:26.0,,,98-103,,J. Holiday misses 3-pt shot from 24 ft
6:24.0,Defensive rebound by B. Griffin,,98-103,,
6:16.0,B. Griffin makes 2-pt shot from 2 ft,2,100-103,,
6:01.0,,,100-105,2,C. Anthony makes 2-pt shot from 16 ft
5:39.0,,,100-105,,Violation by W. Hernangomez (kicked ball)
5:39.0,,,100-105,,K. O'Quinn enters the game for W. Hernangomez
5:29.0,B. Griffin misses 2-pt shot from 19 ft,,100-105,,
5:29.0,Offensive rebound by Team,,100-105,,
5:29.0,,,100-105,,Loose ball foul by C. Anthony (drawn by D. Jordan)
5:29.0,D. Jordan makes free throw 1 of 2,1,101-105,,
5:29.0,D. Jordan makes free throw 2 of 2,1,102-105,,
5:13.0,,,102-107,2,C. Lee makes 2-pt shot from 12 ft (assist by D. Rose)
4:54.0,Turnover by A. Rivers (bad pass; steal by J. Holiday),,102-107,,
4:47.0,,,102-107,,C. Lee misses 2-pt shot from 8 ft
4:45.0,Defensive rebound by B. Griffin,,102-107,,
4:41.0,B. Griffin misses 2-pt shot from 3 ft (block by J. Holiday),,102-107,,
4:37.0,Offensive rebound by B. Griffin,,102-107,,
4:36.0,B. Griffin makes 2-pt shot from 1 ft,2,104-107,,
4:10.0,,,104-107,,K. O'Quinn misses 2-pt shot from 4 ft (block by D. Jordan)
4:10.0,,,104-107,,Offensive rebound by Team
4:10.0,,,104-107,,Turnover by Team (shot clock)
4:10.0,,,104-107,,K. Porzingis enters the game for K. O'Quinn
3:55.0,J. Redick makes 3-pt shot from 25 ft (assist by A. Rivers),3,107-107,,
3:38.0,,,107-107,,K. Porzingis misses 3-pt shot from 24 ft
3:36.0,Defensive rebound by B. Griffin,,107-107,,
3:29.0,D. Jordan makes 2-pt shot from 2 ft (assist by J. Crawford),2,109-107,,
3:28.0,,,109-107,,New York full timeout
3:06.0,Personal foul by A. Rivers (drawn by C. Anthony),,109-107,,
2:58.0,,,109-107,,K. Porzingis misses 2-pt shot from 5 ft
2:57.0,Defensive rebound by B. Griffin,,109-107,,
2:38.0,B. Griffin misses 2-pt shot from 2 ft,,109-107,,
2:36.0,,,109-107,,Defensive rebound by J. Holiday
2:28.0,,,109-109,2,K. Porzingis makes 2-pt shot at rim (assist by C. Lee)
2:05.0,J. Redick misses 2-pt shot from 17 ft,,109-109,,
2:03.0,,,109-109,,Defensive rebound by D. Rose
1:56.0,,,109-111,2,K. Porzingis makes 2-pt shot at rim (assist by D. Rose)
1:56.0,LA Clippers full timeout,,109-111,,
1:38.0,J. Crawford makes 2-pt shot from 17 ft,2,111-111,,
1:22.0,,,111-111,,C. Anthony misses 2-pt shot from 14 ft
1:20.0,Defensive rebound by D. Jordan,,111-111,,
1:14.0,J. Crawford makes 3-pt shot from 25 ft,3,114-111,,
1:02.0,,,114-111,,D. Rose misses 2-pt shot from 3 ft (block by D. Jordan)
1:00.0,Defensive rebound by A. Rivers,,114-111,,
0:55.0,D. Jordan makes 2-pt shot from 1 ft (assist by J. Redick),2,116-111,,
0:55.0,,,116-111,,New York full timeout
0:55.0,L. Mbah a Moute enters the game for J. Crawford,,116-111,,
0:49.0,,,116-114,3,C. Anthony makes 3-pt shot from 24 ft (assist by D. Rose)
0:31.0,A. Rivers misses 2-pt shot from 2 ft,,116-114,,
0:30.0,Offensive rebound by D. Jordan,,116-114,,
0:30.0,D. Jordan makes 2-pt shot at rim,2,118-114,,
0:30.0,,,118-114,,New York full timeout
0:21.0,,,118-114,,Shooting foul by B. Griffin (drawn by K. Porzingis)
0:21.0,,,118-115,1,K. Porzingis makes free throw 1 of 2
0:21.0,,,118-115,,K. Porzingis misses free throw 2 of 2
0:21.0,J. Crawford enters the game for L. Mbah a Moute,,118-115,,
0:20.0,Defensive rebound by D. Jordan,,118-115,,
0:20.0,,,118-115,,Personal foul by J. Holiday (drawn by D. Jordan)
0:20.0,D. Jordan misses free throw 1 of 2,,118-115,,
0:20.0,Offensive rebound by Team,,118-115,,
0:20.0,D. Jordan misses free throw 2 of 2,,118-115,,
0:20.0,L. Mbah a Moute enters the game for J. Crawford,,118-115,,
0:19.0,,,118-115,,Defensive rebound by K. Porzingis
0:09.0,,,118-115,,C. Anthony misses 3-pt shot from 26 ft
0:07.0,,,118-115,,Offensive rebound by K. Porzingis
0:07.0,,,118-115,,K. Porzingis misses 2-pt shot from 1 ft
0:06.0,Defensive rebound by D. Jordan,,118-115,,
0:06.0,,,118-115,,Personal foul by C. Anthony (drawn by B. Griffin)
0:06.0,B. Griffin misses free throw 1 of 2,,118-115,,
0:06.0,Offensive rebound by Team,,118-115,,
0:06.0,B. Griffin makes free throw 2 of 2,1,119-115,,
0:02.0,,,119-115,,D. Rose misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by L. Mbah a Moute,,119-115,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
