time,Detroit,pts.away,score,pts.home,Portland
3:28.0,,,106-109,,Defensive rebound by A. Aminu
3:08.0,,,106-109,,D. Lillard misses 2-pt shot from 1 ft (block by A. Drummond)
3:07.0,Defensive rebound by Team,,106-109,,
3:07.0,T. Harris enters the game for S. Johnson,,106-109,,
2:44.0,M. Morris makes 2-pt shot from 18 ft,2,108-109,,
2:22.0,,,108-109,,A. Aminu misses 3-pt shot from 23 ft
2:22.0,,,108-109,,Offensive rebound by M. Plumlee
2:14.0,Personal foul by A. Drummond (drawn by D. Lillard),,108-109,,
2:04.0,,,108-111,2,C. McCollum makes 2-pt shot from 1 ft (assist by A. Crabbe)
1:52.0,A. Drummond makes 2-pt shot from 7 ft,2,110-111,,
1:31.0,,,110-111,,C. McCollum misses 3-pt shot from 28 ft
1:30.0,,,110-111,,Offensive rebound by M. Plumlee
1:16.0,,,110-111,,M. Plumlee misses 2-pt shot from 4 ft (block by T. Harris)
1:13.0,Defensive rebound by T. Harris,,110-111,,
1:08.0,R. Jackson makes 2-pt shot from 2 ft,2,112-111,,
0:43.0,,,112-111,,M. Plumlee misses 2-pt shot from 21 ft
0:42.0,Defensive rebound by K. Caldwell-Pope,,112-111,,
0:25.0,R. Jackson makes 2-pt shot from 1 ft,2,114-111,,
0:25.0,,,114-111,,Portland full timeout
0:25.0,S. Johnson enters the game for T. Harris,,114-111,,
0:23.0,,,114-114,3,C. McCollum makes 3-pt shot from 25 ft (assist by M. Plumlee)
0:17.0,Detroit full timeout,,114-114,,
0:17.0,,,114-114,,E. Turner enters the game for C. McCollum
0:17.0,,,114-114,,M. Harkless enters the game for D. Lillard
0:17.0,T. Harris enters the game for S. Johnson,,114-114,,
0:01.0,R. Jackson misses 2-pt shot from 20 ft,,114-114,,
0:00.0,Offensive rebound by Team,,114-114,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
5:00.0,Start of 2nd overtime,,,,Start of 2nd overtime
4:59.0,Jump ball: A. Drummond vs. M. Plumlee (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. M. Plumlee (R. Jackson gains possession)
4:48.0,R. Jackson misses 3-pt shot from 27 ft,,114-114,,
4:47.0,,,114-114,,Defensive rebound by D. Lillard
4:33.0,,,114-116,2,A. Aminu makes 2-pt shot at rim (assist by M. Plumlee)
4:12.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by R. Jackson),3,117-116,,
3:48.0,,,117-118,2,C. McCollum makes 2-pt shot from 10 ft (assist by D. Lillard)
3:24.0,R. Jackson makes 2-pt shot from 1 ft,2,119-118,,
3:00.0,,,119-120,2,C. McCollum makes 2-pt shot from 16 ft (assist by M. Plumlee)
2:42.0,T. Harris misses 3-pt shot from 26 ft,,119-120,,
2:42.0,,,119-120,,Defensive rebound by D. Lillard
2:23.0,,,119-122,2,C. McCollum makes 2-pt shot from 2 ft (assist by M. Plumlee)
2:10.0,Detroit full timeout,,119-122,,
2:10.0,M. Morris enters the game for S. Johnson,,119-122,,
1:59.0,R. Jackson misses 3-pt shot from 28 ft,,119-122,,
1:58.0,,,119-122,,Defensive rebound by M. Plumlee
1:50.0,Personal block foul by A. Drummond (drawn by M. Plumlee),,119-122,,
1:41.0,,,119-124,2,A. Aminu makes 2-pt shot from 19 ft (assist by M. Plumlee)
1:34.0,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by T. Harris),3,122-124,,
1:13.0,,,122-124,,M. Plumlee misses 2-pt shot from 2 ft
1:11.0,,,122-124,,Offensive rebound by A. Aminu
0:52.0,,,122-124,,D. Lillard misses 2-pt shot from 18 ft
0:51.0,Defensive rebound by A. Drummond,,122-124,,
0:37.0,Turnover by Team (back court),,122-124,,
0:15.0,,,122-124,,E. Turner enters the game for D. Lillard
0:15.0,Jump ball: K. Caldwell-Pope vs. C. McCollum (M. Plumlee gains possession),,,,Jump ball: K. Caldwell-Pope vs. C. McCollum (M. Plumlee gains possession)
0:12.0,,,122-124,,M. Plumlee misses 3-pt shot from 47 ft
0:12.0,,,122-124,,Offensive rebound by Team
0:12.0,,,122-124,,Turnover by Team (shot clock)
0:12.0,Detroit full timeout,,122-124,,
0:12.0,,,122-124,,M. Harkless enters the game for C. McCollum
0:09.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by R. Jackson),3,125-124,,
0:09.0,,,125-124,,Portland full timeout
0:09.0,,,125-124,,C. McCollum enters the game for M. Harkless
0:09.0,,,125-124,,D. Lillard enters the game for E. Turner
0:09.0,S. Johnson enters the game for T. Harris,,125-124,,
0:02.0,,,125-124,,C. McCollum misses 2-pt shot from 17 ft
0:00.0,,,125-124,,Offensive rebound by Team
0:00.0,,,125-124,,Portland full timeout
0:00.0,A. Baynes enters the game for K. Caldwell-Pope,,125-124,,
0:00.0,B. Marjanovic enters the game for R. Jackson,,125-124,,
0:00.0,,,125-124,,M. Harkless enters the game for A. Aminu
0:00.0,End of 2nd overtime,,,,End of 2nd overtime
