time,Charlotte,pts.away,score,pts.home,Sacramento
2:21.0,K. Walker misses 2-pt shot from 19 ft,,94-82,,
2:21.0,,,94-82,,Defensive rebound by S. Labissiere
2:11.0,,,94-82,,Turnover by B. Hield (bad pass; steal by M. Belinelli)
1:54.0,N. Batum misses 2-pt shot from 13 ft,,94-82,,
1:53.0,,,94-82,,Defensive rebound by L. Galloway
1:36.0,,,94-82,,S. Labissiere misses 2-pt shot from 9 ft
1:35.0,Defensive rebound by F. Kaminsky,,94-82,,
1:22.0,K. Walker makes 2-pt shot from 4 ft,2,96-82,,
1:12.0,,,96-82,,L. Galloway misses 2-pt shot from 21 ft
1:11.0,Defensive rebound by F. Kaminsky,,96-82,,
0:49.0,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker),3,99-82,,
0:36.0,,,99-82,,Turnover by B. McLemore (lost ball; steal by K. Walker)
0:11.0,Turnover by Team (shot clock),,99-82,,
0:08.0,,,99-85,3,B. Hield makes 3-pt shot from 26 ft (assist by L. Galloway)
0:00.0,End of 4th quarter,,,,End of 4th quarter
