time,Chicago,pts.away,score,pts.home,LA Clippers
0:50.0,,,92-97,,L. Mbah a Moute enters the game for J. Crawford
0:50.0,,,92-97,,A. Rivers enters the game for M. Speights
0:45.0,I. Canaan makes 3-pt shot from 26 ft (assist by D. Wade),3,95-97,,
0:39.0,,,95-97,,LA Clippers full timeout
0:39.0,,,95-97,,J. Redick enters the game for L. Mbah a Moute
0:39.0,,,95-97,,M. Speights enters the game for D. Jordan
0:39.0,,,95-97,,J. Crawford enters the game for A. Rivers
0:39.0,R. Rondo enters the game for N. Mirotic,,95-97,,
0:21.0,,,95-97,,Shooting foul by J. Butler (drawn by B. Griffin)
0:21.0,,,95-98,1,B. Griffin makes free throw 1 of 2
0:21.0,,,95-99,1,B. Griffin makes free throw 2 of 2
0:21.0,Chicago full timeout,,95-99,,
0:21.0,R. Lopez enters the game for I. Canaan,,95-97,,
0:21.0,,,95-97,,L. Mbah a Moute enters the game for J. Crawford
0:21.0,,,95-98,,D. Jordan enters the game for M. Speights
0:21.0,,,95-98,,A. Rivers enters the game for J. Redick
0:21.0,N. Mirotic enters the game for R. Lopez,,95-99,,
0:21.0,I. Canaan enters the game for R. Rondo,,95-99,,
0:21.0,,,95-99,,J. Redick enters the game for L. Mbah a Moute
0:21.0,,,95-99,,J. Crawford enters the game for A. Rivers
0:14.0,D. Wade misses 3-pt shot from 25 ft,,95-99,,
0:12.0,,,95-99,,Defensive rebound by D. Jordan
0:09.0,Personal take foul by I. Canaan (drawn by J. Redick),,95-99,,
0:09.0,Technical foul by T. Gibson,,95-99,,
0:09.0,Technical foul by Team,,95-99,,
0:09.0,,,95-100,1,J. Redick makes technical free throw
0:09.0,,,95-101,1,J. Redick makes technical free throw
0:09.0,,,95-102,1,J. Redick makes free throw 1 of 2
0:09.0,,,95-102,,J. Redick misses free throw 2 of 2
0:09.0,R. Lopez enters the game for N. Mirotic,,95-101,,
0:07.0,,,95-102,,Offensive rebound by B. Griffin
0:00.0,End of 4th quarter,,,,End of 4th quarter
