time,Milwaukee,pts.away,score,pts.home,Atlanta
7:59.0,,,65-70,2,K. Bazemore makes 2-pt shot from 18 ft (assist by D. Howard)
7:38.0,M. Brogdon makes 2-pt shot from 1 ft,2,67-70,,
7:27.0,,,67-70,,D. Schroder misses 2-pt shot from 18 ft
7:25.0,Defensive rebound by J. Parker,,67-70,,
7:14.0,,,67-70,,Personal foul by P. Millsap (drawn by G. Antetokounmpo)
7:14.0,M. Dellavedova enters the game for M. Brogdon,,67-70,,
6:58.0,J. Henson misses 2-pt shot from 18 ft,,67-70,,
6:57.0,,,67-70,,Defensive rebound by D. Schroder
6:54.0,,,67-70,,Offensive foul by D. Howard
6:54.0,,,67-70,,Turnover by D. Howard (offensive foul)
6:34.0,T. Snell misses 3-pt shot from 26 ft,,67-70,,
6:32.0,,,67-70,,Defensive rebound by P. Millsap
6:22.0,G. Monroe enters the game for J. Henson,,67-70,,
6:16.0,,,67-72,2,K. Bazemore makes 2-pt shot from 3 ft (assist by T. Sefolosha)
6:16.0,,,67-72,,Shooting foul by T. Snell (drawn by K. Bazemore)
6:16.0,Violation by Team (jump ball),,67-72,,
6:16.0,,,67-73,1,K. Bazemore makes free throw 1 of 1
6:16.0,,,67-72,,T. Hardaway enters the game for P. Millsap
6:08.0,Turnover by M. Dellavedova (bad pass; steal by T. Sefolosha),,67-73,,
6:04.0,,,67-75,2,T. Sefolosha makes 2-pt shot at rim
5:47.0,,,67-75,,Personal foul by K. Bazemore (drawn by J. Parker)
5:39.0,Jump ball: G. Antetokounmpo vs. T. Sefolosha (G. Monroe gains possession),,,,Jump ball: G. Antetokounmpo vs. T. Sefolosha (G. Monroe gains possession)
5:35.0,G. Monroe misses 2-pt shot from 20 ft,,67-75,,
5:32.0,Offensive rebound by J. Parker,,67-75,,
5:32.0,J. Parker makes 2-pt shot from 1 ft,2,69-75,,
5:09.0,,,69-77,2,D. Schroder makes 2-pt shot from 9 ft (assist by T. Hardaway)
4:50.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,69-77,,
4:48.0,,,69-77,,Defensive rebound by T. Hardaway
4:38.0,,,69-79,2,K. Bazemore makes 2-pt shot from 23 ft (assist by D. Schroder)
4:38.0,Milwaukee full timeout,,69-79,,
4:38.0,J. Terry enters the game for T. Snell,,69-79,,
4:21.0,Shooting foul by K. Bazemore (drawn by G. Antetokounmpo),,69-79,,
4:21.0,G. Antetokounmpo makes free throw 1 of 2,1,70-79,,
4:21.0,G. Antetokounmpo makes free throw 2 of 2,1,71-79,,
4:01.0,,,71-79,,T. Sefolosha misses 2-pt shot from 3 ft
4:00.0,,,71-79,,Offensive rebound by D. Howard
4:00.0,,,71-81,2,D. Howard makes 2-pt shot at rim
3:44.0,G. Monroe makes 2-pt shot from 3 ft (assist by J. Parker),2,73-81,,
3:31.0,,,73-83,2,T. Hardaway makes 2-pt shot from 1 ft (assist by D. Schroder)
3:12.0,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe),2,75-83,,
2:54.0,,,75-83,,Turnover by D. Schroder (bad pass; steal by J. Parker)
2:48.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker),2,77-83,,
2:48.0,,,77-83,,Technical foul by K. Bazemore
2:48.0,M. Dellavedova misses technical free throw,,77-83,,
2:48.0,,,77-83,,Offensive rebound by Team
2:48.0,,,77-83,,P. Millsap enters the game for K. Bazemore
2:37.0,Personal foul by J. Terry (drawn by T. Hardaway),,77-83,,
2:37.0,,,77-83,,M. Delaney enters the game for D. Schroder
2:37.0,M. Beasley enters the game for G. Antetokounmpo,,77-83,,
2:37.0,,,77-83,,M. Dunleavy enters the game for T. Sefolosha
2:28.0,,,77-83,,Offensive charge foul by P. Millsap
2:28.0,,,77-83,,Turnover by P. Millsap (offensive foul)
2:28.0,,,77-83,,K. Humphries enters the game for D. Howard
2:14.0,G. Monroe misses 2-pt shot from 1 ft (block by P. Millsap),,77-83,,
2:13.0,,,77-83,,Defensive rebound by Team
2:13.0,Loose ball foul by G. Monroe (drawn by M. Dunleavy),,77-83,,
1:50.0,,,77-83,,T. Hardaway misses 2-pt shot from 15 ft
1:47.0,Defensive rebound by J. Parker,,77-83,,
1:38.0,Offensive charge foul by J. Terry,,77-83,,
1:38.0,Turnover by J. Terry (offensive foul),,77-83,,
1:23.0,,,77-85,2,M. Dunleavy makes 2-pt shot from 1 ft (assist by P. Millsap)
1:08.0,Shooting foul by M. Dunleavy (drawn by M. Beasley),,77-85,,
1:08.0,M. Beasley makes free throw 1 of 2,1,78-85,,
1:08.0,M. Beasley makes free throw 2 of 2,1,79-85,,
0:58.0,,,79-85,,Turnover by M. Delaney (bad pass; steal by M. Beasley)
0:57.0,,,79-85,,Personal foul by M. Dunleavy (drawn by M. Beasley)
0:57.0,M. Beasley makes free throw 1 of 2,1,80-85,,
0:57.0,M. Beasley makes free throw 2 of 2,1,81-85,,
0:40.0,,,81-88,3,P. Millsap makes 3-pt shot from 25 ft (assist by M. Delaney)
0:32.0,G. Monroe makes 2-pt shot from 6 ft (assist by M. Dellavedova),2,83-88,,
0:12.0,,,83-88,,P. Millsap misses 3-pt shot from 25 ft
0:10.0,Defensive rebound by J. Parker,,83-88,,
0:01.0,M. Dellavedova misses 2-pt shot from 3 ft,,83-88,,
0:00.0,Offensive rebound by Team,,83-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Turnover by G. Monroe (bad pass; steal by K. Humphries),,83-88,,
11:35.0,,,83-88,,K. Humphries misses 2-pt shot from 12 ft
11:34.0,,,83-88,,Offensive rebound by K. Humphries
11:31.0,,,83-91,3,M. Dunleavy makes 3-pt shot from 23 ft (assist by M. Delaney)
11:05.0,M. Beasley misses 2-pt shot from 19 ft,,83-91,,
11:05.0,Offensive rebound by Team,,83-91,,
11:05.0,,,83-91,,Loose ball foul by M. Delaney (drawn by G. Monroe)
11:05.0,G. Antetokounmpo enters the game for J. Parker,,83-91,,
10:46.0,M. Beasley misses 2-pt shot from 16 ft,,83-91,,
10:44.0,Offensive rebound by G. Antetokounmpo,,83-91,,
10:43.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,85-91,,
10:31.0,,,85-91,,Turnover by T. Hardaway (bad pass; steal by J. Terry)
10:20.0,G. Monroe misses 2-pt shot from 3 ft,,85-91,,
10:19.0,,,85-91,,Defensive rebound by K. Humphries
10:11.0,Personal block foul by G. Monroe (drawn by K. Humphries),,85-91,,
10:11.0,,,85-91,,T. Sefolosha enters the game for K. Humphries
9:58.0,,,85-91,,T. Hardaway misses 3-pt shot from 25 ft
9:57.0,,,85-91,,Offensive rebound by P. Millsap
9:49.0,,,85-93,2,P. Millsap makes 2-pt shot from 12 ft
9:41.0,Offensive foul by G. Antetokounmpo,,85-93,,
9:41.0,Turnover by G. Antetokounmpo (offensive foul),,85-93,,
9:21.0,,,85-95,2,M. Delaney makes 2-pt shot from 20 ft (assist by T. Sefolosha)
8:59.0,M. Beasley makes 2-pt shot from 8 ft (assist by M. Dellavedova),2,87-95,,
8:38.0,Official timeout,,87-95,,
8:34.0,,,87-95,,Turnover by P. Millsap (bad pass; steal by M. Beasley)
8:12.0,M. Beasley makes 2-pt shot from 3 ft,2,89-95,,
7:48.0,,,89-98,3,M. Dunleavy makes 3-pt shot from 26 ft (assist by P. Millsap)
7:25.0,G. Monroe makes 2-pt shot from 5 ft (assist by G. Antetokounmpo),2,91-98,,
7:10.0,,,91-98,,P. Millsap misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by J. Terry,,91-98,,
6:51.0,Turnover by G. Monroe (bad pass; steal by T. Sefolosha),,91-98,,
6:44.0,,,91-98,,M. Delaney misses 3-pt shot from 23 ft
6:41.0,,,91-98,,Offensive rebound by T. Sefolosha
6:37.0,,,91-101,3,M. Delaney makes 3-pt shot from 23 ft (assist by M. Dunleavy)
6:17.0,M. Beasley misses 2-pt shot from 7 ft,,91-101,,
6:16.0,Offensive rebound by M. Beasley,,91-101,,
6:14.0,J. Terry misses 3-pt shot from 24 ft,,91-101,,
6:13.0,,,91-101,,Defensive rebound by P. Millsap
6:07.0,,,91-101,,Turnover by M. Delaney (bad pass; steal by J. Terry)
5:59.0,Turnover by M. Dellavedova (bad pass; steal by M. Delaney),,91-101,,
5:53.0,,,91-101,,T. Sefolosha misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
5:50.0,Defensive rebound by M. Dellavedova,,91-101,,
5:36.0,J. Terry makes 3-pt shot from 25 ft (assist by M. Beasley),3,94-101,,
5:17.0,,,94-101,,Offensive charge foul by T. Sefolosha
5:17.0,,,94-101,,Turnover by T. Sefolosha (offensive foul)
5:17.0,,,94-101,,Atlanta full timeout
5:17.0,J. Henson enters the game for G. Monroe,,94-101,,
5:17.0,M. Brogdon enters the game for M. Dellavedova,,94-101,,
5:17.0,J. Parker enters the game for J. Terry,,94-101,,
5:17.0,,,94-101,,K. Bazemore enters the game for T. Sefolosha
5:17.0,,,94-101,,D. Howard enters the game for T. Hardaway
5:01.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,94-101,,
4:59.0,Offensive rebound by J. Henson,,94-101,,
4:59.0,J. Henson misses 2-pt shot from 1 ft,,94-101,,
4:58.0,,,94-101,,Defensive rebound by M. Delaney
4:57.0,Personal foul by G. Antetokounmpo (drawn by M. Delaney),,94-101,,
4:40.0,,,94-101,,K. Bazemore misses 2-pt shot from 12 ft
4:38.0,Defensive rebound by M. Beasley,,94-101,,
