time,Oklahoma City,pts.away,score,pts.home,Washington
8:08.0,J. Grant misses free throw 1 of 2,,82-105,,
8:08.0,Offensive rebound by Team,,82-105,,
8:08.0,J. Grant misses free throw 2 of 2,,82-105,,
8:07.0,,,82-105,,Defensive rebound by O. Porter
7:53.0,,,82-105,,Turnover by J. Wall (lost ball; steal by J. Grant)
7:47.0,J. Grant misses 2-pt shot from 1 ft,,82-105,,
7:46.0,,,82-105,,Defensive rebound by O. Porter
7:40.0,,,82-105,,J. Wall misses 2-pt shot from 20 ft
7:38.0,Defensive rebound by A. Abrines,,82-105,,
7:29.0,J. Lauvergne makes 2-pt shot from 4 ft (assist by C. Payne),2,84-105,,
7:08.0,,,84-105,,Shooting foul by J. Lauvergne (drawn by I. Mahinmi)
7:08.0,,,84-106,1,I. Mahinmi makes free throw 1 of 2
7:08.0,,,84-107,1,I. Mahinmi makes free throw 2 of 2
7:08.0,D. Sabonis enters the game for J. Grant,,84-106,,
6:57.0,C. Payne misses 2-pt shot from 10 ft,,84-107,,
6:56.0,,,84-107,,Defensive rebound by O. Porter
6:43.0,,,84-110,3,J. Smith makes 3-pt shot from 23 ft (assist by J. Wall)
6:28.0,D. Sabonis misses 3-pt shot from 24 ft (block by J. Smith),,84-110,,
6:26.0,Offensive rebound by J. Lauvergne,,84-110,,
6:23.0,J. Lauvergne makes 2-pt shot at rim,2,86-110,,
6:10.0,,,86-110,,Turnover by I. Mahinmi (lost ball)
6:10.0,,,86-110,,T. Burke enters the game for B. Beal
6:10.0,,,86-110,,T. Satoransky enters the game for J. Wall
6:10.0,,,86-110,,M. Morris enters the game for I. Mahinmi
5:54.0,A. Abrines misses 2-pt shot from 2 ft,,86-110,,
5:53.0,Offensive rebound by J. Lauvergne,,86-110,,
5:53.0,Offensive foul by J. Lauvergne,,86-110,,
5:53.0,Turnover by J. Lauvergne (offensive foul),,86-110,,
5:53.0,Official timeout,,86-110,,
5:37.0,,,86-110,,Shooting foul by D. Sabonis (drawn by M. Morris)
5:37.0,,,86-111,1,M. Morris makes free throw 1 of 2
5:37.0,,,86-112,1,M. Morris makes free throw 2 of 2
5:22.0,D. Sabonis misses 3-pt shot from 26 ft,,86-112,,
5:20.0,,,86-112,,Defensive rebound by M. Morris
5:02.0,,,86-112,,O. Porter misses 2-pt shot from 3 ft (block by D. Sabonis)
5:01.0,Defensive rebound by K. Singler,,86-112,,
4:53.0,C. Payne makes 2-pt shot from 14 ft,2,88-112,,
4:33.0,,,88-114,2,O. Porter makes 2-pt shot from 19 ft
4:22.0,Turnover by C. Payne (discontinued dribble),,88-114,,
4:07.0,,,88-114,,O. Porter misses 2-pt shot from 20 ft
4:06.0,,,88-114,,Offensive rebound by J. Smith
4:02.0,,,88-114,,Turnover by M. Morris (bad pass; steal by A. Abrines)
3:47.0,J. Lauvergne makes 2-pt shot from 3 ft,2,90-114,,
3:28.0,,,90-114,,T. Satoransky misses 2-pt shot from 1 ft
3:27.0,Defensive rebound by D. Sabonis,,90-114,,
3:13.0,J. Lauvergne misses 2-pt shot from 7 ft,,90-114,,
3:12.0,,,90-114,,Defensive rebound by M. Morris
3:02.0,,,90-116,2,T. Burke makes 2-pt shot from 15 ft
2:58.0,,,90-116,,Personal foul by J. Smith (drawn by C. Payne)
2:58.0,Oklahoma City full timeout,,90-116,,
2:58.0,,,90-116,,A. Nicholson enters the game for O. Porter
2:58.0,,,90-116,,S. Mac enters the game for M. Morris
2:58.0,S. Christon enters the game for C. Payne,,90-116,,
2:41.0,K. Singler makes 2-pt shot from 2 ft (assist by J. Lauvergne),2,92-116,,
2:23.0,,,92-116,,A. Nicholson misses 2-pt shot from 7 ft
2:22.0,Defensive rebound by D. Sabonis,,92-116,,
2:17.0,Shooting foul by S. Mac (drawn by A. Abrines),,92-116,,
2:17.0,A. Abrines makes free throw 1 of 2,1,93-116,,
2:17.0,A. Abrines makes free throw 2 of 2,1,94-116,,
2:09.0,,,94-116,,Turnover by T. Satoransky (bad pass)
1:53.0,D. Sabonis makes 2-pt shot from 8 ft (assist by K. Singler),2,96-116,,
1:29.0,,,96-118,2,S. Mac makes 2-pt shot from 1 ft (assist by T. Satoransky)
1:19.0,K. Singler misses 2-pt shot from 22 ft,,96-118,,
1:18.0,,,96-118,,Defensive rebound by T. Burke
1:01.0,,,96-120,2,J. Smith makes 2-pt shot from 19 ft (assist by T. Burke)
0:41.0,J. Lauvergne makes 2-pt shot from 2 ft,2,98-120,,
0:17.0,,,98-120,,T. Satoransky misses 2-pt shot from 21 ft
0:16.0,Defensive rebound by J. Lauvergne,,98-120,,
0:03.0,A. Abrines misses 3-pt shot from 26 ft,,98-120,,
0:02.0,,,98-120,,Defensive rebound by J. Smith
0:00.0,End of 4th quarter,,,,End of 4th quarter
