time,Detroit,pts.away,score,pts.home,Boston
4:28.0,,,98-96,,Defensive rebound by J. Jerebko
4:28.0,,,96-96,,M. Smart enters the game for T. Rozier
4:28.0,R. Jackson enters the game for I. Smith,,96-96,,
4:13.0,,,98-96,,Shooting foul by A. Drummond (drawn by I. Thomas)
4:13.0,,,98-98,2,I. Thomas makes 2-pt shot from 2 ft (assist by M. Smart)
4:13.0,,,98-99,1,I. Thomas makes free throw 1 of 1
4:13.0,,,98-98,,A. Johnson enters the game for J. Jerebko
4:13.0,J. Leuer enters the game for A. Drummond,,98-98,,
4:00.0,M. Morris misses 3-pt shot from 25 ft,,98-99,,
3:59.0,,,98-99,,Defensive rebound by A. Horford
3:45.0,,,98-99,,Shooting foul by M. Morris (drawn by J. Crowder)
3:45.0,,,98-100,1,J. Crowder makes free throw 1 of 2
3:45.0,,,98-101,1,J. Crowder makes free throw 2 of 2
3:35.0,Turnover by K. Caldwell-Pope (lost ball; steal by J. Crowder),,98-101,,
3:33.0,Personal foul by R. Jackson (drawn by J. Crowder),,98-101,,
3:33.0,,,98-102,1,J. Crowder makes free throw 1 of 2
3:33.0,,,98-102,,J. Crowder misses free throw 2 of 2
3:32.0,Defensive rebound by T. Harris,,98-102,,
3:22.0,T. Harris makes 2-pt shot from 3 ft (assist by R. Jackson),2,100-102,,
3:22.0,Shooting foul by A. Johnson (drawn by T. Harris),,100-102,,
3:22.0,T. Harris makes free throw 1 of 1,1,101-102,,
3:22.0,A. Drummond enters the game for J. Leuer,,98-102,,
3:05.0,,,101-102,,M. Smart misses 2-pt shot from 6 ft
3:04.0,,,101-102,,Offensive rebound by A. Johnson
2:55.0,,,101-104,2,I. Thomas makes 2-pt shot from 6 ft
2:46.0,,,101-104,,Personal take foul by A. Johnson (drawn by A. Drummond)
2:46.0,Detroit full timeout,,101-104,,
2:46.0,A. Drummond makes free throw 1 of 2,1,102-104,,
2:46.0,A. Drummond makes free throw 2 of 2,1,103-104,,
2:46.0,J. Leuer enters the game for R. Jackson,,101-104,,
2:46.0,S. Johnson enters the game for T. Harris,,101-104,,
2:28.0,,,103-107,3,I. Thomas makes 3-pt shot from 25 ft (assist by A. Horford)
2:28.0,Detroit full timeout,,103-107,,
2:28.0,R. Jackson enters the game for A. Drummond,,103-107,,
2:28.0,T. Harris enters the game for S. Johnson,,103-107,,
2:28.0,,,103-107,,J. Jerebko enters the game for A. Johnson
2:18.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,103-107,,
2:17.0,Offensive rebound by J. Leuer,,103-107,,
2:11.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,103-107,,
2:10.0,Offensive rebound by Team,,103-107,,
1:59.0,R. Jackson misses 2-pt shot from 14 ft,,103-107,,
1:58.0,Offensive rebound by Team,,103-107,,
1:58.0,,,103-107,,Personal foul by I. Thomas (drawn by J. Leuer)
1:58.0,J. Leuer makes free throw 1 of 2,1,104-107,,
1:58.0,J. Leuer makes free throw 2 of 2,1,105-107,,
1:58.0,A. Drummond enters the game for T. Harris,,104-107,,
1:47.0,,,105-109,2,I. Thomas makes 2-pt shot from 11 ft
1:40.0,R. Jackson misses 2-pt shot from 8 ft,,105-109,,
1:39.0,Offensive rebound by Team,,105-109,,
1:39.0,,,105-109,,Personal foul by J. Crowder (drawn by A. Drummond)
1:39.0,A. Drummond misses free throw 1 of 2,,105-109,,
1:39.0,Offensive rebound by Team,,105-109,,
1:39.0,A. Drummond misses free throw 2 of 2,,105-109,,
1:38.0,,,105-109,,Defensive rebound by Team
1:38.0,S. Johnson enters the game for R. Jackson,,105-109,,
1:24.0,,,105-109,,I. Thomas misses 3-pt shot from 25 ft
1:23.0,Defensive rebound by A. Drummond,,105-109,,
1:22.0,Detroit full timeout,,105-109,,
1:22.0,R. Jackson enters the game for A. Drummond,,105-109,,
1:22.0,T. Harris enters the game for S. Johnson,,105-109,,
1:09.0,T. Harris makes 2-pt shot at rim,2,107-109,,
0:53.0,,,107-109,,M. Smart misses 2-pt shot from 2 ft
0:53.0,Defensive rebound by J. Leuer,,107-109,,
0:43.0,R. Jackson misses 2-pt shot from 2 ft,,107-109,,
0:42.0,,,107-109,,Defensive rebound by J. Crowder
0:33.0,A. Drummond enters the game for J. Leuer,,107-109,,
0:31.0,,,107-109,,Turnover by M. Smart (back court)
0:23.0,R. Jackson misses 2-pt shot from 2 ft (block by A. Horford),,107-109,,
0:22.0,,,107-109,,Defensive rebound by J. Jerebko
0:18.0,Personal take foul by R. Jackson (drawn by I. Thomas),,107-109,,
0:18.0,,,107-110,1,I. Thomas makes free throw 1 of 2
0:18.0,,,107-111,1,I. Thomas makes free throw 2 of 2
0:18.0,I. Smith enters the game for R. Jackson,,107-109,,
0:18.0,S. Johnson enters the game for A. Drummond,,107-110,,
0:08.0,I. Smith makes 2-pt shot from 2 ft,2,109-111,,
0:08.0,Personal take foul by I. Smith (drawn by I. Thomas),,109-111,,
0:08.0,,,109-112,1,I. Thomas makes free throw 1 of 2
0:08.0,,,109-113,1,I. Thomas makes free throw 2 of 2
0:08.0,Detroit full timeout,,109-113,,
0:08.0,A. Drummond enters the game for T. Harris,,109-112,,
0:08.0,B. Udrih enters the game for A. Drummond,,109-113,,
0:08.0,R. Bullock enters the game for S. Johnson,,109-113,,
0:08.0,T. Harris enters the game for I. Smith,,109-113,,
0:05.0,M. Morris misses 2-pt shot from 19 ft,,109-113,,
0:04.0,,,109-113,,Defensive rebound by J. Jerebko
0:00.0,End of 4th quarter,,,,End of 4th quarter
