time,Miami,pts.away,score,pts.home,San Antonio
3:48.0,Technical foul by Team,,74-85,,
3:48.0,,,74-86,1,K. Leonard makes technical free throw
3:26.0,D. Waiters makes 2-pt shot from 19 ft,2,76-86,,
3:06.0,,,76-86,,K. Leonard misses 2-pt shot from 17 ft
3:05.0,,,76-86,,Offensive rebound by P. Gasol
3:03.0,,,76-86,,P. Gasol misses 2-pt shot from 1 ft
3:02.0,Defensive rebound by T. Johnson,,76-86,,
2:50.0,D. Waiters makes 3-pt shot from 25 ft (assist by J. Winslow),3,79-86,,
2:31.0,Personal foul by D. Waiters (drawn by K. Leonard),,79-86,,
2:31.0,,,79-86,,T. Parker enters the game for J. Simmons
2:27.0,,,79-86,,Turnover by P. Mills (bad pass; steal by D. Waiters)
2:22.0,D. Waiters makes 2-pt shot from 1 ft,2,81-86,,
2:09.0,Personal foul by D. Waiters (drawn by K. Leonard),,81-86,,
2:09.0,,,81-86,,K. Leonard misses free throw 1 of 2
2:09.0,,,81-86,,Offensive rebound by Team
2:09.0,,,81-87,1,K. Leonard makes free throw 2 of 2
1:56.0,H. Whiteside makes 2-pt shot from 10 ft (assist by J. Richardson),2,83-87,,
1:45.0,Personal foul by H. Whiteside,,83-87,,
1:45.0,,,83-88,1,P. Mills makes free throw 1 of 2
1:45.0,,,83-89,1,P. Mills makes free throw 2 of 2
1:35.0,T. Johnson misses 2-pt shot from 17 ft,,83-89,,
1:35.0,,,83-89,,Defensive rebound by K. Leonard
1:15.0,,,83-89,,T. Parker misses 3-pt shot from 22 ft
1:14.0,Defensive rebound by H. Whiteside,,83-89,,
1:07.0,D. Waiters misses 2-pt shot from 17 ft,,83-89,,
1:06.0,,,83-89,,Defensive rebound by K. Leonard
0:46.0,,,83-89,,L. Aldridge misses 2-pt shot from 17 ft
0:45.0,,,83-89,,Offensive rebound by P. Gasol
0:29.0,,,83-89,,K. Leonard misses 2-pt shot from 18 ft
0:28.0,Defensive rebound by H. Whiteside,,83-89,,
0:27.0,Turnover by J. Richardson (bad pass),,83-89,,
0:26.0,Personal take foul by D. Waiters (drawn by K. Leonard),,83-89,,
0:26.0,,,83-90,1,K. Leonard makes free throw 1 of 2
0:26.0,,,83-91,1,K. Leonard makes free throw 2 of 2
0:26.0,Miami full timeout,,83-91,,
0:26.0,,,83-90,,K. Anderson enters the game for P. Gasol
0:26.0,,,83-90,,D. Bertans enters the game for L. Aldridge
0:26.0,,,83-90,,D. Murray enters the game for T. Parker
0:26.0,,,83-91,,J. Simmons enters the game for D. Bertans
0:19.0,J. Richardson makes 2-pt shot at rim (assist by T. Johnson),2,85-91,,
0:17.0,Personal take foul by J. Winslow (drawn by J. Simmons),,85-91,,
0:17.0,,,85-91,,J. Simmons misses free throw 1 of 2
0:17.0,,,85-91,,Offensive rebound by Team
0:17.0,,,85-92,1,J. Simmons makes free throw 2 of 2
0:17.0,Miami full timeout,,85-92,,
0:12.0,D. Waiters makes 3-pt shot from 26 ft (assist by J. Richardson),3,88-92,,
0:11.0,Personal take foul by D. Waiters (drawn by K. Leonard),,88-92,,
0:11.0,,,88-93,1,K. Leonard makes free throw 1 of 2
0:11.0,,,88-94,1,K. Leonard makes free throw 2 of 2
0:11.0,Miami full timeout,,88-94,,
0:04.0,D. Waiters misses 3-pt shot from 24 ft,,88-94,,
0:02.0,Offensive rebound by H. Whiteside,,88-94,,
0:02.0,H. Whiteside makes 2-pt shot at rim,2,90-94,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
