time,Sacramento,pts.away,score,pts.home,Orlando
1:42.0,,,92-100,,N. Vucevic misses free throw 1 of 2
1:42.0,,,92-100,,Offensive rebound by Team
1:42.0,,,92-101,1,N. Vucevic makes free throw 2 of 2
1:25.0,R. Gay misses 2-pt shot from 2 ft (block by S. Ibaka),,92-101,,
1:23.0,,,92-101,,Defensive rebound by A. Gordon
1:02.0,,,92-101,,E. Payton misses 2-pt shot from 3 ft
1:01.0,Defensive rebound by R. Gay,,92-101,,
0:54.0,D. Cousins misses 3-pt shot from 25 ft,,92-101,,
0:53.0,,,92-101,,Defensive rebound by Team
0:53.0,Loose ball foul by B. McLemore (drawn by E. Fournier),,92-101,,
0:53.0,,,92-102,1,E. Fournier makes free throw 1 of 2
0:53.0,,,92-102,,E. Fournier misses free throw 2 of 2
0:52.0,,,92-102,,Offensive rebound by N. Vucevic
0:27.0,,,92-102,,A. Gordon misses 3-pt shot from 24 ft
0:25.0,Defensive rebound by R. Gay,,92-102,,
0:22.0,O. Casspi makes 2-pt shot from 2 ft (assist by R. Gay),2,94-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
