time,Cleveland,pts.away,score,pts.home,Charlotte
0:51.0,,,110-105,2,M. Belinelli makes 2-pt shot from 1 ft
0:31.0,K. Irving misses 2-pt shot from 9 ft,,110-105,,
0:30.0,,,110-105,,Defensive rebound by C. Zeller
0:30.0,,,110-105,,Charlotte full timeout
0:27.0,,,110-105,,N. Batum misses 3-pt shot from 24 ft
0:25.0,Defensive rebound by K. Love,,110-105,,
0:22.0,,,110-105,,Personal take foul by M. Belinelli (drawn by L. James)
0:22.0,L. James makes free throw 1 of 2,1,111-105,,
0:22.0,L. James makes free throw 2 of 2,1,112-105,,
0:12.0,,,112-105,,K. Walker misses 3-pt shot from 28 ft
0:11.0,Defensive rebound by L. James,,112-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
