time,Cleveland,pts.away,score,pts.home,Chicago
11:13.0,,,52-43,2,J. Butler makes 2-pt shot from 16 ft (assist by R. Rondo)
11:00.0,K. Irving misses 2-pt shot from 9 ft,,52-43,,
10:59.0,,,52-43,,Defensive rebound by N. Mirotic
10:55.0,,,52-45,2,P. Zipser makes 2-pt shot at rim (assist by R. Rondo)
10:34.0,T. Thompson misses 2-pt shot from 4 ft,,52-45,,
10:33.0,,,52-45,,Defensive rebound by R. Lopez
10:12.0,,,52-45,,R. Lopez misses 2-pt shot from 9 ft
10:11.0,Defensive rebound by K. Love,,52-45,,
9:58.0,K. Irving makes 3-pt shot from 25 ft (assist by K. Love),3,55-45,,
9:37.0,,,55-48,3,N. Mirotic makes 3-pt shot from 28 ft (assist by R. Rondo)
9:18.0,Offensive foul by K. Love,,55-48,,
9:18.0,Turnover by K. Love (offensive foul),,55-48,,
9:02.0,,,55-50,2,J. Butler makes 2-pt shot at rim (assist by R. Rondo)
8:58.0,Cleveland full timeout,,55-50,,
8:42.0,K. Love misses 3-pt shot from 23 ft,,55-50,,
8:41.0,,,55-50,,Defensive rebound by R. Rondo
8:33.0,,,55-50,,R. Rondo misses 2-pt shot from 20 ft
8:32.0,Defensive rebound by K. Love,,55-50,,
8:30.0,Turnover by L. James (bad pass),,55-50,,
8:12.0,,,55-52,2,P. Zipser makes 2-pt shot from 20 ft (assist by J. Butler)
7:54.0,L. James misses 2-pt shot from 12 ft,,55-52,,
7:53.0,,,55-52,,Defensive rebound by Team
7:41.0,,,55-54,2,R. Lopez makes 2-pt shot from 4 ft (assist by J. Butler)
7:28.0,Offensive foul by T. Thompson,,55-54,,
7:28.0,Turnover by T. Thompson (offensive foul),,55-54,,
7:17.0,,,55-56,2,R. Rondo makes 2-pt shot from 2 ft
6:59.0,K. Irving makes 2-pt shot from 10 ft,2,57-56,,
6:47.0,,,57-56,,Shooting foul by K. Irving (drawn by R. Rondo)
6:47.0,,,57-56,,R. Rondo misses free throw 1 of 2
6:47.0,,,57-56,,Offensive rebound by Team
6:47.0,,,57-57,1,R. Rondo makes free throw 2 of 2
6:22.0,L. James makes 2-pt shot from 9 ft,2,59-57,,
6:08.0,,,59-57,,R. Rondo misses 2-pt shot from 3 ft
6:06.0,,,59-57,,Offensive rebound by R. Lopez
6:06.0,,,59-59,2,R. Lopez makes 2-pt shot from 2 ft
5:54.0,K. Irving misses 3-pt shot from 26 ft,,59-59,,
5:54.0,,,59-59,,Defensive rebound by J. Butler
5:54.0,Personal foul by K. Irving (drawn by J. Butler),,59-59,,
5:54.0,Technical foul by K. Irving (drawn by J. Butler),,59-59,,
5:54.0,,,59-60,1,J. Butler makes technical free throw
5:40.0,,,59-60,,R. Lopez misses 2-pt shot from 14 ft
5:40.0,,,59-60,,Offensive rebound by R. Rondo
5:40.0,Personal foul by K. Love (drawn by R. Rondo),,59-60,,
5:40.0,C. Frye enters the game for K. Love,,59-60,,
5:33.0,,,59-60,,N. Mirotic misses 3-pt shot from 23 ft
5:32.0,,,59-60,,Offensive rebound by R. Rondo
5:29.0,,,59-60,,R. Rondo misses 2-pt shot from 2 ft
5:28.0,Defensive rebound by L. James,,59-60,,
5:20.0,T. Thompson makes 2-pt shot at rim (assist by J. Smith),2,61-60,,
5:03.0,,,61-60,,P. Zipser misses 3-pt shot from 23 ft
5:02.0,Defensive rebound by L. James,,61-60,,
4:55.0,Turnover by C. Frye (bad pass; steal by R. Rondo),,61-60,,
4:50.0,,,61-60,,Offensive charge foul by N. Mirotic
4:50.0,,,61-60,,Turnover by N. Mirotic (offensive foul)
4:50.0,,,61-60,,D. Valentine enters the game for P. Zipser
4:34.0,K. Irving makes 3-pt shot from 25 ft (assist by L. James),3,64-60,,
4:33.0,,,64-60,,Chicago full timeout
4:22.0,,,64-60,,R. Rondo misses 2-pt shot from 3 ft
4:21.0,Defensive rebound by C. Frye,,64-60,,
4:13.0,T. Thompson makes 2-pt shot at rim (assist by J. Smith),2,66-60,,
3:54.0,,,66-62,2,R. Lopez makes 2-pt shot at rim (assist by J. Butler)
3:33.0,J. Smith misses 2-pt shot from 19 ft,,66-62,,
3:32.0,,,66-62,,Defensive rebound by R. Rondo
3:26.0,,,66-64,2,R. Rondo makes 2-pt shot from 2 ft
3:11.0,Offensive foul by C. Frye,,66-64,,
3:11.0,Turnover by C. Frye (offensive foul),,66-64,,
3:11.0,D. Williams enters the game for L. James,,66-64,,
3:11.0,I. Shumpert enters the game for J. Smith,,66-64,,
3:11.0,,,66-64,,J. Grant enters the game for J. Butler
2:53.0,,,66-67,3,D. Valentine makes 3-pt shot from 24 ft (assist by R. Rondo)
2:36.0,I. Shumpert misses 2-pt shot from 21 ft,,66-67,,
2:36.0,Offensive rebound by T. Thompson,,66-67,,
2:36.0,Shooting foul by D. Valentine (drawn by T. Thompson),,66-67,,
2:36.0,T. Thompson makes 2-pt shot at rim,2,68-67,,
2:36.0,T. Thompson misses free throw 1 of 1,,68-67,,
2:33.0,,,68-67,,Defensive rebound by D. Valentine
2:18.0,,,68-70,3,N. Mirotic makes 3-pt shot from 25 ft (assist by R. Rondo)
2:01.0,K. Irving misses 2-pt shot from 11 ft,,68-70,,
2:00.0,,,68-70,,Defensive rebound by R. Lopez
1:57.0,Personal foul by K. Irving (drawn by J. Grant),,68-70,,
1:50.0,,,68-73,3,N. Mirotic makes 3-pt shot from 25 ft (assist by R. Rondo)
1:29.0,Turnover by I. Shumpert (lost ball; steal by J. Grant),,68-73,,
1:22.0,,,68-75,2,R. Rondo makes 2-pt shot from 2 ft
1:22.0,Cleveland full timeout,,68-75,,
1:05.0,K. Irving makes 2-pt shot from 7 ft,2,70-75,,
1:05.0,Shooting foul by R. Rondo (drawn by K. Irving),,70-75,,
1:05.0,K. Irving makes free throw 1 of 1,1,71-75,,
0:51.0,,,71-78,3,D. Valentine makes 3-pt shot from 22 ft (assist by R. Rondo)
0:36.0,D. Williams misses 2-pt shot from 4 ft (block by R. Lopez),,71-78,,
0:34.0,,,71-78,,Defensive rebound by R. Lopez
0:22.0,,,71-78,,R. Rondo misses 2-pt shot from 21 ft
0:20.0,,,71-78,,Offensive rebound by J. Grant
0:02.0,,,71-78,,N. Mirotic misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by T. Thompson,,71-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,71-78,,D. Valentine misses 3-pt shot from 26 ft
11:47.0,,,71-78,,Offensive rebound by Team
11:47.0,Loose ball foul by K. Love (drawn by J. Lauvergne),,71-78,,
11:47.0,J. Smith enters the game for K. Love,,71-78,,
11:41.0,,,71-78,,D. Valentine misses 2-pt shot from 7 ft
