time,Brooklyn,pts.away,score,pts.home,Toronto
5:35.0,S. Dinwiddie misses 2-pt shot from 17 ft,,96-118,,
5:35.0,,,96-118,,Defensive rebound by D. Carroll
5:24.0,,,96-118,,T. Ross misses 2-pt shot from 20 ft
5:23.0,Defensive rebound by S. Dinwiddie,,96-118,,
5:17.0,T. Booker makes 2-pt shot from 2 ft (assist by S. Dinwiddie),2,98-118,,
5:11.0,,,98-118,,Toronto full timeout
5:11.0,Q. Acy enters the game for T. Booker,,98-118,,
5:11.0,B. Bogdanovic enters the game for B. Lopez,,98-118,,
5:11.0,R. Foye enters the game for S. Dinwiddie,,98-118,,
5:11.0,L. Scola enters the game for C. LeVert,,98-118,,
5:11.0,,,98-118,,J. Poeltl enters the game for L. Nogueira
5:11.0,,,98-118,,N. Powell enters the game for K. Lowry
4:59.0,,,98-120,2,J. Poeltl makes 2-pt shot from 4 ft (assist by T. Ross)
4:46.0,J. Harris makes 3-pt shot from 26 ft,3,101-120,,
4:27.0,,,101-122,2,C. Joseph makes 2-pt shot from 17 ft (assist by N. Powell)
4:16.0,Q. Acy makes 2-pt shot at rim (assist by B. Bogdanovic),2,103-122,,
4:01.0,,,103-122,,T. Ross misses 3-pt shot from 26 ft
4:01.0,,,103-122,,Offensive rebound by C. Joseph
3:54.0,,,103-125,3,D. Carroll makes 3-pt shot from 23 ft (assist by C. Joseph)
3:44.0,Turnover by L. Scola (lost ball; steal by N. Powell),,103-125,,
3:40.0,,,103-125,,Turnover by N. Powell (lost ball)
3:40.0,,,103-125,,P. Siakam enters the game for D. Carroll
3:31.0,Turnover by L. Scola (bad pass; steal by J. Poeltl),,103-125,,
3:25.0,,,103-125,,N. Powell misses 3-pt shot from 25 ft
3:25.0,Defensive rebound by Team,,103-125,,
3:25.0,,,103-125,,F. VanVleet enters the game for C. Joseph
3:11.0,C. LeVert enters the game for J. Harris,,103-125,,
3:03.0,Q. Acy makes 2-pt shot from 4 ft,2,105-125,,
2:41.0,,,105-127,2,N. Powell makes 2-pt shot from 19 ft
2:27.0,Q. Acy makes 3-pt shot from 25 ft (assist by B. Bogdanovic),3,108-127,,
2:08.0,,,108-127,,F. VanVleet misses 2-pt shot from 9 ft
2:08.0,Defensive rebound by L. Scola,,108-127,,
2:06.0,,,108-127,,Personal foul by N. Powell (drawn by C. LeVert)
2:06.0,Official timeout,,108-127,,
2:06.0,,,108-127,,B. Caboclo enters the game for T. Ross
1:51.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by R. Foye),3,111-127,,
1:32.0,,,111-129,2,F. VanVleet makes 2-pt shot from 16 ft
1:19.0,Turnover by C. LeVert (bad pass),,111-129,,
1:09.0,,,111-132,3,F. VanVleet makes 3-pt shot from 25 ft
0:51.0,B. Bogdanovic misses 2-pt shot from 4 ft,,111-132,,
0:50.0,Offensive rebound by Q. Acy,,111-132,,
0:50.0,Shooting foul by J. Poeltl (drawn by Q. Acy),,111-132,,
0:50.0,Q. Acy makes free throw 1 of 2,1,112-132,,
0:50.0,Q. Acy makes free throw 2 of 2,1,113-132,,
0:34.0,,,113-132,,F. VanVleet misses 2-pt shot from 12 ft
0:34.0,,,113-132,,Offensive rebound by J. Poeltl
0:33.0,,,113-132,,J. Poeltl misses 2-pt shot from 1 ft
0:32.0,,,113-132,,Offensive rebound by B. Caboclo
0:31.0,,,113-132,,B. Caboclo misses 2-pt shot from 1 ft
0:30.0,Defensive rebound by Q. Acy,,113-132,,
0:21.0,C. LeVert misses 3-pt shot from 26 ft,,113-132,,
0:21.0,,,113-132,,Defensive rebound by P. Siakam
0:00.0,End of 4th quarter,,,,End of 4th quarter
