time,Boston,pts.away,score,pts.home,LA Lakers
5:00.0,A. Bradley makes 2-pt shot at rim (assist by T. Rozier),2,107-84,,
4:52.0,,,107-84,,J. Clarkson misses 2-pt shot from 3 ft
4:50.0,,,107-84,,Offensive rebound by T. Black
4:50.0,,,107-84,,T. Black misses 2-pt shot from 2 ft
4:48.0,,,107-84,,Offensive rebound by B. Ingram
4:48.0,Personal foul by T. Rozier (drawn by D. Russell),,107-84,,
4:39.0,,,107-86,2,D. Russell makes 2-pt shot from 20 ft
4:25.0,Turnover by M. Smart (offensive foul),,107-86,,
4:25.0,Offensive foul by M. Smart,,107-86,,
4:07.0,,,107-86,,B. Ingram misses 2-pt shot from 10 ft
4:07.0,Defensive rebound by Team,,107-86,,
3:43.0,M. Smart misses 2-pt shot from 10 ft,,107-86,,
3:40.0,Offensive rebound by Team,,107-86,,
3:40.0,J. Young enters the game for M. Smart,,107-86,,
3:40.0,,,107-86,,D. Nwaba enters the game for J. Clarkson
3:40.0,Jump ball: A. Johnson vs. J. Randle (T. Rozier gains possession),,,,Jump ball: A. Johnson vs. J. Randle (T. Rozier gains possession)
3:31.0,A. Bradley makes 3-pt shot from 25 ft (assist by T. Rozier),3,110-86,,
3:19.0,,,110-89,3,D. Russell makes 3-pt shot from 25 ft (assist by J. Randle)
3:05.0,J. Jerebko makes 2-pt shot from 5 ft (assist by T. Rozier),2,112-89,,
2:50.0,,,112-89,,Shooting foul by J. Jerebko (drawn by T. Black)
2:50.0,Official timeout,,112-89,,
2:50.0,,,112-90,1,T. Black makes free throw 1 of 2
2:50.0,,,112-91,1,T. Black makes free throw 2 of 2
2:50.0,J. Mickey enters the game for A. Johnson,,112-89,,
2:35.0,J. Jerebko makes 3-pt shot from 27 ft (assist by A. Bradley),3,115-91,,
2:06.0,,,115-91,,J. Randle misses 2-pt shot from 3 ft (block by J. Mickey)
2:04.0,,,115-91,,Offensive rebound by J. Randle
2:01.0,,,115-93,2,J. Randle makes 2-pt shot from 2 ft
1:42.0,Turnover by A. Bradley (bad pass),,115-93,,
1:37.0,Shooting block foul by J. Jerebko (drawn by D. Nwaba),,115-93,,
1:37.0,,,115-94,1,D. Nwaba makes free throw 1 of 2
1:37.0,,,115-95,1,D. Nwaba makes free throw 2 of 2
1:37.0,J. Brown enters the game for A. Bradley,,115-93,,
1:23.0,Turnover by T. Rozier (bad pass),,115-95,,
1:13.0,,,115-95,,B. Ingram misses 3-pt shot from 25 ft
1:10.0,Defensive rebound by T. Rozier,,115-95,,
0:48.0,T. Rozier misses 3-pt shot from 26 ft,,115-95,,
0:46.0,,,115-95,,Defensive rebound by T. Black
0:42.0,,,115-95,,Turnover by B. Ingram (bad pass)
0:39.0,Turnover by J. Jerebko (bad pass; steal by D. Russell),,115-95,,
0:31.0,,,115-95,,D. Russell misses 2-pt shot at rim
0:30.0,Defensive rebound by T. Rozier,,115-95,,
0:21.0,J. Brown misses 3-pt shot from 25 ft,,115-95,,
0:21.0,,,115-95,,Defensive rebound by Team
0:08.0,,,115-95,,J. Randle misses 2-pt shot from 6 ft
0:07.0,Defensive rebound by J. Jerebko,,115-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
