time,Boston,pts.away,score,pts.home,Minnesota
3:13.0,,,88-84,,A. Wiggins misses 2-pt shot from 17 ft
3:11.0,Defensive rebound by M. Smart,,88-84,,
3:05.0,I. Thomas makes 2-pt shot from 12 ft,2,90-84,,
2:41.0,,,90-87,3,K. Towns makes 3-pt shot from 25 ft (assist by R. Rubio)
2:20.0,A. Bradley makes 2-pt shot at rim (assist by A. Horford),2,92-87,,
2:03.0,Personal foul by A. Horford (drawn by G. Dieng),,92-87,,
1:48.0,,,92-87,,R. Rubio misses 3-pt shot from 25 ft
1:46.0,Defensive rebound by M. Smart,,92-87,,
1:30.0,A. Horford misses 2-pt shot from 16 ft,,92-87,,
1:29.0,,,92-87,,Defensive rebound by K. Towns
1:20.0,,,92-87,,K. Towns misses 3-pt shot from 25 ft
1:19.0,Defensive rebound by A. Bradley,,92-87,,
1:09.0,Shooting foul by Z. LaVine (drawn by I. Thomas),,92-87,,
1:09.0,I. Thomas makes free throw 1 of 2,1,93-87,,
1:09.0,I. Thomas misses free throw 2 of 2,,93-87,,
1:09.0,,,93-87,,Defensive rebound by K. Towns
0:51.0,,,93-87,,Turnover by K. Towns (bad pass; steal by J. Jerebko)
0:32.0,,,93-87,,Personal foul by K. Towns (drawn by I. Thomas)
0:32.0,I. Thomas makes free throw 1 of 2,1,94-87,,
0:32.0,I. Thomas makes free throw 2 of 2,1,95-87,,
0:26.0,,,95-87,,A. Wiggins misses 3-pt shot from 25 ft
0:25.0,,,95-87,,Offensive rebound by G. Dieng
0:23.0,,,95-89,2,A. Wiggins makes 2-pt shot from 1 ft (assist by G. Dieng)
0:19.0,,,95-89,,Personal take foul by K. Towns (drawn by I. Thomas)
0:19.0,I. Thomas makes free throw 1 of 2,1,96-89,,
0:19.0,I. Thomas makes free throw 2 of 2,1,97-89,,
0:16.0,Personal block foul by A. Bradley (drawn by Z. LaVine),,97-89,,
0:12.0,,,97-89,,Z. LaVine misses 3-pt shot from 24 ft
0:10.0,,,97-89,,Offensive rebound by G. Dieng
0:10.0,,,97-91,2,G. Dieng makes 2-pt shot at rim
0:07.0,,,97-91,,Personal take foul by R. Rubio (drawn by I. Thomas)
0:07.0,I. Thomas makes free throw 1 of 2,1,98-91,,
0:07.0,I. Thomas makes free throw 2 of 2,1,99-91,,
0:01.0,,,99-93,2,A. Wiggins makes 2-pt shot from 1 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
