time,Dallas,pts.away,score,pts.home,Charlotte
3:24.0,,,78-85,2,J. Lamb makes 2-pt shot from 1 ft
3:24.0,,,78-85,,Shooting foul by D. Powell (drawn by J. Lamb)
3:24.0,Dallas full timeout,,78-85,,
3:24.0,,,78-86,1,J. Lamb makes free throw 1 of 1
3:10.0,H. Barnes makes 2-pt shot at rim (assist by J. Gibson),2,80-86,,
2:51.0,,,80-86,,K. Walker misses 3-pt shot from 24 ft
2:49.0,Defensive rebound by Team,,80-86,,
2:39.0,W. Matthews misses 2-pt shot from 9 ft,,80-86,,
2:37.0,Offensive rebound by D. Powell,,80-86,,
2:29.0,J. Gibson makes 3-pt shot from 26 ft (assist by D. Finney-Smith),3,83-86,,
2:18.0,,,83-88,2,K. Walker makes 2-pt shot at rim
1:58.0,H. Barnes makes 2-pt shot from 8 ft,2,85-88,,
1:38.0,,,85-88,,J. Lamb misses 2-pt shot from 10 ft
1:35.0,Defensive rebound by H. Barnes,,85-88,,
1:18.0,J. Gibson misses 2-pt shot from 2 ft,,85-88,,
1:18.0,,,85-88,,Defensive rebound by Team
1:18.0,Loose ball foul by D. Powell (drawn by J. Lamb),,85-88,,
1:18.0,,,85-89,1,J. Lamb makes free throw 1 of 2
1:18.0,,,85-90,1,J. Lamb makes free throw 2 of 2
1:18.0,S. Mejri enters the game for D. Powell,,85-88,,
1:10.0,,,85-90,,Personal foul by N. Batum (drawn by W. Matthews)
1:00.0,W. Matthews misses 3-pt shot from 25 ft,,85-90,,
1:00.0,,,85-90,,Defensive rebound by Team
0:42.0,,,85-93,3,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum)
0:42.0,Dallas full timeout,,85-93,,
0:36.0,J. Gibson misses 3-pt shot from 26 ft,,85-93,,
0:35.0,,,85-93,,Defensive rebound by J. Lamb
0:28.0,,,85-93,,Turnover by J. Lamb (bad pass; steal by J. Gibson)
0:24.0,J. Gibson makes 2-pt shot from 1 ft,2,87-93,,
0:18.0,Personal take foul by S. Mejri (drawn by M. Kidd-Gilchrist),,87-93,,
0:18.0,,,87-94,1,M. Kidd-Gilchrist makes free throw 1 of 2
0:18.0,,,87-95,1,M. Kidd-Gilchrist makes free throw 2 of 2
0:18.0,Dallas full timeout,,87-95,,
0:13.0,W. Matthews misses 3-pt shot from 27 ft,,87-95,,
0:10.0,,,87-95,,Defensive rebound by N. Batum
0:10.0,Personal take foul by J. Gibson (drawn by N. Batum),,87-95,,
0:10.0,,,87-96,1,N. Batum makes free throw 1 of 2
0:10.0,,,87-97,1,N. Batum makes free throw 2 of 2
0:04.0,J. Gibson misses 2-pt shot from 17 ft,,87-97,,
0:03.0,,,87-97,,Defensive rebound by C. Zeller
0:00.0,End of 4th quarter,,,,End of 4th quarter
