time,Milwaukee,pts.away,score,pts.home,Memphis
1:10.0,T. Jones misses 2-pt shot from 6 ft,,93-109,,
1:09.0,,,93-109,,Defensive rebound by J. Ennis
0:58.0,,,93-111,2,D. Davis makes 2-pt shot from 1 ft (assist by A. Harrison)
0:46.0,Turnover by S. Hawes (bad pass),,93-111,,
0:25.0,,,93-111,,T. Daniels misses 3-pt shot from 29 ft
0:24.0,Defensive rebound by Team,,93-111,,
0:13.0,Turnover by R. Vaughn (lost ball; steal by J. Ennis),,93-111,,
0:09.0,,,93-111,,Shooting foul by M. Brogdon (drawn by T. Douglas)
0:09.0,,,93-112,1,T. Douglas makes free throw 1 of 2
0:09.0,,,93-113,1,T. Douglas makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
