time,Dallas,pts.away,score,pts.home,Atlanta
0:11.0,,,95-96,,Defensive rebound by Team
0:11.0,Loose ball foul by D. Finney-Smith (drawn by E. Ilyasova),,95-96,,
0:11.0,,,95-97,1,E. Ilyasova makes free throw 1 of 2
0:11.0,,,95-98,1,E. Ilyasova makes free throw 2 of 2
0:11.0,Dallas full timeout,,95-98,,
0:11.0,Turnover by D. Harris (bad pass; steal by K. Bazemore),,95-98,,
0:11.0,,,95-97,,T. Sefolosha enters the game for T. Hardaway
0:11.0,S. Mejri enters the game for Y. Ferrell,,95-97,,
0:11.0,D. Harris enters the game for D. Finney-Smith,,95-98,,
0:11.0,Y. Ferrell enters the game for S. Mejri,,95-98,,
0:11.0,,,95-98,,M. Delaney enters the game for E. Ilyasova
0:08.0,,,95-100,2,K. Bazemore makes 2-pt shot at rim
0:03.0,S. Curry misses 3-pt shot from 23 ft (block by D. Schroder),,95-100,,
0:03.0,Offensive rebound by Team,,95-100,,
0:01.0,H. Barnes misses 2-pt shot from 1 ft,,95-100,,
0:01.0,,,95-100,,Defensive rebound by T. Sefolosha
0:00.0,End of 4th quarter,,,,End of 4th quarter
