time,Miami,pts.away,score,pts.home,Indiana
2:15.0,,,96-97,2,J. Teague makes 2-pt shot from 5 ft
1:53.0,H. Whiteside misses 2-pt shot from 2 ft (block by J. Teague),,96-97,,
1:51.0,,,96-97,,Defensive rebound by P. George
1:38.0,Shooting block foul by J. Johnson (drawn by M. Turner),,96-97,,
1:38.0,,,96-98,1,M. Turner makes free throw 1 of 2
1:38.0,,,96-99,1,M. Turner makes free throw 2 of 2
1:24.0,W. Ellington misses 3-pt shot from 26 ft,,96-99,,
1:23.0,,,96-99,,Defensive rebound by P. George
1:00.0,,,96-99,,M. Turner misses 2-pt shot from 2 ft
0:59.0,,,96-99,,Offensive rebound by M. Turner
0:59.0,,,96-99,,M. Turner misses 2-pt shot from 2 ft
0:58.0,,,96-99,,Offensive rebound by M. Turner
0:58.0,,,96-101,2,M. Turner makes 2-pt shot from 1 ft
0:58.0,Miami full timeout,,96-101,,
0:50.0,J. Johnson misses 3-pt shot from 25 ft,,96-101,,
0:49.0,,,96-101,,Defensive rebound by C. Miles
0:27.0,,,96-101,,P. George misses 2-pt shot from 18 ft
0:26.0,Defensive rebound by J. Johnson,,96-101,,
0:14.0,D. Waiters misses 3-pt shot from 28 ft,,96-101,,
0:12.0,Offensive rebound by J. Richardson,,96-101,,
0:08.0,D. Waiters misses 3-pt shot from 30 ft,,96-101,,
0:07.0,,,96-101,,Defensive rebound by T. Young
0:07.0,Personal foul by H. Whiteside (drawn by T. Young),,96-101,,
0:07.0,,,96-102,1,T. Young makes free throw 1 of 2
0:07.0,,,96-102,,T. Young misses free throw 2 of 2
0:05.0,Defensive rebound by H. Whiteside,,96-102,,
0:05.0,Miami full timeout,,96-102,,
0:00.0,J. Johnson misses 2-pt shot from 1 ft,,96-102,,
0:00.0,Offensive rebound by H. Whiteside,,96-102,,
0:00.0,H. Whiteside makes 2-pt shot at rim,2,98-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
