time,Detroit,pts.away,score,pts.home,Golden State
3:38.0,,,98-120,,Shooting foul by A. Baynes (drawn by A. Varejao)
3:38.0,,,98-122,2,A. Varejao makes 2-pt shot from 2 ft (assist by K. Durant)
3:38.0,,,98-122,,A. Varejao misses free throw 1 of 1
3:38.0,,,98-122,,K. Looney enters the game for K. Durant
3:38.0,I. Smith enters the game for S. Johnson,,98-122,,
3:38.0,,,98-122,,P. McCaw enters the game for K. Thompson
3:36.0,Defensive rebound by H. Ellenson,,98-122,,
3:24.0,D. Hilliard makes 2-pt shot from 18 ft,2,100-122,,
3:01.0,,,100-122,,Turnover by P. McCaw (lost ball; steal by B. Udrih)
2:55.0,D. Hilliard misses 3-pt shot from 27 ft,,100-122,,
2:54.0,,,100-122,,Defensive rebound by K. Looney
2:42.0,,,100-122,,I. Clark misses 2-pt shot from 11 ft
2:41.0,Defensive rebound by A. Baynes,,100-122,,
2:38.0,,,100-122,,Violation by S. Livingston (def goaltending)
2:38.0,B. Udrih makes 2-pt shot from 2 ft,2,102-122,,
2:38.0,,,102-122,,Violation by Team (jump ball)
2:22.0,,,102-124,2,I. Clark makes 2-pt shot from 13 ft (assist by S. Livingston)
2:11.0,Turnover by H. Ellenson (bad pass; steal by K. Looney),,102-124,,
1:56.0,,,102-124,,S. Livingston misses 2-pt shot from 10 ft
1:55.0,Defensive rebound by H. Ellenson,,102-124,,
1:49.0,B. Udrih misses 3-pt shot from 26 ft,,102-124,,
1:48.0,,,102-124,,Defensive rebound by A. Varejao
1:30.0,Personal block foul by A. Baynes (drawn by I. Clark),,102-124,,
1:30.0,Detroit full timeout,,102-124,,
1:30.0,,,102-125,1,I. Clark makes free throw 1 of 2
1:30.0,,,102-125,,I. Clark misses free throw 2 of 2
1:28.0,Defensive rebound by A. Baynes,,102-125,,
1:17.0,H. Ellenson makes 3-pt shot from 26 ft (assist by B. Udrih),3,105-125,,
1:05.0,,,105-125,,Turnover by P. McCaw (bad pass)
0:55.0,A. Baynes makes 2-pt shot at rim (assist by B. Udrih),2,107-125,,
0:40.0,,,107-127,2,K. Looney makes 2-pt shot at rim (assist by A. Varejao)
0:28.0,I. Smith misses 3-pt shot from 24 ft,,107-127,,
0:28.0,,,107-127,,Defensive rebound by K. Looney
0:08.0,,,107-127,,Turnover by A. Varejao (bad pass; steal by A. Baynes)
0:00.0,End of 4th quarter,,,,End of 4th quarter
