time,Miami,pts.away,score,pts.home,Milwaukee
1:57.0,Shooting foul by G. Monroe (drawn by H. Whiteside),,99-111,,
1:57.0,Official timeout,,99-111,,
1:57.0,H. Whiteside makes free throw 1 of 2,1,100-111,,
1:57.0,H. Whiteside makes free throw 2 of 2,1,101-111,,
1:37.0,,,101-111,,Shooting foul by H. Whiteside (drawn by G. Monroe)
1:37.0,,,101-112,1,G. Monroe makes free throw 1 of 2
1:37.0,,,101-113,1,G. Monroe makes free throw 2 of 2
1:27.0,T. Johnson misses 3-pt shot from 23 ft,,101-113,,
1:26.0,Offensive rebound by H. Whiteside,,101-113,,
1:26.0,Shooting foul by G. Antetokounmpo (drawn by H. Whiteside),,101-113,,
1:26.0,H. Whiteside misses free throw 1 of 2,,101-113,,
1:26.0,Offensive rebound by Team,,101-113,,
1:26.0,H. Whiteside makes free throw 2 of 2,1,102-113,,
1:03.0,,,102-113,,J. Parker misses 2-pt shot from 20 ft
1:02.0,Defensive rebound by T. Johnson,,102-113,,
0:58.0,,,102-113,,Personal foul by J. Parker (drawn by H. Whiteside)
0:58.0,H. Whiteside makes free throw 1 of 2,1,103-113,,
0:58.0,H. Whiteside makes free throw 2 of 2,1,104-113,,
0:34.0,,,104-113,,G. Monroe misses 2-pt shot from 8 ft
0:31.0,Defensive rebound by G. Dragic,,104-113,,
0:19.0,H. Whiteside makes 2-pt shot at rim (assist by T. Johnson),2,106-113,,
0:16.0,Personal take foul by G. Dragic (drawn by T. Snell),,106-113,,
0:16.0,,,106-114,1,T. Snell makes free throw 1 of 2
0:16.0,,,106-115,1,T. Snell makes free throw 2 of 2
0:16.0,Miami full timeout,,106-115,,
0:12.0,G. Dragic makes 2-pt shot from 1 ft (assist by J. Johnson),2,108-115,,
0:09.0,Personal take foul by T. Johnson (drawn by G. Antetokounmpo),,108-115,,
0:09.0,,,108-116,1,G. Antetokounmpo makes free throw 1 of 2
0:09.0,,,108-116,,G. Antetokounmpo misses free throw 2 of 2
0:08.0,Defensive rebound by H. Whiteside,,108-116,,
0:00.0,J. Johnson misses 2-pt shot from 5 ft,,108-116,,
0:00.0,Offensive rebound by Team,,108-116,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
