time,Chicago,pts.away,score,pts.home,Oklahoma City
6:11.0,,,111-86,2,D. Sabonis makes 2-pt shot from 2 ft
5:45.0,P. Zipser misses 3-pt shot from 24 ft,,111-86,,
5:44.0,,,111-86,,Defensive rebound by D. Sabonis
5:31.0,,,111-86,,S. Christon misses 2-pt shot from 2 ft
5:31.0,,,111-86,,Offensive rebound by Team
5:29.0,,,111-86,,J. Grant misses 3-pt shot from 23 ft
5:28.0,Defensive rebound by I. Canaan,,111-86,,
5:23.0,,,111-86,,Shooting block foul by S. Christon (drawn by M. Carter-Williams)
5:23.0,M. Carter-Williams makes free throw 1 of 2,1,112-86,,
5:23.0,M. Carter-Williams makes free throw 2 of 2,1,113-86,,
5:01.0,,,113-88,2,J. Huestis makes 2-pt shot from 19 ft (assist by C. Payne)
4:44.0,M. Carter-Williams misses 3-pt shot from 24 ft,,113-88,,
4:43.0,,,113-88,,Defensive rebound by J. Huestis
4:28.0,,,113-88,,D. Sabonis misses 3-pt shot from 25 ft
4:26.0,,,113-88,,Offensive rebound by J. Huestis
4:22.0,,,113-88,,C. Payne misses 2-pt shot from 16 ft
4:21.0,Defensive rebound by C. Felicio,,113-88,,
4:09.0,Shooting foul by J. Grant (drawn by C. Felicio),,113-88,,
4:09.0,C. Felicio makes free throw 1 of 2,1,114-88,,
4:09.0,C. Felicio misses free throw 2 of 2,,114-88,,
4:07.0,,,114-88,,Defensive rebound by D. Sabonis
3:50.0,,,114-88,,D. Sabonis misses 2-pt shot from 19 ft
3:49.0,Defensive rebound by M. Carter-Williams,,114-88,,
3:43.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,116-88,,
3:23.0,Personal foul by B. Portis (drawn by J. Grant),,116-88,,
3:23.0,J. Grant enters the game for C. Felicio,,116-88,,
3:11.0,,,116-88,,J. Huestis misses 3-pt shot from 24 ft
3:11.0,Defensive rebound by J. Grant,,116-88,,
2:58.0,I. Canaan misses 2-pt shot from 4 ft (block by J. Huestis),,116-88,,
2:57.0,,,116-88,,Defensive rebound by S. Christon
2:51.0,,,116-90,2,S. Christon makes 2-pt shot from 2 ft
2:38.0,B. Portis makes 2-pt shot from 20 ft,2,118-90,,
2:23.0,Chicago full timeout,,118-90,,
2:17.0,,,118-92,2,J. Grant makes 2-pt shot from 5 ft
2:00.0,B. Portis misses 2-pt shot from 11 ft,,118-92,,
1:59.0,,,118-92,,Defensive rebound by J. Huestis
1:39.0,,,118-92,,D. Sabonis misses 2-pt shot from 14 ft
1:38.0,Defensive rebound by M. Carter-Williams,,118-92,,
1:33.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,120-92,,
1:22.0,,,120-95,3,J. Huestis makes 3-pt shot from 23 ft (assist by C. Payne)
1:09.0,J. Grant makes 3-pt shot from 22 ft (assist by M. Carter-Williams),3,123-95,,
1:00.0,,,123-95,,C. Payne misses 2-pt shot from 13 ft
1:00.0,,,123-95,,Offensive rebound by J. Huestis
0:56.0,,,123-95,,Turnover by S. Christon (lost ball)
0:48.0,I. Canaan makes 3-pt shot from 28 ft,3,126-95,,
0:34.0,,,126-98,3,C. Payne makes 3-pt shot from 26 ft (assist by J. Huestis)
0:22.0,M. Carter-Williams makes 2-pt shot from 1 ft (assist by I. Canaan),2,128-98,,
0:17.0,,,128-100,2,J. Huestis makes 2-pt shot at rim (assist by C. Payne)
0:00.0,End of 4th quarter,,,,End of 4th quarter
