time,Philadelphia,pts.away,score,pts.home,Oklahoma City
4:47.0,Offensive rebound by Team,,82-112,,
4:47.0,S. Long makes free throw 2 of 2,1,83-112,,
4:27.0,,,83-112,,D. McDermott misses 2-pt shot from 3 ft
4:27.0,Defensive rebound by T. Luwawu-Cabarrot,,83-112,,
4:17.0,S. Long makes 2-pt shot from 1 ft (assist by S. Rodriguez),2,85-112,,
4:05.0,,,85-114,2,N. Cole makes 2-pt shot from 18 ft
3:49.0,N. Stauskas makes 2-pt shot at rim,2,87-114,,
3:49.0,Shooting foul by A. Abrines (drawn by N. Stauskas),,87-114,,
3:49.0,N. Stauskas makes free throw 1 of 1,1,88-114,,
3:38.0,,,88-114,,D. McDermott misses 3-pt shot from 22 ft
3:37.0,,,88-114,,Offensive rebound by J. Grant
3:17.0,,,88-114,,N. Cole misses 2-pt shot from 15 ft
3:16.0,Defensive rebound by S. Long,,88-114,,
3:10.0,N. Stauskas misses 3-pt shot from 24 ft,,88-114,,
3:09.0,,,88-114,,Defensive rebound by J. Grant
3:03.0,,,88-116,2,D. McDermott makes 2-pt shot from 2 ft (assist by J. Grant)
3:02.0,Philadelphia full timeout,,88-116,,
2:41.0,S. Rodriguez misses 2-pt shot from 20 ft,,88-116,,
2:40.0,,,88-116,,Defensive rebound by N. Collison
2:21.0,,,88-116,,Turnover by A. Abrines (bad pass; steal by S. Rodriguez)
2:16.0,N. Stauskas misses 2-pt shot from 2 ft,,88-116,,
2:15.0,Offensive rebound by J. Anderson,,88-116,,
2:15.0,J. Anderson makes 2-pt shot from 2 ft,2,90-116,,
1:57.0,,,90-116,,J. Grant misses 3-pt shot from 23 ft
1:56.0,,,90-116,,Offensive rebound by N. Collison
1:56.0,,,90-118,2,D. McDermott makes 2-pt shot from 2 ft (assist by N. Collison)
1:42.0,J. Anderson misses 2-pt shot from 21 ft,,90-118,,
1:41.0,,,90-118,,Defensive rebound by N. Collison
1:34.0,,,90-118,,N. Cole misses 2-pt shot from 16 ft
1:34.0,Defensive rebound by J. Anderson,,90-118,,
1:27.0,,,90-118,,Personal block foul by N. Collison (drawn by S. Rodriguez)
1:18.0,T. Luwawu-Cabarrot makes 3-pt shot from 22 ft (assist by S. Rodriguez),3,93-118,,
1:08.0,,,93-118,,D. McDermott misses 2-pt shot from 18 ft
1:07.0,,,93-118,,Offensive rebound by N. Collison
1:07.0,,,93-120,2,N. Collison makes 2-pt shot from 1 ft
0:55.0,J. Anderson misses 2-pt shot from 11 ft,,93-120,,
0:53.0,Offensive rebound by Team,,93-120,,
0:53.0,,,93-120,,Loose ball foul by N. Collison (drawn by S. Long)
0:53.0,S. Long makes free throw 1 of 2,1,94-120,,
0:53.0,S. Long makes free throw 2 of 2,1,95-120,,
0:41.0,,,95-122,2,D. McDermott makes 2-pt shot at rim (assist by N. Cole)
0:33.0,J. Anderson misses 2-pt shot from 1 ft (block by N. Collison),,95-122,,
0:31.0,Offensive rebound by J. Anderson,,95-122,,
0:28.0,S. Long makes 2-pt shot at rim (assist by J. Anderson),2,97-122,,
0:16.0,,,97-122,,N. Cole misses 2-pt shot from 16 ft
0:13.0,Defensive rebound by S. Rodriguez,,97-122,,
0:02.0,Turnover by J. Anderson (lost ball; steal by A. Abrines),,97-122,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
