time,New Orleans,pts.away,score,pts.home,Miami
5:13.0,J. Holiday enters the game for D. Cunningham,,102-105,,
5:13.0,A. Davis enters the game for J. Crawford,,102-105,,
5:13.0,,,102-105,,Miami full timeout
4:58.0,,,102-105,,G. Dragic misses 2-pt shot from 7 ft
4:57.0,Defensive rebound by J. Holiday,,102-105,,
4:40.0,D. Cousins misses 2-pt shot from 4 ft (block by H. Whiteside),,102-105,,
4:39.0,Offensive rebound by T. Frazier,,102-105,,
4:36.0,E. Moore misses 3-pt shot from 23 ft,,102-105,,
4:32.0,,,102-105,,Defensive rebound by Team
4:13.0,,,102-108,3,J. Johnson makes 3-pt shot from 23 ft (assist by G. Dragic)
3:47.0,Turnover by Team (shot clock),,102-108,,
3:47.0,S. Hill enters the game for T. Frazier,,102-108,,
3:38.0,,,102-111,3,J. Johnson makes 3-pt shot from 24 ft (assist by G. Dragic)
3:19.0,J. Holiday misses 2-pt shot from 1 ft,,102-111,,
3:18.0,Offensive rebound by A. Davis,,102-111,,
3:17.0,A. Davis makes 2-pt shot at rim,2,104-111,,
2:59.0,,,104-111,,J. Johnson misses 2-pt shot from 7 ft (block by A. Davis)
2:57.0,,,104-111,,Offensive rebound by H. Whiteside
2:56.0,,,104-113,2,H. Whiteside makes 2-pt shot at rim
2:55.0,New Orleans full timeout,,104-113,,
2:46.0,A. Davis misses 2-pt shot from 1 ft,,104-113,,
2:45.0,Offensive rebound by S. Hill,,104-113,,
2:44.0,S. Hill misses 2-pt shot from 2 ft,,104-113,,
2:43.0,,,104-113,,Defensive rebound by H. Whiteside
2:21.0,,,104-113,,G. Dragic misses 2-pt shot from 2 ft
2:20.0,,,104-113,,Offensive rebound by G. Dragic
2:00.0,,,104-113,,D. Waiters misses 2-pt shot from 2 ft
1:59.0,Defensive rebound by D. Cousins,,104-113,,
1:54.0,Turnover by S. Hill (bad pass; steal by T. Johnson),,104-113,,
1:51.0,Personal foul by A. Davis (drawn by J. Johnson),,104-113,,
1:35.0,,,104-113,,Shooting foul by D. Cousins (drawn by J. Johnson)
1:35.0,,,104-113,,Technical foul by J. Johnson
1:35.0,A. Davis misses technical free throw,,104-113,,
1:35.0,,,104-113,,Offensive rebound by Team
1:35.0,,,104-114,1,J. Johnson makes free throw 1 of 2
1:35.0,,,104-115,1,J. Johnson makes free throw 2 of 2
1:35.0,New Orleans full timeout,,104-115,,
1:35.0,D. Cunningham enters the game for D. Cousins,,104-113,,
1:35.0,J. Crawford enters the game for S. Hill,,104-115,,
1:27.0,J. Crawford misses 2-pt shot from 2 ft,,104-115,,
1:26.0,,,104-115,,Defensive rebound by H. Whiteside
1:07.0,,,104-118,3,D. Waiters makes 3-pt shot from 25 ft
0:56.0,A. Davis makes 2-pt shot from 9 ft,2,106-118,,
0:40.0,,,106-118,,D. Waiters misses 3-pt shot from 26 ft
0:39.0,,,106-118,,Offensive rebound by H. Whiteside
0:38.0,,,106-120,2,H. Whiteside makes 2-pt shot from 1 ft
0:30.0,J. Holiday makes 2-pt shot from 2 ft,2,108-120,,
0:30.0,Shooting foul by H. Whiteside (drawn by J. Holiday),,108-120,,
0:30.0,J. Holiday makes free throw 1 of 1,1,109-120,,
0:18.0,,,109-120,,Turnover by G. Dragic (lost ball; steal by J. Crawford)
0:14.0,D. Cunningham makes 3-pt shot from 25 ft (assist by J. Holiday),3,112-120,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
