time,Atlanta,pts.away,score,pts.home,Minnesota
2:47.0,K. Humphries makes 2-pt shot from 1 ft,2,80-100,,
2:33.0,,,80-100,,K. Dunn misses 2-pt shot from 19 ft
2:31.0,,,80-100,,Offensive rebound by J. Hill
2:28.0,,,80-100,,T. Jones misses 3-pt shot from 23 ft
2:27.0,Defensive rebound by T. Waller-Prince,,80-100,,
2:20.0,D. Bembry makes 2-pt shot from 1 ft (assist by T. Waller-Prince),2,82-100,,
2:20.0,Shooting foul by K. Dunn,,82-100,,
2:20.0,,,82-100,,Minnesota full timeout
2:20.0,D. Bembry makes free throw 1 of 1,1,83-100,,
2:20.0,M. Scott enters the game for M. Delaney,,82-100,,
2:07.0,,,83-102,2,N. Bjelica makes 2-pt shot from 11 ft
1:45.0,R. Kelly misses 2-pt shot from 20 ft,,83-102,,
1:43.0,Offensive rebound by K. Humphries,,83-102,,
1:34.0,R. Kelly makes 3-pt shot from 23 ft (assist by T. Waller-Prince),3,86-102,,
1:20.0,,,86-102,,N. Bjelica misses 3-pt shot from 24 ft
1:19.0,Defensive rebound by M. Scott,,86-102,,
1:07.0,M. Scott misses 3-pt shot from 25 ft,,86-102,,
1:06.0,,,86-102,,Defensive rebound by K. Dunn
0:56.0,,,86-102,,Turnover by N. Bjelica (lost ball; steal by R. Kelly)
0:52.0,T. Waller-Prince makes 2-pt shot at rim (assist by K. Humphries),2,88-102,,
0:36.0,,,88-102,,Shooting foul by R. Kelly (drawn by N. Bjelica)
0:36.0,,,88-103,1,N. Bjelica makes free throw 1 of 2
0:36.0,,,88-104,1,N. Bjelica makes free throw 2 of 2
0:28.0,,,88-104,,Violation by K. Dunn (kicked ball)
0:18.0,Shooting foul by N. Bjelica (drawn by K. Humphries),,88-104,,
0:18.0,K. Humphries makes free throw 1 of 2,1,89-104,,
0:18.0,K. Humphries makes free throw 2 of 2,1,90-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
