time,San Antonio,pts.away,score,pts.home,Washington
1:07.0,T. Parker makes 2-pt shot from 6 ft,2,111-96,,
1:07.0,,,111-96,,Washington full timeout
1:07.0,N. Laprovittola enters the game for K. Leonard,,111-96,,
1:07.0,D. Bertans enters the game for L. Aldridge,,111-96,,
1:07.0,K. Anderson enters the game for T. Parker,,111-96,,
1:07.0,D. Murray enters the game for D. Lee,,111-96,,
1:07.0,B. Forbes enters the game for J. Simmons,,111-96,,
1:07.0,,,111-96,,A. Nicholson enters the game for O. Porter
1:07.0,,,111-96,,S. Mac enters the game for M. Gortat
1:07.0,,,111-96,,T. Satoransky enters the game for B. Beal
1:07.0,,,111-96,,J. Smith enters the game for J. Wall
1:01.0,,,111-98,2,T. Burke makes 2-pt shot from 20 ft
0:49.0,,,111-98,,Personal foul by T. Burke (drawn by D. Murray)
0:49.0,D. Murray misses free throw 1 of 2,,111-98,,
0:49.0,Offensive rebound by Team,,111-98,,
0:49.0,D. Murray misses free throw 2 of 2,,111-98,,
0:48.0,,,111-98,,Defensive rebound by J. Smith
0:27.0,,,111-100,2,A. Nicholson makes 2-pt shot at rim (assist by T. Burke)
0:17.0,,,111-100,,Personal foul by A. Nicholson (drawn by K. Anderson)
0:17.0,K. Anderson misses free throw 1 of 2,,111-100,,
0:17.0,Offensive rebound by Team,,111-100,,
0:17.0,K. Anderson makes free throw 2 of 2,1,112-100,,
0:04.0,,,112-100,,T. Burke misses 2-pt shot from 16 ft
0:03.0,Defensive rebound by B. Forbes,,112-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
