time,Indiana,pts.away,score,pts.home,Minnesota
0:41.0,,,105-97,,Offensive rebound by A. Wiggins
0:41.0,,,105-97,,Shooting foul by P. George (drawn by A. Wiggins)
0:41.0,,,105-98,1,A. Wiggins makes free throw 1 of 2
0:41.0,,,105-99,1,A. Wiggins makes free throw 2 of 2
0:41.0,Indiana full timeout,,105-99,,
0:41.0,C. Miles enters the game for G. Robinson,,105-98,,
0:38.0,G. Robinson enters the game for C. Miles,,105-99,,
0:38.0,Turnover by P. George (lost ball; steal by A. Wiggins),,105-99,,
0:38.0,Jump ball: P. George vs. A. Wiggins (G. Dieng gains possession),,,,Jump ball: P. George vs. A. Wiggins (G. Dieng gains possession)
0:26.0,,,105-99,,Shooting foul by G. Robinson (drawn by Z. LaVine)
0:26.0,,,105-100,1,Z. LaVine makes free throw 1 of 2
0:26.0,,,105-101,1,Z. LaVine makes free throw 2 of 2
0:26.0,Indiana full timeout,,105-101,,
0:26.0,C. Miles enters the game for G. Robinson,,105-100,,
0:23.0,,,105-101,,Personal foul by R. Rubio (drawn by P. George)
0:23.0,P. George makes free throw 1 of 2,1,106-101,,
0:23.0,P. George misses free throw 2 of 2,,106-101,,
0:23.0,,,106-101,,Defensive rebound by G. Dieng
0:23.0,G. Robinson enters the game for C. Miles,,106-101,,
0:16.0,,,106-103,2,A. Wiggins makes 2-pt shot from 1 ft
0:10.0,M. Turner makes 2-pt shot from 2 ft (assist by J. Teague),2,108-103,,
0:06.0,,,108-103,,Z. LaVine misses 3-pt shot from 26 ft
0:04.0,Defensive rebound by T. Young,,108-103,,
0:03.0,,,108-103,,Personal foul by K. Towns (drawn by T. Young)
0:03.0,T. Young misses free throw 1 of 2,,108-103,,
0:03.0,Offensive rebound by Team,,108-103,,
0:03.0,T. Young makes free throw 2 of 2,1,109-103,,
0:00.0,,,109-103,,A. Wiggins misses 3-pt shot from 41 ft
0:00.0,,,109-103,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
