time,Miami,pts.away,score,pts.home,Cleveland
1:08.0,,,103-98,2,D. Williams makes 2-pt shot from 15 ft (assist by K. Irving)
0:48.0,D. Waiters misses 3-pt shot from 26 ft,,103-98,,
0:47.0,,,103-98,,Defensive rebound by T. Thompson
0:35.0,,,103-98,,L. James misses 3-pt shot from 26 ft
0:35.0,Defensive rebound by W. Ellington,,103-98,,
0:12.0,D. Waiters makes 3-pt shot from 32 ft (assist by J. Richardson),3,106-98,,
0:12.0,,,106-98,,Cleveland full timeout
0:12.0,,,106-98,,D. Liggins enters the game for L. James
0:09.0,,,106-98,,K. Irving misses 3-pt shot from 34 ft
0:09.0,Defensive rebound by Team,,106-98,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
