time,Houston,pts.away,score,pts.home,Orlando
1:26.0,J. Harden misses 3-pt shot from 25 ft,,99-93,,
1:25.0,,,99-93,,Defensive rebound by S. Ibaka
1:06.0,,,99-93,,J. Green misses 3-pt shot from 23 ft
1:04.0,Defensive rebound by E. Gordon,,99-93,,
0:42.0,J. Harden misses 3-pt shot from 25 ft,,99-93,,
0:41.0,Offensive rebound by Team,,99-93,,
0:41.0,Turnover by Team (shot clock),,99-93,,
0:41.0,,,99-93,,Orlando full timeout
0:41.0,,,99-93,,N. Vucevic enters the game for E. Payton
0:41.0,,,99-93,,D. Augustin enters the game for J. Green
0:31.0,,,99-93,,A. Gordon misses 3-pt shot from 26 ft
0:30.0,Defensive rebound by N. Hilario,,99-93,,
0:15.0,,,99-93,,Personal foul by D. Augustin (drawn by T. Ariza)
0:15.0,,,99-93,,J. Green enters the game for N. Vucevic
0:14.0,,,99-93,,Personal foul by E. Fournier (drawn by J. Harden)
0:14.0,J. Harden makes free throw 1 of 2,1,100-93,,
0:14.0,J. Harden misses free throw 2 of 2,,100-93,,
0:14.0,P. Beverley enters the game for R. Anderson,,100-93,,
0:13.0,,,100-93,,Defensive rebound by E. Fournier
0:13.0,,,100-93,,Orlando full timeout
0:07.0,,,100-93,,S. Ibaka misses 2-pt shot from 12 ft
0:04.0,Defensive rebound by E. Gordon,,100-93,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
