time,Dallas,pts.away,score,pts.home,Brooklyn
3:59.0,J. Barea makes 2-pt shot from 15 ft,2,98-94,,
3:44.0,,,98-94,,B. Lopez misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by Team,,98-94,,
3:26.0,H. Barnes misses 2-pt shot from 3 ft,,98-94,,
3:25.0,,,98-94,,Defensive rebound by R. Hollis-Jefferson
3:13.0,,,98-96,2,R. Foye makes 2-pt shot from 18 ft (assist by S. Dinwiddie)
2:55.0,J. Barea makes 2-pt shot from 20 ft,2,100-96,,
2:30.0,,,100-96,,Turnover by S. Dinwiddie (bad pass; steal by J. Barea)
2:16.0,J. Barea makes 3-pt shot from 25 ft,3,103-96,,
2:15.0,,,103-96,,Brooklyn full timeout
2:06.0,,,103-96,,R. Foye misses 3-pt shot from 25 ft
2:05.0,,,103-96,,Offensive rebound by R. Hollis-Jefferson
1:50.0,,,103-99,3,R. Foye makes 3-pt shot from 25 ft
1:36.0,,,103-99,,Personal foul by R. Foye (drawn by W. Matthews)
1:28.0,Turnover by J. Barea (bad pass; steal by S. Dinwiddie),,103-99,,
1:20.0,,,103-99,,Shooting foul by W. Matthews (drawn by R. Foye)
1:20.0,,,103-100,1,R. Foye makes free throw 1 of 2
1:20.0,,,103-101,1,R. Foye makes free throw 2 of 2
1:20.0,D. Nowitzki enters the game for N. Noel,,103-100,,
1:07.0,H. Barnes makes 2-pt shot from 2 ft (assist by J. Barea),2,105-101,,
0:44.0,,,105-101,,R. Foye misses 2-pt shot from 1 ft
0:43.0,Defensive rebound by D. Nowitzki,,105-101,,
0:27.0,H. Barnes makes 2-pt shot from 1 ft,2,107-101,,
0:27.0,,,107-101,,Brooklyn full timeout
0:27.0,D. Finney-Smith enters the game for D. Nowitzki,,107-101,,
0:27.0,,,107-101,,Q. Acy enters the game for R. Hollis-Jefferson
0:23.0,,,107-101,,R. Foye misses 2-pt shot from 3 ft (block by D. Finney-Smith)
0:22.0,,,107-101,,Offensive rebound by Team
0:20.0,,,107-101,,Turnover by R. Foye (lost ball)
0:18.0,,,107-101,,Personal foul by B. Lopez (drawn by W. Matthews)
0:18.0,W. Matthews makes free throw 1 of 2,1,108-101,,
0:18.0,W. Matthews makes free throw 2 of 2,1,109-101,,
0:14.0,,,109-104,3,S. Dinwiddie makes 3-pt shot from 27 ft
0:14.0,Dallas full timeout,,109-104,,
0:14.0,Y. Ferrell enters the game for D. Finney-Smith,,109-104,,
0:10.0,,,109-104,,Personal foul by B. Lopez (drawn by Y. Ferrell)
0:10.0,Y. Ferrell makes free throw 1 of 2,1,110-104,,
0:10.0,Y. Ferrell makes free throw 2 of 2,1,111-104,,
0:10.0,D. Finney-Smith enters the game for J. Barea,,110-104,,
0:04.0,,,111-104,,S. Dinwiddie misses 3-pt shot from 31 ft
0:01.0,,,111-104,,Offensive rebound by Q. Acy
0:00.0,End of 4th quarter,,,,End of 4th quarter
