time,Sacramento,pts.away,score,pts.home,Atlanta
9:20.0,,,83-87,,Defensive rebound by P. Millsap
9:20.0,Personal foul by G. Temple (drawn by P. Millsap),,83-87,,
9:05.0,,,83-90,3,M. Delaney makes 3-pt shot from 24 ft (assist by T. Sefolosha)
9:05.0,Sacramento full timeout,,83-90,,
9:05.0,R. Gay enters the game for W. Cauley-Stein,,83-90,,
9:05.0,K. Koufos enters the game for A. Tolliver,,83-90,,
8:49.0,K. Koufos misses 2-pt shot from 8 ft,,83-90,,
8:48.0,,,83-90,,Defensive rebound by P. Millsap
8:37.0,,,83-90,,T. Sefolosha misses 2-pt shot at rim (block by B. McLemore)
8:36.0,Defensive rebound by G. Temple,,83-90,,
8:34.0,Offensive charge foul by G. Temple,,83-90,,
8:34.0,Turnover by G. Temple (offensive foul),,83-90,,
8:34.0,,,83-90,,K. Korver enters the game for T. Sefolosha
8:20.0,,,83-90,,P. Millsap misses 2-pt shot from 7 ft
8:18.0,Defensive rebound by K. Koufos,,83-90,,
8:06.0,M. Barnes makes 3-pt shot from 25 ft (assist by R. Gay),3,86-90,,
7:51.0,,,86-90,,K. Bazemore misses 3-pt shot from 25 ft
7:50.0,Defensive rebound by M. Barnes,,86-90,,
7:45.0,R. Gay makes 2-pt shot from 1 ft (assist by M. Barnes),2,88-90,,
7:28.0,,,88-90,,M. Delaney misses 2-pt shot from 21 ft
7:26.0,Defensive rebound by K. Koufos,,88-90,,
7:12.0,Shooting foul by K. Bazemore (drawn by R. Gay),,88-90,,
7:12.0,R. Gay misses free throw 1 of 2,,88-90,,
7:12.0,Offensive rebound by Team,,88-90,,
7:12.0,R. Gay misses free throw 2 of 2,,88-90,,
7:12.0,,,88-90,,D. Howard enters the game for K. Bazemore
7:12.0,,,88-90,,T. Sefolosha enters the game for M. Delaney
7:12.0,,,88-90,,D. Schroder enters the game for K. Humphries
7:12.0,T. Lawson enters the game for G. Temple,,88-90,,
7:11.0,Offensive rebound by Team,,88-90,,
7:03.0,K. Koufos misses 2-pt shot from 1 ft,,88-90,,
7:03.0,,,88-90,,Defensive rebound by Team
6:45.0,,,88-90,,T. Sefolosha misses 3-pt shot from 23 ft
6:43.0,Defensive rebound by K. Koufos,,88-90,,
6:36.0,Turnover by M. Barnes (bad pass; steal by K. Korver),,88-90,,
6:36.0,Jump ball: R. Gay vs. P. Millsap (D. Howard gains possession),,,,Jump ball: R. Gay vs. P. Millsap (D. Howard gains possession)
6:26.0,,,88-93,3,D. Schroder makes 3-pt shot from 25 ft
6:08.0,R. Gay misses 2-pt shot from 12 ft,,88-93,,
6:06.0,Offensive rebound by B. McLemore,,88-93,,
5:56.0,T. Lawson misses 2-pt shot from 19 ft,,88-93,,
5:53.0,,,88-93,,Defensive rebound by D. Schroder
5:51.0,,,88-93,,Shooting foul by B. McLemore (drawn by D. Schroder)
5:51.0,Official timeout,,88-93,,
5:51.0,,,88-94,1,D. Schroder makes free throw 1 of 2
5:51.0,,,88-95,1,D. Schroder makes free throw 2 of 2
5:51.0,D. Cousins enters the game for M. Barnes,,88-93,,
5:39.0,B. McLemore misses 2-pt shot from 20 ft,,88-95,,
5:37.0,,,88-95,,Defensive rebound by D. Schroder
5:33.0,,,88-95,,K. Korver misses 3-pt shot from 26 ft
5:31.0,Defensive rebound by K. Koufos,,88-95,,
5:11.0,D. Cousins misses 2-pt shot from 4 ft (block by D. Howard),,88-95,,
5:11.0,,,88-95,,Defensive rebound by D. Howard
4:47.0,,,88-95,,P. Millsap misses 2-pt shot from 1 ft (block by K. Koufos)
4:45.0,Defensive rebound by R. Gay,,88-95,,
4:42.0,Turnover by R. Gay (lost ball; steal by T. Sefolosha),,88-95,,
4:34.0,,,88-95,,P. Millsap misses 2-pt shot from 1 ft
4:34.0,,,88-95,,Offensive rebound by D. Howard
4:34.0,,,88-95,,Shooting foul by B. McLemore (drawn by D. Howard)
4:34.0,,,88-95,,D. Howard misses free throw 1 of 2
4:34.0,,,88-95,,Offensive rebound by Team
4:34.0,,,88-95,,D. Howard misses free throw 2 of 2
4:34.0,M. Barnes enters the game for K. Koufos,,88-95,,
4:31.0,Defensive rebound by B. McLemore,,88-95,,
4:10.0,B. McLemore misses 2-pt shot from 1 ft (block by D. Howard),,88-95,,
4:08.0,,,88-95,,Defensive rebound by T. Sefolosha
3:59.0,,,88-98,3,K. Korver makes 3-pt shot from 27 ft (assist by P. Millsap)
3:59.0,Sacramento full timeout,,88-98,,
3:59.0,A. Afflalo enters the game for B. McLemore,,88-98,,
3:39.0,R. Gay makes 2-pt shot from 13 ft,2,90-98,,
3:20.0,,,90-100,2,P. Millsap makes 2-pt shot from 17 ft (assist by D. Schroder)
2:53.0,M. Barnes makes 3-pt shot from 25 ft (assist by T. Lawson),3,93-100,,
2:31.0,Violation by D. Cousins (def goaltending),,93-100,,
2:31.0,,,93-102,2,D. Schroder makes 2-pt shot from 2 ft (assist by P. Millsap)
2:17.0,Turnover by R. Gay (bad pass; steal by P. Millsap),,93-102,,
1:57.0,,,93-102,,T. Sefolosha misses 3-pt shot from 23 ft
1:56.0,Defensive rebound by T. Lawson,,93-102,,
1:51.0,,,93-102,,Personal foul by D. Howard (drawn by D. Cousins)
1:44.0,D. Cousins makes 2-pt shot at rim (assist by T. Lawson),2,95-102,,
1:26.0,,,95-102,,P. Millsap misses 2-pt shot from 15 ft
1:23.0,Defensive rebound by D. Cousins,,95-102,,
1:06.0,Turnover by M. Barnes (lost ball; steal by T. Sefolosha),,95-102,,
0:46.0,,,95-102,,Shooting foul by M. Barnes (drawn by D. Howard)
0:46.0,,,95-103,1,D. Howard makes free throw 1 of 2
0:46.0,,,95-104,1,D. Howard makes free throw 2 of 2
0:34.0,M. Barnes misses 3-pt shot from 23 ft,,95-104,,
0:32.0,,,95-104,,Defensive rebound by T. Sefolosha
0:13.0,,,95-106,2,D. Howard makes 2-pt shot from 2 ft (assist by D. Schroder)
0:00.0,End of 4th quarter,,,,End of 4th quarter
