time,San Antonio,pts.away,score,pts.home,Cleveland
0:00.0,,,107-107,,L. James misses 3-pt shot from 23 ft
0:00.0,,,107-107,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:43.0,Turnover by P. Mills (bad pass; steal by I. Shumpert),,107-107,,
4:30.0,,,107-109,2,K. Irving makes 2-pt shot from 22 ft
4:15.0,K. Leonard makes 2-pt shot from 14 ft (assist by M. Ginobili),2,109-109,,
3:59.0,,,109-109,,K. Irving misses 3-pt shot from 27 ft
3:58.0,Defensive rebound by D. Lee,,109-109,,
3:53.0,Turnover by K. Leonard (lost ball),,109-109,,
3:39.0,,,109-111,2,K. Irving makes 2-pt shot from 19 ft
3:11.0,D. Lee misses 2-pt shot from 1 ft,,109-111,,
3:07.0,,,109-111,,Defensive rebound by L. James
3:04.0,,,109-111,,Offensive charge foul by I. Shumpert
3:04.0,,,109-111,,Turnover by I. Shumpert (offensive foul)
2:57.0,Offensive foul by D. Lee,,109-111,,
2:57.0,Turnover by D. Lee (offensive foul),,109-111,,
2:46.0,,,109-111,,K. Irving misses 2-pt shot from 1 ft
2:43.0,Defensive rebound by K. Leonard,,109-111,,
2:43.0,Shooting foul by L. James (drawn by K. Leonard),,109-111,,
2:43.0,K. Leonard makes free throw 1 of 2,1,110-111,,
2:43.0,K. Leonard makes free throw 2 of 2,1,111-111,,
2:23.0,,,111-111,,T. Thompson misses 2-pt shot from 4 ft
2:23.0,,,111-111,,Offensive rebound by T. Thompson
2:23.0,Personal foul by M. Ginobili (drawn by T. Thompson),,111-111,,
2:13.0,,,111-113,2,K. Irving makes 2-pt shot from 15 ft
1:55.0,P. Mills misses 2-pt shot from 18 ft,,111-113,,
1:54.0,Offensive rebound by M. Ginobili,,111-113,,
1:52.0,P. Mills makes 3-pt shot from 25 ft (assist by M. Ginobili),3,114-113,,
1:39.0,,,114-113,,T. Thompson misses 2-pt shot from 7 ft (block by L. Aldridge)
1:37.0,Defensive rebound by P. Mills,,114-113,,
1:17.0,P. Mills misses 2-pt shot from 18 ft,,114-113,,
1:15.0,,,114-113,,Defensive rebound by K. Love
1:08.0,Personal foul by M. Ginobili (drawn by L. James),,114-113,,
1:08.0,,,114-113,,Cleveland full timeout
1:08.0,D. Green enters the game for M. Ginobili,,114-113,,
0:58.0,,,114-113,,K. Irving misses 3-pt shot from 25 ft
0:57.0,Defensive rebound by K. Leonard,,114-113,,
0:39.0,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Lee),2,116-113,,
0:29.0,,,116-113,,L. James misses 3-pt shot from 32 ft
0:29.0,,,116-113,,Offensive rebound by K. Irving
0:26.0,,,116-113,,Cleveland full timeout
0:26.0,J. Simmons enters the game for D. Lee,,116-113,,
0:24.0,,,116-113,,Turnover by L. James (bad pass)
0:24.0,San Antonio full timeout,,116-113,,
0:24.0,K. Anderson enters the game for J. Simmons,,116-113,,
0:18.0,,,116-113,,Personal foul by K. Love (drawn by K. Anderson)
0:18.0,San Antonio full timeout,,116-113,,
0:14.0,Turnover by K. Leonard (lost ball; steal by L. James),,116-113,,
0:13.0,Jump ball: L. James vs. K. Leonard (K. Love gains possession),,,,Jump ball: L. James vs. K. Leonard (K. Love gains possession)
0:07.0,,,116-113,,Turnover by K. Love (bad pass; steal by K. Leonard)
0:07.0,K. Leonard makes 2-pt shot at rim,2,118-113,,
0:02.0,,,118-115,2,K. Irving makes 2-pt shot from 2 ft
0:02.0,San Antonio full timeout,,118-115,,
0:01.0,,,118-115,,Personal foul by L. James (drawn by L. Aldridge)
0:01.0,L. Aldridge misses free throw 1 of 2,,118-115,,
0:01.0,Offensive rebound by Team,,118-115,,
0:01.0,L. Aldridge misses free throw 2 of 2,,118-115,,
0:01.0,,,118-115,,Defensive rebound by L. James
0:01.0,,,118-115,,Cleveland full timeout
0:00.0,J. Simmons enters the game for P. Mills,,118-115,,
0:00.0,,,118-115,,K. Love misses 3-pt shot from 24 ft
0:00.0,,,118-115,,Offensive rebound by Team
0:00.0,End of 1st overtime,,,,End of 1st overtime
