time,Indiana,pts.away,score,pts.home,San Antonio
3:56.0,P. George makes free throw 2 of 3,1,93-96,,
3:56.0,P. George makes free throw 3 of 3,1,94-96,,
3:34.0,,,94-98,2,K. Leonard makes 2-pt shot from 5 ft
3:14.0,M. Turner misses 2-pt shot from 2 ft (block by D. Green),,94-98,,
3:13.0,Offensive rebound by Team,,94-98,,
3:09.0,C. Miles misses 3-pt shot from 23 ft,,94-98,,
3:08.0,,,94-98,,Defensive rebound by P. Mills
2:55.0,,,94-98,,K. Leonard misses 3-pt shot from 25 ft
2:54.0,Defensive rebound by C. Miles,,94-98,,
2:27.0,C. Miles makes 3-pt shot from 27 ft,3,97-98,,
2:10.0,,,97-98,,P. Mills misses 2-pt shot from 19 ft
2:09.0,Defensive rebound by P. George,,97-98,,
1:54.0,P. George misses 3-pt shot from 24 ft,,97-98,,
1:53.0,,,97-98,,Defensive rebound by K. Leonard
1:46.0,,,97-98,,D. Green misses 2-pt shot from 2 ft
1:45.0,Defensive rebound by J. Teague,,97-98,,
1:35.0,M. Turner makes 2-pt shot from 18 ft (assist by J. Teague),2,99-98,,
1:35.0,,,99-98,,San Antonio full timeout
1:35.0,Official timeout,,99-98,,
1:35.0,,,99-98,,P. Gasol enters the game for D. Lee
1:35.0,,,99-98,,M. Ginobili enters the game for D. Green
1:35.0,G. Robinson enters the game for C. Miles,,99-98,,
1:18.0,,,99-98,,Turnover by L. Aldridge (bad pass; steal by P. George)
1:12.0,Indiana full timeout,,99-98,,
1:12.0,C. Miles enters the game for G. Robinson,,99-98,,
0:54.0,P. George misses 2-pt shot from 18 ft,,99-98,,
0:53.0,,,99-98,,Defensive rebound by M. Ginobili
0:41.0,G. Robinson enters the game for C. Miles,,99-98,,
0:33.0,,,99-98,,Turnover by M. Ginobili (bad pass; steal by M. Turner)
0:14.0,,,99-98,,Personal foul by M. Ginobili (drawn by G. Robinson)
0:14.0,Indiana full timeout,,99-98,,
0:14.0,,,99-98,,J. Simmons enters the game for L. Aldridge
0:14.0,,,99-98,,D. Green enters the game for P. Gasol
0:14.0,C. Miles enters the game for G. Robinson,,99-98,,
0:14.0,M. Ellis enters the game for L. Allen,,99-98,,
0:09.0,,,99-98,,Personal take foul by P. Mills
0:09.0,M. Ellis misses free throw 1 of 2,,99-98,,
0:09.0,Offensive rebound by Team,,99-98,,
0:09.0,M. Ellis misses free throw 2 of 2,,99-98,,
0:09.0,,,99-98,,Defensive rebound by L. Aldridge
0:09.0,,,99-98,,San Antonio full timeout
0:09.0,,,99-98,,L. Aldridge enters the game for J. Simmons
0:09.0,,,99-98,,P. Gasol enters the game for P. Mills
0:09.0,L. Allen enters the game for C. Miles,,99-98,,
0:09.0,,,99-98,,P. Mills enters the game for D. Green
0:09.0,G. Robinson enters the game for M. Ellis,,99-98,,
0:02.0,,,99-100,2,K. Leonard makes 2-pt shot from 16 ft
0:02.0,Indiana full timeout,,99-100,,
0:02.0,,,99-100,,D. Green enters the game for P. Gasol
0:02.0,M. Ellis enters the game for G. Robinson,,99-100,,
0:02.0,C. Miles enters the game for L. Allen,,99-100,,
0:01.0,P. George misses 3-pt shot from 25 ft,,99-100,,
0:00.0,Offensive rebound by Team,,99-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
