time,Atlanta,pts.away,score,pts.home,LA Lakers
2:37.0,D. Bembry makes free throw 1 of 2,1,85-102,,
2:37.0,D. Bembry misses free throw 2 of 2,,85-102,,
2:36.0,,,85-102,,Defensive rebound by Team
2:23.0,,,85-102,,L. Nance misses 2-pt shot at rim
2:18.0,Defensive rebound by R. Kelly,,85-102,,
2:16.0,T. Hardaway misses 3-pt shot from 26 ft,,85-102,,
2:09.0,,,85-102,,Defensive rebound by T. Black
2:00.0,,,85-105,3,L. Williams makes 3-pt shot from 28 ft
1:49.0,T. Hardaway makes 3-pt shot from 26 ft,3,88-105,,
1:27.0,,,88-107,2,J. Clarkson makes 2-pt shot from 2 ft
1:24.0,,,88-107,,Away from play foul by L. Williams
1:24.0,T. Hardaway misses free throw 1 of 1,,88-107,,
1:24.0,Offensive rebound by Team,,88-107,,
1:24.0,,,88-107,,M. Huertas enters the game for L. Nance
1:24.0,,,88-107,,T. Robinson enters the game for L. Williams
1:21.0,T. Hardaway makes 2-pt shot from 2 ft,2,90-107,,
1:00.0,,,90-107,,T. Robinson misses 2-pt shot from 2 ft
0:57.0,Defensive rebound by R. Kelly,,90-107,,
0:50.0,D. Bembry misses 3-pt shot from 25 ft,,90-107,,
0:48.0,,,90-107,,Defensive rebound by B. Ingram
0:36.0,,,90-109,2,T. Black makes 2-pt shot from 5 ft (assist by M. Huertas)
0:28.0,T. Hardaway makes 2-pt shot from 17 ft,2,92-109,,
0:07.0,,,92-109,,Turnover by M. Huertas (bad pass; steal by D. Bembry)
0:02.0,T. Sefolosha makes 2-pt shot at rim (assist by T. Waller-Prince),2,94-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
