time,Detroit,pts.away,score,pts.home,Washington
1:09.0,,,103-122,3,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall)
1:06.0,,,103-122,,Personal foul by J. Wall (drawn by B. Udrih)
1:06.0,B. Udrih makes free throw 1 of 2,1,104-122,,
1:06.0,B. Udrih makes free throw 2 of 2,1,105-122,,
1:06.0,,,103-122,,A. Nicholson enters the game for O. Porter
1:06.0,,,103-122,,D. Ochefu enters the game for M. Gortat
1:06.0,,,103-122,,T. Satoransky enters the game for J. Wall
1:06.0,,,104-122,,T. Burke enters the game for B. Beal
0:43.0,,,105-122,,Turnover by T. Burke (lost ball)
0:20.0,D. Hilliard makes 3-pt shot from 24 ft (assist by J. Leuer),3,108-122,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
