time,Toronto,pts.away,score,pts.home,San Antonio
1:27.0,,,80-108,,D. Murray misses 2-pt shot from 12 ft (block by P. Siakam)
1:25.0,,,80-108,,Offensive rebound by D. Murray
1:23.0,,,80-108,,D. Bertans misses 3-pt shot from 24 ft
1:22.0,Defensive rebound by N. Powell,,80-108,,
1:03.0,N. Powell misses 2-pt shot from 22 ft (block by D. Bertans),,80-108,,
1:02.0,,,80-108,,Defensive rebound by D. Dedmon
0:55.0,,,80-110,2,K. Anderson makes 2-pt shot from 15 ft
0:43.0,J. Poeltl misses 2-pt shot from 1 ft,,80-110,,
0:42.0,Offensive rebound by J. Poeltl,,80-110,,
0:42.0,J. Poeltl makes 2-pt shot from 1 ft,2,82-110,,
0:19.0,,,82-110,,J. Simmons misses 2-pt shot from 14 ft
0:18.0,Defensive rebound by J. Poeltl,,82-110,,
0:07.0,Turnover by J. Poeltl (bad pass; steal by D. Murray),,82-110,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
