time,Oklahoma City,pts.away,score,pts.home,Portland
4:31.0,,,101-99,,Defensive rebound by M. Harkless
4:18.0,,,101-99,,D. Lillard misses 2-pt shot from 2 ft
4:17.0,,,101-99,,Offensive rebound by M. Harkless
4:17.0,,,101-99,,Shooting foul by D. McDermott (drawn by M. Harkless)
4:17.0,,,101-99,,M. Harkless misses free throw 1 of 2
4:17.0,,,101-99,,Offensive rebound by Team
4:17.0,,,101-99,,M. Harkless misses free throw 2 of 2
4:17.0,E. Kanter enters the game for J. Grant,,101-99,,
4:17.0,,,101-99,,C. McCollum enters the game for A. Crabbe
4:16.0,Defensive rebound by R. Westbrook,,101-99,,
3:58.0,D. McDermott misses 3-pt shot from 26 ft,,101-99,,
3:57.0,,,101-99,,Defensive rebound by C. McCollum
3:43.0,,,101-101,2,A. Aminu makes 2-pt shot from 3 ft
3:43.0,,,101-101,,Shooting foul by S. Adams (drawn by A. Aminu)
3:43.0,Oklahoma City full timeout,,101-101,,
3:43.0,,,101-101,,A. Aminu misses free throw 1 of 1
3:43.0,T. Gibson enters the game for S. Adams,,101-101,,
3:42.0,,,101-101,,Offensive rebound by J. Nurkic
3:41.0,,,101-103,2,J. Nurkic makes 2-pt shot at rim
3:25.0,R. Westbrook misses 2-pt shot from 19 ft,,101-103,,
3:24.0,,,101-103,,Defensive rebound by M. Harkless
3:03.0,,,101-103,,D. Lillard misses 2-pt shot from 12 ft
3:02.0,,,101-103,,Offensive rebound by J. Nurkic
2:49.0,,,101-106,3,D. Lillard makes 3-pt shot from 24 ft
2:36.0,E. Kanter misses 2-pt shot from 3 ft,,101-106,,
2:34.0,,,101-106,,Defensive rebound by J. Nurkic
2:16.0,,,101-106,,Shooting foul by D. McDermott (drawn by C. McCollum)
2:16.0,,,101-107,1,C. McCollum makes free throw 1 of 2
2:16.0,,,101-108,1,C. McCollum makes free throw 2 of 2
2:16.0,S. Adams enters the game for E. Kanter,,101-107,,
2:03.0,D. McDermott misses 2-pt shot from 16 ft,,101-108,,
2:02.0,Offensive rebound by T. Gibson,,101-108,,
1:49.0,R. Westbrook misses 3-pt shot from 26 ft,,101-108,,
1:48.0,,,101-108,,Defensive rebound by M. Harkless
1:37.0,Personal foul by A. Roberson (drawn by C. McCollum),,101-108,,
1:37.0,,,101-109,1,C. McCollum makes free throw 1 of 2
1:37.0,,,101-110,1,C. McCollum makes free throw 2 of 2
1:28.0,D. McDermott misses 3-pt shot from 24 ft,,101-110,,
1:28.0,,,101-110,,Defensive rebound by Team
1:14.0,Violation by S. Adams (kicked ball),,101-110,,
1:02.0,,,101-110,,Turnover by D. Lillard (lost ball; steal by R. Westbrook)
1:00.0,Shooting foul by C. McCollum (drawn by A. Roberson),,101-110,,
1:00.0,A. Roberson makes free throw 1 of 2,1,102-110,,
1:00.0,A. Roberson makes free throw 2 of 2,1,103-110,,
0:41.0,,,103-110,,D. Lillard misses 2-pt shot from 2 ft (block by T. Gibson)
0:39.0,Defensive rebound by T. Gibson,,103-110,,
0:37.0,R. Westbrook makes 2-pt shot from 1 ft,2,105-110,,
0:37.0,Shooting foul by A. Aminu (drawn by R. Westbrook),,105-110,,
0:37.0,R. Westbrook makes free throw 1 of 1,1,106-110,,
0:32.0,,,106-110,,Turnover by C. McCollum (bad pass)
0:32.0,Oklahoma City full timeout,,106-110,,
0:32.0,A. Abrines enters the game for A. Roberson,,106-110,,
0:27.0,R. Westbrook misses 2-pt shot from 3 ft,,106-110,,
0:26.0,Offensive rebound by S. Adams,,106-110,,
0:22.0,R. Westbrook misses 3-pt shot from 23 ft,,106-110,,
0:21.0,Offensive rebound by T. Gibson,,106-110,,
0:18.0,A. Abrines makes 3-pt shot from 23 ft (assist by T. Gibson),3,109-110,,
0:18.0,,,109-110,,Portland full timeout
0:18.0,N. Cole enters the game for A. Abrines,,109-110,,
0:18.0,A. Roberson enters the game for D. McDermott,,109-110,,
0:18.0,,,109-110,,A. Crabbe enters the game for M. Harkless
0:18.0,,,109-110,,Portland full timeout
0:14.0,Personal take foul by A. Roberson (drawn by D. Lillard),,109-110,,
0:14.0,,,109-111,1,D. Lillard makes free throw 1 of 2
0:14.0,,,109-112,1,D. Lillard makes free throw 2 of 2
0:14.0,Oklahoma City full timeout,,109-112,,
0:14.0,,,109-111,,M. Harkless enters the game for A. Crabbe
0:14.0,A. Abrines enters the game for A. Roberson,,109-112,,
0:14.0,D. McDermott enters the game for N. Cole,,109-112,,
0:11.0,R. Westbrook misses 3-pt shot from 26 ft,,109-112,,
0:10.0,,,109-112,,Defensive rebound by A. Aminu
0:08.0,Personal take foul by A. Abrines (drawn by D. Lillard),,109-112,,
0:08.0,,,109-113,1,D. Lillard makes free throw 1 of 2
0:08.0,,,109-114,1,D. Lillard makes free throw 2 of 2
0:08.0,Oklahoma City full timeout,,109-114,,
0:06.0,R. Westbrook misses 3-pt shot from 26 ft,,109-114,,
0:05.0,Offensive rebound by R. Westbrook,,109-114,,
0:02.0,D. McDermott misses 3-pt shot from 25 ft,,109-114,,
0:01.0,,,109-114,,Defensive rebound by A. Aminu
0:00.0,End of 4th quarter,,,,End of 4th quarter
