time,Charlotte,pts.away,score,pts.home,Cleveland
2:19.0,C. Zeller makes 2-pt shot at rim (assist by N. Batum),2,99-111,,
1:53.0,,,99-111,,L. James misses 3-pt shot from 25 ft
1:52.0,Defensive rebound by C. Zeller,,99-111,,
1:41.0,C. Zeller makes 2-pt shot from 1 ft (assist by M. Williams),2,101-111,,
1:16.0,,,101-111,,I. Shumpert misses 3-pt shot from 24 ft
1:16.0,Defensive rebound by N. Batum,,101-111,,
1:09.0,N. Batum misses 2-pt shot from 11 ft,,101-111,,
1:07.0,Offensive rebound by C. Zeller,,101-111,,
1:05.0,M. Williams misses 2-pt shot from 10 ft,,101-111,,
1:03.0,Offensive rebound by C. Zeller,,101-111,,
1:03.0,C. Zeller makes 2-pt shot from 1 ft,2,103-111,,
0:41.0,,,103-111,,Shooting foul by R. Sessions (drawn by K. Love)
0:41.0,,,103-112,1,K. Love makes free throw 1 of 2
0:41.0,,,103-113,1,K. Love makes free throw 2 of 2
0:41.0,,,103-112,,D. Liggins enters the game for K. Irving
0:35.0,R. Sessions makes 2-pt shot at rim,2,105-113,,
0:28.0,,,105-115,2,L. James makes 2-pt shot at rim (assist by I. Shumpert)
0:28.0,,,105-115,,Shooting foul by M. Belinelli (drawn by L. James)
0:28.0,,,105-116,1,L. James makes free throw 1 of 1
0:28.0,,,105-115,,R. Jefferson enters the game for K. Love
0:19.0,M. Williams misses 3-pt shot from 28 ft,,105-116,,
0:18.0,,,105-116,,Defensive rebound by L. James
0:00.0,End of 4th quarter,,,,End of 4th quarter
