time,Brooklyn,pts.away,score,pts.home,Memphis
6:21.0,B. Lopez makes 2-pt shot from 9 ft,2,100-100,,
6:07.0,,,100-100,,M. Gasol misses 3-pt shot from 25 ft
6:07.0,Defensive rebound by Team,,100-100,,
6:07.0,,,100-100,,A. Harrison enters the game for M. Conley
5:51.0,J. Lin makes 2-pt shot from 15 ft,2,102-100,,
5:34.0,,,102-102,2,T. Douglas makes 2-pt shot from 2 ft (assist by M. Gasol)
5:12.0,Shooting foul by J. Green (drawn by R. Hollis-Jefferson),,102-102,,
5:12.0,,,102-102,,Memphis full timeout
5:12.0,R. Hollis-Jefferson misses free throw 1 of 2,,102-102,,
5:12.0,Offensive rebound by Team,,102-102,,
5:12.0,R. Hollis-Jefferson makes free throw 2 of 2,1,103-102,,
5:12.0,S. Kilpatrick enters the game for I. Whitehead,,102-102,,
4:47.0,,,103-102,,Turnover by J. Green (lost ball; steal by R. Hollis-Jefferson)
4:41.0,C. LeVert misses 3-pt shot from 24 ft,,103-102,,
4:39.0,,,103-102,,Defensive rebound by A. Harrison
4:35.0,Personal foul by B. Lopez (drawn by M. Gasol),,103-102,,
4:35.0,,,103-103,1,M. Gasol makes free throw 1 of 2
4:35.0,,,103-104,1,M. Gasol makes free throw 2 of 2
4:35.0,,,103-103,,M. Conley enters the game for A. Harrison
4:22.0,,,103-104,,Personal foul by M. Conley (drawn by J. Lin)
4:15.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by C. LeVert),2,105-104,,
3:51.0,,,105-104,,V. Carter misses 2-pt shot from 2 ft
3:49.0,,,105-104,,Offensive rebound by V. Carter
3:49.0,,,105-104,,V. Carter misses 2-pt shot from 2 ft
3:47.0,Defensive rebound by J. Lin,,105-104,,
3:43.0,Shooting foul by M. Conley (drawn by S. Kilpatrick),,105-104,,
3:43.0,S. Kilpatrick makes free throw 1 of 2,1,106-104,,
3:43.0,S. Kilpatrick makes free throw 2 of 2,1,107-104,,
3:43.0,,,106-104,,Z. Randolph enters the game for J. Green
3:43.0,T. Booker enters the game for R. Hollis-Jefferson,,106-104,,
3:30.0,,,107-104,,T. Douglas misses 2-pt shot from 3 ft (block by T. Booker)
3:28.0,Defensive rebound by T. Booker,,107-104,,
3:23.0,J. Lin misses 2-pt shot from 3 ft,,107-104,,
3:20.0,Offensive rebound by T. Booker,,107-104,,
3:08.0,Turnover by J. Lin (lost ball; steal by V. Carter),,107-104,,
3:02.0,,,107-104,,M. Conley misses 2-pt shot from 3 ft
2:58.0,,,107-104,,Offensive rebound by M. Gasol
2:55.0,,,107-104,,M. Conley misses 3-pt shot from 24 ft
2:54.0,Defensive rebound by S. Kilpatrick,,107-104,,
2:48.0,Shooting foul by T. Douglas (drawn by J. Lin),,107-104,,
2:48.0,Brooklyn full timeout,,107-104,,
2:48.0,J. Lin makes free throw 1 of 2,1,108-104,,
2:48.0,J. Lin makes free throw 2 of 2,1,109-104,,
2:34.0,,,109-104,,M. Conley misses 2-pt shot from 12 ft
2:33.0,Defensive rebound by Team,,109-104,,
2:33.0,,,109-104,,Loose ball foul by Z. Randolph (drawn by J. Lin)
2:33.0,J. Lin makes free throw 1 of 2,1,110-104,,
2:33.0,J. Lin makes free throw 2 of 2,1,111-104,,
2:32.0,Personal foul by S. Kilpatrick (drawn by M. Conley),,111-104,,
2:32.0,,,111-105,1,M. Conley makes free throw 1 of 2
2:32.0,,,111-106,1,M. Conley makes free throw 2 of 2
2:32.0,,,111-105,,J. Green enters the game for Z. Randolph
2:32.0,,,111-105,,T. Allen enters the game for V. Carter
2:17.0,J. Lin makes 2-pt shot from 10 ft,2,113-106,,
2:02.0,,,113-106,,T. Douglas misses 3-pt shot from 25 ft
2:01.0,Defensive rebound by S. Kilpatrick,,113-106,,
1:43.0,J. Lin makes 3-pt shot from 26 ft,3,116-106,,
1:43.0,,,116-106,,Memphis full timeout
1:43.0,,,116-106,,Z. Randolph enters the game for J. Green
1:43.0,,,116-106,,T. Daniels enters the game for T. Allen
1:43.0,,,116-106,,Turnover by Team (5 sec inbounds)
1:43.0,,,116-106,,T. Allen enters the game for T. Daniels
1:43.0,,,116-106,,J. Green enters the game for Z. Randolph
1:33.0,,,116-106,,Personal foul by M. Conley (drawn by B. Lopez)
1:33.0,B. Lopez makes free throw 1 of 2,1,117-106,,
1:33.0,B. Lopez makes free throw 2 of 2,1,118-106,,
1:33.0,,,118-106,,Memphis full timeout
1:33.0,,,117-106,,T. Daniels enters the game for T. Allen
1:33.0,,,118-106,,V. Carter enters the game for J. Green
1:33.0,R. Hollis-Jefferson enters the game for B. Lopez,,118-106,,
1:24.0,,,118-106,,T. Daniels misses 3-pt shot from 25 ft
1:23.0,Defensive rebound by S. Kilpatrick,,118-106,,
1:16.0,,,118-106,,Personal take foul by M. Gasol (drawn by S. Kilpatrick)
1:16.0,S. Kilpatrick makes free throw 1 of 2,1,119-106,,
1:16.0,S. Kilpatrick makes free throw 2 of 2,1,120-106,,
1:16.0,,,120-106,,Memphis full timeout
1:10.0,,,120-106,,T. Daniels misses 3-pt shot from 26 ft
1:08.0,Defensive rebound by S. Kilpatrick,,120-106,,
0:45.0,R. Hollis-Jefferson misses 3-pt shot from 23 ft,,120-106,,
0:45.0,,,120-106,,Defensive rebound by V. Carter
0:34.0,,,120-106,,M. Gasol misses 2-pt shot from 3 ft
0:32.0,Defensive rebound by R. Hollis-Jefferson,,120-106,,
0:32.0,,,120-106,,Personal take foul by M. Conley (drawn by S. Kilpatrick)
0:32.0,S. Kilpatrick makes free throw 1 of 2,1,121-106,,
0:32.0,S. Kilpatrick makes free throw 2 of 2,1,122-106,,
0:32.0,S. Dinwiddie enters the game for J. Lin,,121-106,,
0:28.0,,,122-106,,Shooting foul by R. Hollis-Jefferson (drawn by M. Conley)
0:28.0,,,122-107,1,M. Conley makes free throw 1 of 3
0:28.0,,,122-108,1,M. Conley makes free throw 2 of 3
0:28.0,,,122-109,1,M. Conley makes free throw 3 of 3
0:28.0,B. Lopez enters the game for R. Hollis-Jefferson,,122-107,,
0:04.0,Turnover by Team (shot clock),,122-109,,
0:00.0,,,122-109,,V. Carter misses 3-pt shot from 25 ft
0:00.0,,,122-109,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
