time,Denver,pts.away,score,pts.home,Sacramento
3:48.0,J. Nelson misses 2-pt shot from 21 ft,,44-32,,
3:47.0,,,44-32,,Defensive rebound by S. Labissiere
3:38.0,,,44-32,,T. Evans misses 2-pt shot from 18 ft
3:37.0,Defensive rebound by N. Jokic,,44-32,,
3:32.0,Shooting foul by S. Labissiere (drawn by D. Gallinari),,44-32,,
3:32.0,D. Gallinari makes free throw 1 of 2,1,45-32,,
3:32.0,D. Gallinari makes free throw 2 of 2,1,46-32,,
3:32.0,,,45-32,,W. Cauley-Stein enters the game for G. Temple
3:32.0,,,45-32,,B. Hield enters the game for S. Labissiere
3:14.0,,,46-34,2,K. Koufos makes 2-pt shot from 3 ft (assist by W. Cauley-Stein)
2:51.0,N. Jokic makes 2-pt shot from 10 ft,2,48-34,,
2:34.0,,,48-34,,T. Evans misses 3-pt shot from 25 ft
2:34.0,,,48-34,,Offensive rebound by K. Koufos
2:29.0,,,48-37,3,B. Hield makes 3-pt shot from 25 ft (assist by K. Koufos)
2:05.0,G. Harris makes 3-pt shot from 25 ft (assist by D. Gallinari),3,51-37,,
1:50.0,,,51-39,2,T. Evans makes 2-pt shot from 4 ft
1:37.0,W. Chandler misses 3-pt shot from 25 ft,,51-39,,
1:37.0,,,51-39,,Defensive rebound by T. Evans
1:23.0,,,51-39,,T. Lawson misses 2-pt shot from 5 ft (block by G. Harris)
1:23.0,,,51-39,,Offensive rebound by Team
1:23.0,Denver full timeout,,51-39,,
1:11.0,,,51-42,3,T. Evans makes 3-pt shot from 25 ft (assist by W. Cauley-Stein)
0:54.0,N. Jokic makes 2-pt shot from 4 ft,2,53-42,,
0:54.0,Shooting foul by T. Lawson (drawn by N. Jokic),,53-42,,
0:54.0,N. Jokic makes free throw 1 of 1,1,54-42,,
0:40.0,,,54-42,,T. Evans misses 3-pt shot from 25 ft
0:40.0,Defensive rebound by D. Gallinari,,54-42,,
0:32.0,D. Gallinari misses 2-pt shot from 23 ft,,54-42,,
0:31.0,,,54-42,,Defensive rebound by B. Hield
0:15.0,,,54-44,2,B. Hield makes 2-pt shot from 2 ft
0:00.0,W. Chandler misses 2-pt shot from 6 ft,,54-44,,
0:00.0,Offensive rebound by Team,,54-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Violation by N. Jokic (kicked ball),,54-44,,
11:31.0,,,54-44,,A. Afflalo misses 2-pt shot from 21 ft
11:31.0,Defensive rebound by Team,,54-44,,
11:05.0,D. Gallinari misses 2-pt shot from 19 ft,,54-44,,
11:05.0,,,54-44,,Defensive rebound by A. Afflalo
10:50.0,,,54-44,,Turnover by W. Cauley-Stein (lost ball; steal by N. Jokic)
10:49.0,,,54-44,,Personal foul by K. Koufos (drawn by D. Gallinari)
10:30.0,W. Chandler misses 3-pt shot from 24 ft,,54-44,,
10:30.0,,,54-44,,Defensive rebound by A. Afflalo
10:21.0,,,54-44,,A. Afflalo misses 3-pt shot from 24 ft
10:20.0,Defensive rebound by N. Jokic,,54-44,,
10:08.0,,,54-44,,Personal foul by K. Koufos (drawn by N. Jokic)
9:55.0,G. Harris makes 2-pt shot from 21 ft (assist by J. Nelson),2,56-44,,
9:35.0,,,56-46,2,D. Collison makes 2-pt shot from 19 ft (assist by B. Hield)
9:21.0,D. Gallinari misses 3-pt shot from 25 ft,,56-46,,
9:21.0,,,56-46,,Defensive rebound by K. Koufos
9:10.0,,,56-48,2,D. Collison makes 2-pt shot from 15 ft
8:50.0,W. Chandler misses 3-pt shot from 22 ft,,56-48,,
8:49.0,Offensive rebound by N. Jokic,,56-48,,
8:44.0,G. Harris misses 2-pt shot from 4 ft,,56-48,,
8:43.0,,,56-48,,Defensive rebound by K. Koufos
8:33.0,,,56-51,3,B. Hield makes 3-pt shot from 25 ft (assist by D. Collison)
8:33.0,Denver full timeout,,56-51,,
8:22.0,N. Jokic makes 2-pt shot from 4 ft,2,58-51,,
8:05.0,,,58-51,,W. Cauley-Stein misses 2-pt shot from 9 ft
8:04.0,,,58-51,,Offensive rebound by B. Hield
7:54.0,,,58-51,,D. Collison misses 2-pt shot from 14 ft
7:51.0,,,58-51,,Offensive rebound by K. Koufos
7:51.0,,,58-53,2,K. Koufos makes 2-pt shot from 1 ft
7:34.0,N. Jokic makes 2-pt shot from 20 ft (assist by J. Nelson),2,60-53,,
7:16.0,,,60-56,3,A. Afflalo makes 3-pt shot from 24 ft (assist by W. Cauley-Stein)
7:15.0,,,60-56,,Violation by Team (jump ball)
7:05.0,Turnover by J. Nelson (bad pass),,60-56,,
6:53.0,,,60-56,,W. Cauley-Stein misses 2-pt shot from 18 ft
6:51.0,Defensive rebound by W. Chandler,,60-56,,
6:39.0,W. Chandler misses 2-pt shot from 3 ft,,60-56,,
6:37.0,Offensive rebound by N. Jokic,,60-56,,
6:36.0,N. Jokic misses 2-pt shot from 3 ft,,60-56,,
6:36.0,Offensive rebound by Team,,60-56,,
6:36.0,M. Plumlee enters the game for D. Gallinari,,60-56,,
6:19.0,J. Nelson misses 2-pt shot from 11 ft,,60-56,,
6:17.0,,,60-56,,Defensive rebound by K. Koufos
6:02.0,,,60-58,2,W. Cauley-Stein makes 2-pt shot from 15 ft (assist by B. Hield)
5:47.0,N. Jokic misses 3-pt shot from 25 ft,,60-58,,
5:46.0,,,60-58,,Defensive rebound by A. Afflalo
5:40.0,,,60-58,,Turnover by A. Afflalo (bad pass; steal by G. Harris)
5:30.0,J. Nelson misses 3-pt shot from 23 ft,,60-58,,
5:29.0,Offensive rebound by G. Harris,,60-58,,
5:29.0,G. Harris makes 2-pt shot at rim,2,62-58,,
5:16.0,,,62-58,,K. Koufos misses 2-pt shot from 13 ft
5:15.0,Defensive rebound by N. Jokic,,62-58,,
5:06.0,J. Nelson makes 2-pt shot from 17 ft,2,64-58,,
4:54.0,Def 3 sec tech foul by M. Plumlee,,64-58,,
4:54.0,,,64-58,,D. Collison misses technical free throw
4:54.0,,,64-58,,Offensive rebound by Team
4:54.0,,,64-58,,S. Labissiere enters the game for A. Afflalo
4:54.0,,,64-58,,T. Evans enters the game for K. Koufos
4:54.0,D. Arthur enters the game for N. Jokic,,64-58,,
4:40.0,,,64-58,,W. Cauley-Stein misses 2-pt shot from 6 ft (block by M. Plumlee)
4:38.0,Defensive rebound by D. Arthur,,64-58,,
4:32.0,G. Harris makes 2-pt shot from 4 ft (assist by M. Plumlee),2,66-58,,
4:09.0,,,66-58,,Shooting foul by W. Chandler (drawn by T. Evans)
4:09.0,,,66-58,,T. Evans misses free throw 1 of 3
4:09.0,,,66-58,,Offensive rebound by Team
4:09.0,,,66-59,1,T. Evans makes free throw 2 of 3
4:09.0,,,66-60,1,T. Evans makes free throw 3 of 3
3:53.0,W. Chandler misses 2-pt shot from 13 ft,,66-60,,
3:52.0,,,66-60,,Defensive rebound by T. Evans
3:42.0,,,66-60,,Shooting foul by W. Chandler (drawn by S. Labissiere)
3:42.0,,,66-61,1,S. Labissiere makes free throw 1 of 2
3:42.0,,,66-61,,S. Labissiere misses free throw 2 of 2
3:42.0,W. Barton enters the game for W. Chandler,,66-61,,
3:40.0,Defensive rebound by W. Barton,,66-61,,
3:19.0,G. Harris makes 2-pt shot from 4 ft (assist by M. Plumlee),2,68-61,,
3:10.0,,,68-61,,S. Labissiere misses 2-pt shot from 3 ft
3:09.0,Defensive rebound by M. Plumlee,,68-61,,
2:57.0,G. Harris makes 3-pt shot from 24 ft (assist by M. Plumlee),3,71-61,,
2:44.0,Personal foul by D. Arthur (drawn by S. Labissiere),,71-61,,
2:44.0,,,71-61,,Sacramento full timeout
2:30.0,,,71-61,,S. Labissiere misses 2-pt shot from 13 ft
2:29.0,Defensive rebound by M. Plumlee,,71-61,,
2:13.0,G. Harris misses 3-pt shot from 25 ft,,71-61,,
2:12.0,,,71-61,,Defensive rebound by S. Labissiere
2:05.0,,,71-61,,T. Evans misses 2-pt shot from 2 ft (block by D. Arthur)
2:03.0,,,71-61,,Offensive rebound by S. Labissiere
2:02.0,,,71-61,,Shooting foul by M. Plumlee (drawn by W. Cauley-Stein)
2:02.0,,,71-62,1,W. Cauley-Stein makes free throw 1 of 2
2:02.0,,,71-63,1,W. Cauley-Stein makes free throw 2 of 2
1:46.0,Shooting foul by S. Labissiere (drawn by M. Plumlee),,71-63,,
1:46.0,M. Plumlee makes free throw 1 of 2,1,72-63,,
1:46.0,M. Plumlee makes free throw 2 of 2,1,73-63,,
1:27.0,Personal foul by W. Barton (drawn by B. Hield),,73-63,,
1:27.0,,,73-64,1,B. Hield makes free throw 1 of 2
1:27.0,,,73-65,1,B. Hield makes free throw 2 of 2
1:27.0,J. Murray enters the game for J. Nelson,,73-64,,
1:23.0,Turnover by J. Murray (lost ball; steal by D. Collison),,73-65,,
1:20.0,,,73-67,2,D. Collison makes 2-pt shot from 1 ft
1:04.0,M. Plumlee makes 2-pt shot from 1 ft,2,75-67,,
0:45.0,,,75-67,,T. Evans misses 2-pt shot from 15 ft
0:42.0,Defensive rebound by W. Barton,,75-67,,
0:28.0,D. Arthur misses 3-pt shot from 26 ft,,75-67,,
0:26.0,,,75-67,,Defensive rebound by B. Hield
0:10.0,,,75-69,2,W. Cauley-Stein makes 2-pt shot from 4 ft (assist by B. Hield)
0:02.0,Turnover by W. Barton (step out of bounds),,75-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,D. Gallinari misses 2-pt shot from 22 ft,,75-69,,
11:36.0,,,75-69,,Defensive rebound by T. Lawson
11:18.0,,,75-69,,T. Evans misses 3-pt shot from 25 ft
11:16.0,Defensive rebound by J. Murray,,75-69,,
11:05.0,,,75-69,,Personal foul by T. Lawson (drawn by M. Plumlee)
10:56.0,J. Murray makes 2-pt shot from 15 ft (assist by M. Plumlee),2,77-69,,
10:49.0,Personal foul by J. Murray (drawn by T. Lawson),,77-69,,
10:40.0,,,77-71,2,S. Labissiere makes 2-pt shot at rim (assist by T. Lawson)
10:12.0,D. Arthur misses 3-pt shot from 25 ft,,77-71,,
10:12.0,,,77-71,,Defensive rebound by W. Cauley-Stein
9:55.0,,,77-73,2,S. Labissiere makes 2-pt shot at rim (assist by T. Evans)
9:55.0,,,77-73,,Shooting foul by M. Plumlee (drawn by S. Labissiere)
9:55.0,Denver full timeout,,77-73,,
9:55.0,,,77-73,,S. Labissiere misses free throw 1 of 1
9:55.0,,,77-73,,K. Koufos enters the game for W. Cauley-Stein
9:53.0,Defensive rebound by D. Gallinari,,77-73,,
9:45.0,,,77-73,,Personal foul by K. Koufos (drawn by M. Plumlee)
9:35.0,Turnover by D. Gallinari (lost ball; steal by T. Evans),,77-73,,
9:30.0,,,77-75,2,T. Evans makes 2-pt shot from 3 ft
9:16.0,J. Murray makes 2-pt shot from 19 ft,2,79-75,,
8:59.0,,,79-77,2,T. Evans makes 2-pt shot from 8 ft (assist by S. Labissiere)
8:59.0,,,79-77,,Shooting foul by D. Arthur (drawn by T. Evans)
8:59.0,,,79-77,,T. Evans misses free throw 1 of 1
8:59.0,G. Harris enters the game for W. Barton,,79-77,,
8:59.0,N. Jokic enters the game for M. Plumlee,,79-77,,
8:58.0,Defensive rebound by D. Gallinari,,79-77,,
8:46.0,J. Murray misses 2-pt shot at rim (block by G. Temple),,79-77,,
8:46.0,,,79-77,,Defensive rebound by Team
8:46.0,Jump ball: N. Jokic vs. K. Koufos (S. Labissiere gains possession),,,,Jump ball: N. Jokic vs. K. Koufos (S. Labissiere gains possession)
8:30.0,,,79-77,,Turnover by S. Labissiere (lost ball)
8:30.0,W. Chandler enters the game for D. Arthur,,79-77,,
8:16.0,G. Harris misses 3-pt shot from 24 ft,,79-77,,
8:15.0,Offensive rebound by J. Murray,,79-77,,
8:08.0,J. Murray makes 3-pt shot from 25 ft,3,82-77,,
7:43.0,,,82-77,,Turnover by T. Evans (lost ball; steal by G. Harris)
7:39.0,Shooting foul by G. Temple (drawn by G. Harris),,82-77,,
7:39.0,G. Harris makes free throw 1 of 2,1,83-77,,
7:39.0,,,83-77,,Sacramento full timeout
7:39.0,G. Harris makes free throw 2 of 2,1,84-77,,
7:39.0,,,83-77,,A. Afflalo enters the game for T. Evans
7:39.0,,,83-77,,W. Cauley-Stein enters the game for S. Labissiere
7:27.0,,,84-79,2,W. Cauley-Stein makes 2-pt shot from 7 ft (assist by T. Lawson)
7:08.0,Shooting foul by T. Lawson (drawn by J. Murray),,84-79,,
7:08.0,J. Murray makes free throw 1 of 2,1,85-79,,
7:08.0,J. Murray makes free throw 2 of 2,1,86-79,,
6:56.0,,,86-79,,W. Cauley-Stein misses 2-pt shot from 10 ft
6:54.0,Defensive rebound by W. Chandler,,86-79,,
6:41.0,J. Murray makes 2-pt shot from 4 ft (assist by N. Jokic),2,88-79,,
6:23.0,,,88-79,,W. Cauley-Stein misses 2-pt shot from 16 ft
6:22.0,Defensive rebound by D. Gallinari,,88-79,,
6:08.0,J. Murray misses 3-pt shot from 25 ft,,88-79,,
6:08.0,,,88-79,,Defensive rebound by T. Lawson
5:57.0,,,88-81,2,T. Lawson makes 2-pt shot from 19 ft (assist by W. Cauley-Stein)
5:39.0,W. Chandler misses 2-pt shot from 12 ft,,88-81,,
5:39.0,,,88-81,,Defensive rebound by T. Lawson
5:31.0,,,88-81,,G. Temple misses 3-pt shot from 24 ft
5:31.0,Defensive rebound by Team,,88-81,,
5:31.0,,,88-81,,Loose ball foul by K. Koufos (drawn by N. Jokic)
5:31.0,N. Jokic makes free throw 1 of 2,1,89-81,,
5:31.0,N. Jokic makes free throw 2 of 2,1,90-81,,
5:31.0,J. Nelson enters the game for W. Chandler,,89-81,,
5:31.0,M. Plumlee enters the game for J. Murray,,89-81,,
5:19.0,,,90-81,,K. Koufos misses 2-pt shot from 2 ft (block by M. Plumlee)
5:18.0,,,90-81,,Offensive rebound by G. Temple
5:07.0,,,90-81,,T. Lawson misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by M. Plumlee,,90-81,,
4:45.0,D. Gallinari makes 3-pt shot from 26 ft (assist by J. Nelson),3,93-81,,
4:45.0,,,93-81,,Sacramento full timeout
4:45.0,,,93-81,,A. Tolliver enters the game for K. Koufos
4:45.0,,,93-81,,B. Hield enters the game for G. Temple
4:29.0,,,93-84,3,A. Tolliver makes 3-pt shot from 24 ft (assist by T. Lawson)
4:07.0,N. Jokic makes 3-pt shot from 25 ft (assist by G. Harris),3,96-84,,
