time,Chicago,pts.away,score,pts.home,Dallas
3:03.0,,,82-99,,Defensive rebound by D. Powell
2:45.0,Personal foul by P. Zipser (drawn by H. Barnes),,82-99,,
2:35.0,,,82-102,3,J. Anderson makes 3-pt shot from 25 ft (assist by D. Williams)
2:12.0,B. Portis misses 2-pt shot from 10 ft (block by J. Anderson),,82-102,,
2:11.0,,,82-102,,Defensive rebound by J. Anderson
2:11.0,,,82-102,,Dallas full timeout
2:11.0,,,82-102,,N. Brussino enters the game for H. Barnes
2:11.0,,,82-102,,J. Gibson enters the game for D. Williams
2:11.0,,,82-102,,A. Hammons enters the game for D. Powell
1:55.0,,,82-102,,A. Hammons misses 2-pt shot from 2 ft (block by C. Felicio)
1:53.0,Defensive rebound by C. Felicio,,82-102,,
1:46.0,Offensive foul by B. Portis,,82-102,,
1:46.0,Turnover by B. Portis (offensive foul),,82-102,,
1:46.0,,,82-102,,S. Mejri enters the game for D. Finney-Smith
1:46.0,R. Hunter enters the game for B. Portis,,82-102,,
1:36.0,,,82-104,2,J. Gibson makes 2-pt shot from 18 ft
1:23.0,C. Felicio misses 2-pt shot from 2 ft,,82-104,,
1:21.0,,,82-104,,Defensive rebound by A. Hammons
1:13.0,,,82-104,,S. Mejri misses 3-pt shot from 24 ft
1:12.0,,,82-104,,Offensive rebound by J. Anderson
0:59.0,,,82-106,2,A. Hammons makes 2-pt shot from 19 ft (assist by N. Brussino)
0:51.0,J. Grant misses 2-pt shot from 20 ft,,82-106,,
0:50.0,,,82-106,,Defensive rebound by S. Mejri
0:41.0,,,82-106,,Shooting foul by J. Grant (drawn by J. Anderson)
0:41.0,,,82-106,,J. Anderson misses free throw 1 of 2
0:41.0,,,82-106,,Offensive rebound by Team
0:41.0,,,82-107,1,J. Anderson makes free throw 2 of 2
0:30.0,J. Grant misses 2-pt shot from 4 ft (block by N. Brussino),,82-107,,
0:29.0,,,82-107,,Defensive rebound by J. Gibson
0:06.0,,,82-107,,S. Mejri misses 3-pt shot from 24 ft
0:04.0,,,82-107,,Offensive rebound by N. Brussino
0:00.0,End of 4th quarter,,,,End of 4th quarter
