time,Philadelphia,pts.away,score,pts.home,Utah
2:36.0,N. Stauskas makes 3-pt shot from 25 ft (assist by R. Covington),3,81-95,,
2:35.0,,,81-95,,Utah full timeout
2:35.0,D. Saric enters the game for E. Ilyasova,,81-95,,
2:35.0,H. Thompson enters the game for R. Covington,,81-95,,
2:35.0,,,81-95,,T. Lyles enters the game for J. Johnson
2:14.0,,,81-95,,R. Gobert misses 2-pt shot from 3 ft
2:13.0,,,81-95,,Offensive rebound by Team
2:10.0,,,81-95,,R. Hood misses 2-pt shot from 16 ft
2:10.0,Defensive rebound by N. Stauskas,,81-95,,
2:02.0,Turnover by N. Stauskas (bad pass; steal by R. Hood),,81-95,,
1:38.0,,,81-95,,Turnover by R. Gobert (step out of bounds)
1:24.0,N. Noel misses 2-pt shot at rim,,81-95,,
1:23.0,,,81-95,,Defensive rebound by G. Hill
1:17.0,,,81-95,,G. Hayward misses 3-pt shot from 23 ft
1:17.0,Defensive rebound by N. Stauskas,,81-95,,
1:05.0,H. Thompson makes 2-pt shot from 22 ft,2,83-95,,
0:50.0,,,83-98,3,G. Hill makes 3-pt shot from 24 ft
0:34.0,N. Stauskas misses 2-pt shot from 2 ft,,83-98,,
0:34.0,Offensive rebound by Team,,83-98,,
0:34.0,,,83-98,,S. Mack enters the game for G. Hill
0:34.0,,,83-98,,J. Withey enters the game for G. Hayward
0:34.0,,,83-98,,J. Ingles enters the game for R. Gobert
0:34.0,,,83-98,,R. Neto enters the game for R. Hood
0:30.0,Turnover by N. Stauskas (bad pass; steal by T. Lyles),,83-98,,
0:10.0,,,83-100,2,T. Lyles makes 2-pt shot from 22 ft (assist by S. Mack)
0:00.0,End of 4th quarter,,,,End of 4th quarter
