time,Toronto,pts.away,score,pts.home,Denver
4:55.0,J. Valanciunas misses free throw 2 of 2,,91-90,,
4:55.0,,,91-90,,W. Chandler enters the game for K. Faried
4:55.0,,,91-90,,N. Jokic enters the game for J. Nurkic
4:53.0,,,91-90,,Defensive rebound by W. Chandler
4:34.0,,,91-90,,D. Gallinari misses 2-pt shot from 2 ft
4:33.0,,,91-90,,Offensive rebound by N. Jokic
4:26.0,,,91-92,2,E. Mudiay makes 2-pt shot from 14 ft (assist by N. Jokic)
4:09.0,T. Ross makes 3-pt shot from 24 ft (assist by D. DeRozan),3,94-92,,
3:48.0,,,94-94,2,E. Mudiay makes 2-pt shot from 19 ft (assist by J. Nelson)
3:24.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by T. Ross),2,96-94,,
3:16.0,Personal foul by D. DeRozan (drawn by J. Nelson),,96-94,,
3:11.0,,,96-94,,Turnover by E. Mudiay (bad pass)
3:00.0,,,96-94,,Personal foul by N. Jokic (drawn by P. Patterson)
3:00.0,P. Patterson makes free throw 1 of 2,1,97-94,,
3:00.0,P. Patterson misses free throw 2 of 2,,97-94,,
2:59.0,,,97-94,,Defensive rebound by N. Jokic
2:50.0,,,97-94,,Shooting foul by P. Patterson (drawn by E. Mudiay)
2:50.0,Official timeout,,97-94,,
2:50.0,,,97-95,1,E. Mudiay makes free throw 1 of 2
2:50.0,,,97-96,1,E. Mudiay makes free throw 2 of 2
2:34.0,D. DeRozan misses 2-pt shot from 21 ft,,97-96,,
2:32.0,,,97-96,,Defensive rebound by N. Jokic
2:13.0,,,97-98,2,W. Chandler makes 2-pt shot from 16 ft
1:51.0,D. DeRozan makes 2-pt shot from 7 ft,2,99-98,,
1:31.0,,,99-98,,W. Chandler misses 2-pt shot from 7 ft
1:30.0,Defensive rebound by J. Valanciunas,,99-98,,
1:08.0,T. Ross misses 2-pt shot from 15 ft,,99-98,,
1:08.0,Offensive rebound by J. Valanciunas,,99-98,,
0:54.0,K. Lowry misses 3-pt shot from 26 ft,,99-98,,
0:53.0,Offensive rebound by Team,,99-98,,
0:53.0,,,99-98,,Loose ball foul by E. Mudiay (drawn by J. Valanciunas)
0:53.0,J. Valanciunas makes free throw 1 of 2,1,100-98,,
0:53.0,J. Valanciunas misses free throw 2 of 2,,100-98,,
0:52.0,Offensive rebound by J. Valanciunas,,100-98,,
0:33.0,D. DeRozan misses 2-pt shot from 15 ft,,100-98,,
0:32.0,,,100-98,,Defensive rebound by J. Nelson
0:32.0,,,100-98,,Denver full timeout
0:32.0,N. Powell enters the game for T. Ross,,100-98,,
0:24.0,,,100-98,,W. Chandler misses 2-pt shot from 14 ft
0:23.0,,,100-98,,Offensive rebound by W. Chandler
0:21.0,,,100-101,3,J. Nelson makes 3-pt shot from 25 ft (assist by W. Chandler)
0:21.0,Toronto full timeout,,100-101,,
0:21.0,T. Ross enters the game for N. Powell,,100-101,,
0:21.0,,,100-101,,K. Faried enters the game for J. Nelson
0:21.0,,,100-101,,A. Gee enters the game for N. Jokic
0:15.0,D. DeRozan makes 2-pt shot from 20 ft (assist by K. Lowry),2,102-101,,
0:15.0,,,102-101,,Denver full timeout
0:15.0,N. Powell enters the game for T. Ross,,102-101,,
0:15.0,,,102-101,,J. Nelson enters the game for K. Faried
0:15.0,,,102-101,,N. Jokic enters the game for A. Gee
0:13.0,Personal foul by N. Powell (drawn by W. Chandler),,102-101,,
0:13.0,,,102-102,1,W. Chandler makes free throw 1 of 2
0:13.0,,,102-102,,W. Chandler misses free throw 2 of 2
0:11.0,Defensive rebound by D. DeRozan,,102-102,,
0:01.0,D. DeRozan misses 2-pt shot from 18 ft,,102-102,,
0:00.0,Offensive rebound by Team,,102-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:38.0,P. Patterson misses 3-pt shot from 25 ft,,102-102,,
4:37.0,,,102-102,,Defensive rebound by D. Gallinari
4:21.0,,,102-104,2,N. Jokic makes 2-pt shot from 2 ft (assist by E. Mudiay)
4:03.0,Shooting foul by W. Chandler (drawn by D. DeRozan),,102-104,,
4:03.0,D. DeRozan makes free throw 1 of 2,1,103-104,,
4:03.0,D. DeRozan makes free throw 2 of 2,1,104-104,,
3:44.0,,,104-104,,N. Jokic misses 3-pt shot from 24 ft
3:43.0,Defensive rebound by P. Patterson,,104-104,,
3:37.0,,,104-104,,Personal foul by J. Nelson (drawn by K. Lowry)
3:30.0,D. DeRozan misses 2-pt shot from 14 ft,,104-104,,
3:28.0,,,104-104,,Defensive rebound by N. Jokic
3:18.0,,,104-104,,E. Mudiay misses 2-pt shot from 2 ft (block by J. Valanciunas)
3:16.0,Defensive rebound by J. Valanciunas,,104-104,,
2:56.0,D. DeRozan misses 2-pt shot from 1 ft,,104-104,,
2:55.0,,,104-104,,Defensive rebound by N. Jokic
2:41.0,Shooting block foul by P. Patterson (drawn by W. Chandler),,104-104,,
2:41.0,,,104-105,1,W. Chandler makes free throw 1 of 2
2:41.0,,,104-106,1,W. Chandler makes free throw 2 of 2
2:30.0,K. Lowry misses 3-pt shot from 26 ft,,104-106,,
2:29.0,,,104-106,,Defensive rebound by W. Chandler
2:12.0,,,104-106,,W. Chandler misses 2-pt shot from 9 ft
2:11.0,,,104-106,,Offensive rebound by W. Chandler
2:05.0,,,104-106,,D. Gallinari misses 3-pt shot from 27 ft
2:04.0,Defensive rebound by P. Patterson,,104-106,,
2:01.0,,,104-106,,Shooting block foul by E. Mudiay (drawn by K. Lowry)
2:01.0,K. Lowry misses free throw 1 of 2,,104-106,,
2:01.0,Offensive rebound by Team,,104-106,,
2:01.0,K. Lowry makes free throw 2 of 2,1,105-106,,
1:47.0,,,105-106,,D. Gallinari misses 3-pt shot from 26 ft
1:45.0,Defensive rebound by T. Ross,,105-106,,
1:36.0,Offensive charge foul by P. Patterson,,105-106,,
1:36.0,Turnover by P. Patterson (offensive foul),,105-106,,
1:36.0,,,105-106,,Denver full timeout
1:15.0,,,105-106,,D. Gallinari misses 2-pt shot from 23 ft
1:14.0,Defensive rebound by D. DeRozan,,105-106,,
1:05.0,D. DeRozan makes 2-pt shot from 2 ft,2,107-106,,
0:48.0,,,107-108,2,J. Nelson makes 2-pt shot from 21 ft (assist by W. Chandler)
0:38.0,T. Ross makes 3-pt shot from 25 ft (assist by K. Lowry),3,110-108,,
0:38.0,,,110-108,,Denver full timeout
0:34.0,,,110-108,,Turnover by E. Mudiay (bad pass)
0:15.0,Offensive foul by K. Lowry,,110-108,,
0:15.0,Turnover by K. Lowry (offensive foul),,110-108,,
0:15.0,,,110-108,,Denver full timeout
0:15.0,N. Powell enters the game for D. DeRozan,,110-108,,
0:11.0,,,110-108,,Turnover by J. Nelson (step out of bounds)
0:11.0,D. DeRozan enters the game for N. Powell,,110-108,,
0:08.0,,,110-108,,Personal take foul by E. Mudiay (drawn by K. Lowry)
0:08.0,K. Lowry makes free throw 1 of 2,1,111-108,,
0:08.0,K. Lowry makes free throw 2 of 2,1,112-108,,
0:08.0,N. Powell enters the game for D. DeRozan,,111-108,,
0:06.0,,,112-108,,Shooting foul by N. Powell (drawn by E. Mudiay)
0:06.0,,,112-109,1,E. Mudiay makes free throw 1 of 3
0:06.0,,,112-110,1,E. Mudiay makes free throw 2 of 3
0:06.0,,,112-111,1,E. Mudiay makes free throw 3 of 3
0:06.0,D. DeRozan enters the game for N. Powell,,112-110,,
0:06.0,,,112-110,,A. Gee enters the game for J. Nelson
0:06.0,,,112-110,,K. Faried enters the game for N. Jokic
0:03.0,,,112-111,,Personal foul by W. Chandler (drawn by J. Valanciunas)
0:03.0,J. Valanciunas makes free throw 1 of 2,1,113-111,,
0:03.0,J. Valanciunas misses free throw 2 of 2,,113-111,,
0:03.0,,,113-111,,J. Nelson enters the game for A. Gee
0:03.0,,,113-111,,N. Jokic enters the game for K. Faried
0:02.0,,,113-111,,Defensive rebound by N. Jokic
0:00.0,,,113-111,,E. Mudiay misses 3-pt shot from 60 ft
0:00.0,,,113-111,,Offensive rebound by Team
0:00.0,End of 1st overtime,,,,End of 1st overtime
