time,Miami,pts.away,score,pts.home,Philadelphia
3:22.0,,,44-41,2,R. Covington makes 2-pt shot from 2 ft
3:03.0,J. Richardson enters the game for R. McGruder,,44-41,,
3:02.0,Jump ball: G. Dragic vs. T. McConnell (J. Okafor gains possession),,,,Jump ball: G. Dragic vs. T. McConnell (J. Okafor gains possession)
3:02.0,Turnover by G. Dragic (lost ball; steal by T. McConnell),,44-41,,
2:49.0,,,44-41,,R. Covington misses 2-pt shot from 19 ft
2:47.0,Defensive rebound by L. Babbitt,,44-41,,
2:42.0,G. Dragic misses 2-pt shot from 22 ft,,44-41,,
2:40.0,Offensive rebound by H. Whiteside,,44-41,,
2:38.0,Turnover by H. Whiteside (bad pass; steal by T. McConnell),,44-41,,
2:33.0,Personal foul by H. Whiteside (drawn by J. Okafor),,44-41,,
2:33.0,,,44-41,,Philadelphia full timeout
2:33.0,,,44-41,,J. Okafor misses free throw 1 of 2
2:33.0,,,44-41,,Offensive rebound by Team
2:33.0,,,44-42,1,J. Okafor makes free throw 2 of 2
2:33.0,U. Haslem enters the game for H. Whiteside,,44-41,,
2:33.0,,,44-41,,D. Saric enters the game for E. Ilyasova
2:18.0,J. Richardson misses 2-pt shot from 19 ft,,44-42,,
2:16.0,,,44-42,,Defensive rebound by J. Okafor
2:11.0,,,44-42,,R. Covington misses 2-pt shot from 4 ft
2:06.0,,,44-42,,Offensive rebound by R. Covington
2:02.0,,,44-42,,N. Stauskas misses 3-pt shot from 28 ft
2:00.0,,,44-42,,Offensive rebound by R. Covington
1:57.0,,,44-42,,N. Stauskas misses 3-pt shot from 26 ft
1:55.0,Defensive rebound by U. Haslem,,44-42,,
1:45.0,,,44-42,,Shooting block foul by R. Covington (drawn by D. Waiters)
1:45.0,D. Waiters misses free throw 1 of 2,,44-42,,
1:45.0,Offensive rebound by Team,,44-42,,
1:45.0,D. Waiters makes free throw 2 of 2,1,45-42,,
1:24.0,,,45-42,,Turnover by N. Stauskas (bad pass)
1:11.0,D. Waiters misses 2-pt shot from 20 ft,,45-42,,
1:08.0,,,45-42,,Defensive rebound by N. Stauskas
0:55.0,,,45-42,,J. Okafor misses 2-pt shot from 4 ft
0:53.0,Defensive rebound by U. Haslem,,45-42,,
0:37.0,G. Dragic misses 3-pt shot from 26 ft,,45-42,,
0:35.0,,,45-42,,Defensive rebound by D. Saric
0:30.0,,,45-44,2,J. Okafor makes 2-pt shot from 1 ft (assist by T. McConnell)
0:30.0,,,45-44,,Shooting foul by U. Haslem (drawn by J. Okafor)
0:30.0,,,45-44,,J. Okafor misses free throw 1 of 1
0:29.0,,,45-44,,Offensive rebound by Team
0:29.0,,,45-44,,Philadelphia full timeout
0:05.0,,,45-46,2,R. Covington makes 2-pt shot from 1 ft (assist by T. McConnell)
0:02.0,D. Waiters misses 3-pt shot from 26 ft,,45-46,,
0:00.0,Offensive rebound by Team,,45-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,45-46,,J. Embiid misses 3-pt shot from 25 ft
11:45.0,Defensive rebound by G. Dragic,,45-46,,
11:38.0,D. Waiters misses 3-pt shot from 27 ft,,45-46,,
11:37.0,,,45-46,,Defensive rebound by E. Ilyasova
11:31.0,,,45-49,3,G. Henderson makes 3-pt shot from 26 ft (assist by S. Rodriguez)
11:11.0,J. Richardson misses 3-pt shot from 24 ft,,45-49,,
11:09.0,Offensive rebound by G. Dragic,,45-49,,
10:57.0,Shooting foul by R. Covington (drawn by H. Whiteside),,45-49,,
10:57.0,H. Whiteside makes free throw 1 of 2,1,46-49,,
10:57.0,H. Whiteside makes free throw 2 of 2,1,47-49,,
10:48.0,,,47-51,2,S. Rodriguez makes 2-pt shot from 8 ft
10:21.0,H. Whiteside misses 2-pt shot from 8 ft,,47-51,,
10:20.0,,,47-51,,Defensive rebound by E. Ilyasova
10:07.0,,,47-51,,J. Embiid misses 2-pt shot from 11 ft
10:05.0,Defensive rebound by D. Waiters,,47-51,,
9:58.0,D. Williams misses 2-pt shot from 2 ft,,47-51,,
9:56.0,,,47-51,,Defensive rebound by E. Ilyasova
9:50.0,,,47-53,2,J. Embiid makes 2-pt shot from 1 ft (assist by S. Rodriguez)
9:26.0,D. Waiters makes 2-pt shot from 3 ft,2,49-53,,
9:26.0,Shooting foul by E. Ilyasova (drawn by D. Waiters),,49-53,,
9:26.0,D. Waiters makes free throw 1 of 1,1,50-53,,
9:06.0,,,50-56,3,E. Ilyasova makes 3-pt shot from 23 ft
8:37.0,Turnover by Team (shot clock),,50-56,,
8:26.0,,,50-56,,Turnover by S. Rodriguez (lost ball; steal by G. Dragic)
8:18.0,H. Whiteside misses 2-pt shot from 5 ft (block by J. Embiid),,50-56,,
8:16.0,,,50-56,,Defensive rebound by J. Embiid
8:11.0,,,50-56,,Turnover by R. Covington (lost ball; steal by G. Dragic)
8:02.0,D. Williams makes 3-pt shot from 27 ft (assist by G. Dragic),3,53-56,,
7:50.0,,,53-59,3,J. Embiid makes 3-pt shot from 26 ft (assist by S. Rodriguez)
7:38.0,,,53-59,,Personal foul by S. Rodriguez (drawn by J. Richardson)
7:38.0,,,53-59,,J. Okafor enters the game for J. Embiid
7:28.0,D. Waiters makes 2-pt shot from 3 ft,2,55-59,,
7:07.0,,,55-59,,R. Covington misses 2-pt shot from 2 ft
7:05.0,,,55-59,,Offensive rebound by R. Covington
6:55.0,,,55-59,,J. Okafor misses 2-pt shot from 18 ft
6:54.0,Defensive rebound by H. Whiteside,,55-59,,
6:46.0,,,55-59,,Personal foul by G. Henderson (drawn by D. Williams)
6:46.0,,,55-59,,J. Bayless enters the game for S. Rodriguez
6:39.0,G. Dragic misses 2-pt shot from 2 ft,,55-59,,
6:37.0,,,55-59,,Defensive rebound by J. Okafor
6:22.0,Personal foul by J. Richardson (drawn by G. Henderson),,55-59,,
6:22.0,,,55-59,,N. Stauskas enters the game for G. Henderson
6:16.0,,,55-59,,R. Covington misses 3-pt shot from 27 ft
6:14.0,Defensive rebound by D. Waiters,,55-59,,
6:11.0,D. Waiters makes 2-pt shot from 2 ft,2,57-59,,
6:11.0,Shooting foul by R. Covington (drawn by D. Waiters),,57-59,,
6:11.0,D. Waiters makes free throw 1 of 1,1,58-59,,
6:11.0,,,58-59,,Philadelphia full timeout
6:11.0,T. Johnson enters the game for J. Richardson,,57-59,,
6:11.0,,,57-59,,H. Thompson enters the game for R. Covington
5:56.0,,,58-62,3,N. Stauskas makes 3-pt shot from 28 ft (assist by J. Okafor)
5:56.0,,,58-62,,Shooting foul by T. Johnson (drawn by N. Stauskas)
5:56.0,,,58-63,1,N. Stauskas makes free throw 1 of 1
5:40.0,H. Whiteside makes 2-pt shot from 6 ft,2,60-63,,
5:24.0,,,60-63,,Turnover by N. Stauskas (step out of bounds)
5:10.0,Turnover by H. Whiteside (3 sec),,60-63,,
5:10.0,,,60-63,,D. Saric enters the game for E. Ilyasova
4:59.0,Personal foul by D. Waiters (drawn by J. Okafor),,60-63,,
4:52.0,,,60-66,3,D. Saric makes 3-pt shot from 26 ft (assist by J. Bayless)
4:37.0,Shooting foul by J. Okafor (drawn by D. Waiters),,60-66,,
4:37.0,D. Waiters makes free throw 1 of 2,1,61-66,,
4:37.0,D. Waiters makes free throw 2 of 2,1,62-66,,
4:37.0,J. Johnson enters the game for D. Williams,,61-66,,
4:22.0,,,62-66,,D. Saric misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by Team,,62-66,,
4:09.0,H. Whiteside makes 2-pt shot from 3 ft (assist by G. Dragic),2,64-66,,
4:09.0,Shooting foul by J. Okafor (drawn by H. Whiteside),,64-66,,
4:09.0,H. Whiteside makes free throw 1 of 1,1,65-66,,
4:00.0,,,65-68,2,J. Bayless makes 2-pt shot from 1 ft
3:44.0,H. Whiteside makes 2-pt shot from 3 ft (assist by G. Dragic),2,67-68,,
3:44.0,Shooting foul by N. Stauskas (drawn by H. Whiteside),,67-68,,
3:44.0,H. Whiteside makes free throw 1 of 1,1,68-68,,
3:34.0,,,68-68,,J. Bayless misses 2-pt shot from 10 ft
3:32.0,Defensive rebound by H. Whiteside,,68-68,,
3:19.0,D. Waiters misses 2-pt shot from 19 ft,,68-68,,
3:18.0,,,68-68,,Defensive rebound by J. Bayless
3:06.0,,,68-70,2,J. Okafor makes 2-pt shot from 10 ft (assist by J. Bayless)
3:06.0,Miami full timeout,,68-70,,
2:53.0,J. Johnson misses 3-pt shot from 27 ft,,68-70,,
2:51.0,Offensive rebound by T. Johnson,,68-70,,
2:50.0,G. Dragic misses 3-pt shot from 27 ft,,68-70,,
2:47.0,,,68-70,,Defensive rebound by N. Stauskas
2:31.0,,,68-72,2,J. Okafor makes 2-pt shot from 4 ft (assist by J. Bayless)
2:14.0,H. Whiteside misses 2-pt shot from 4 ft,,68-72,,
2:10.0,Offensive rebound by H. Whiteside,,68-72,,
2:10.0,H. Whiteside makes 2-pt shot from 2 ft,2,70-72,,
1:55.0,,,70-74,2,J. Okafor makes 2-pt shot from 3 ft (assist by J. Bayless)
1:43.0,G. Dragic makes 2-pt shot from 1 ft,2,72-74,,
1:27.0,,,72-74,,Shooting foul by G. Dragic (drawn by J. Bayless)
1:27.0,,,72-75,1,J. Bayless makes free throw 1 of 2
1:27.0,,,72-76,1,J. Bayless makes free throw 2 of 2
1:27.0,,,72-75,,J. Embiid enters the game for J. Okafor
1:27.0,,,72-75,,T. McConnell enters the game for H. Thompson
1:27.0,R. McGruder enters the game for H. Whiteside,,72-75,,
1:27.0,J. McRoberts enters the game for D. Waiters,,72-75,,
1:27.0,J. Richardson enters the game for G. Dragic,,72-75,,
1:10.0,J. Johnson makes 2-pt shot at rim,2,74-76,,
0:54.0,,,74-76,,Turnover by J. Bayless (lost ball; steal by J. Richardson)
0:51.0,Shooting foul by T. McConnell (drawn by R. McGruder),,74-76,,
0:51.0,R. McGruder misses free throw 1 of 2,,74-76,,
0:51.0,Offensive rebound by Team,,74-76,,
0:51.0,R. McGruder misses free throw 2 of 2,,74-76,,
