time,Sacramento,pts.away,score,pts.home,Toronto
3:37.0,,,87-88,,Defensive rebound by P. Patterson
3:24.0,,,87-88,,D. DeRozan misses 2-pt shot from 20 ft
3:24.0,Defensive rebound by Team,,87-88,,
3:24.0,,,87-88,,Loose ball foul by P. Patterson (drawn by M. Barnes)
3:24.0,M. Barnes misses free throw 1 of 2,,87-88,,
3:24.0,Offensive rebound by Team,,87-88,,
3:24.0,M. Barnes makes free throw 2 of 2,1,88-88,,
3:12.0,,,88-88,,K. Lowry misses 2-pt shot from 3 ft
3:11.0,Defensive rebound by Team,,88-88,,
2:55.0,D. Cousins makes 2-pt shot from 3 ft (assist by T. Lawson),2,90-88,,
2:50.0,,,90-88,,Toronto full timeout
2:39.0,,,90-88,,Turnover by D. DeRozan (lost ball; steal by D. Cousins)
2:20.0,D. Cousins misses 2-pt shot from 8 ft,,90-88,,
2:19.0,,,90-88,,Defensive rebound by K. Lowry
2:14.0,,,90-88,,Shooting foul by T. Lawson (drawn by D. DeRozan)
2:14.0,,,90-88,,D. DeRozan misses free throw 1 of 2
2:14.0,,,90-88,,Offensive rebound by Team
2:14.0,,,90-88,,D. DeRozan misses free throw 2 of 2
2:13.0,Defensive rebound by M. Barnes,,90-88,,
1:54.0,,,90-88,,Personal foul by K. Lowry (drawn by R. Gay)
1:54.0,R. Gay makes free throw 1 of 2,1,91-88,,
1:54.0,R. Gay makes free throw 2 of 2,1,92-88,,
1:34.0,,,92-88,,D. DeRozan misses 2-pt shot from 3 ft (block by D. Cousins)
1:33.0,Defensive rebound by M. Barnes,,92-88,,
1:13.0,R. Gay misses 2-pt shot from 17 ft,,92-88,,
1:12.0,,,92-88,,Defensive rebound by P. Patterson
1:01.0,,,92-88,,N. Powell misses 3-pt shot from 23 ft
1:00.0,Defensive rebound by D. Cousins,,92-88,,
0:56.0,Sacramento full timeout,,92-88,,
0:41.0,D. Cousins misses 2-pt shot from 11 ft,,92-88,,
0:40.0,,,92-88,,Defensive rebound by J. Poeltl
0:30.0,,,92-88,,K. Lowry misses 3-pt shot from 26 ft
0:29.0,Defensive rebound by T. Lawson,,92-88,,
0:27.0,,,92-88,,Personal foul by P. Patterson (drawn by T. Lawson)
0:27.0,T. Lawson makes free throw 1 of 2,1,93-88,,
0:27.0,T. Lawson makes free throw 2 of 2,1,94-88,,
0:27.0,,,94-88,,Toronto full timeout
0:23.0,,,94-88,,K. Lowry misses 3-pt shot from 24 ft
0:22.0,Defensive rebound by R. Gay,,94-88,,
0:18.0,,,94-88,,Personal foul by K. Lowry (drawn by R. Gay)
0:18.0,R. Gay misses free throw 1 of 2,,94-88,,
0:18.0,Offensive rebound by Team,,94-88,,
0:18.0,R. Gay makes free throw 2 of 2,1,95-88,,
0:18.0,,,95-88,,Toronto full timeout
0:13.0,,,95-91,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan)
0:12.0,,,95-91,,Personal take foul by J. Poeltl (drawn by D. Cousins)
0:12.0,D. Cousins makes free throw 1 of 2,1,96-91,,
0:12.0,D. Cousins misses free throw 2 of 2,,96-91,,
0:12.0,,,95-91,,L. Nogueira enters the game for J. Poeltl
0:12.0,,,96-91,,C. Joseph enters the game for N. Powell
0:11.0,,,96-91,,Defensive rebound by P. Patterson
0:03.0,,,96-91,,K. Lowry misses 3-pt shot from 29 ft
0:02.0,Defensive rebound by A. Afflalo,,96-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
