time,Philadelphia,pts.away,score,pts.home,Washington
3:49.0,Offensive rebound by Team,,82-101,,
3:49.0,J. Okafor misses free throw 2 of 2,,82-101,,
3:49.0,,,82-101,,Defensive rebound by J. Smith
3:33.0,,,82-101,,T. Satoransky misses 2-pt shot from 5 ft
3:32.0,Defensive rebound by T. Luwawu-Cabarrot,,82-101,,
3:17.0,T. Luwawu-Cabarrot misses 2-pt shot from 1 ft,,82-101,,
3:17.0,Offensive rebound by T. Luwawu-Cabarrot,,82-101,,
3:14.0,T. Luwawu-Cabarrot misses 2-pt shot from 2 ft,,82-101,,
3:13.0,,,82-101,,Defensive rebound by T. Burke
3:06.0,,,82-104,3,J. Smith makes 3-pt shot from 26 ft (assist by S. Mac)
3:04.0,Philadelphia full timeout,,82-104,,
3:04.0,,,82-104,,D. Ochefu enters the game for J. Smith
2:47.0,D. Saric makes 3-pt shot from 27 ft (assist by N. Stauskas),3,85-104,,
2:29.0,,,85-106,2,D. Ochefu makes 2-pt shot from 9 ft
2:17.0,T. Luwawu-Cabarrot misses 2-pt shot from 1 ft,,85-106,,
2:17.0,Offensive rebound by J. Okafor,,85-106,,
2:15.0,J. Okafor makes 2-pt shot from 1 ft,2,87-106,,
1:58.0,,,87-106,,K. Oubre misses 2-pt shot from 20 ft
1:57.0,Defensive rebound by Team,,87-106,,
1:40.0,,,87-106,,Personal foul by D. Ochefu (drawn by J. Okafor)
1:40.0,J. Okafor makes free throw 1 of 2,1,88-106,,
1:40.0,J. Okafor makes free throw 2 of 2,1,89-106,,
1:19.0,,,89-106,,Turnover by D. Ochefu (lost ball; steal by C. Randle)
1:08.0,N. Stauskas misses 3-pt shot from 25 ft,,89-106,,
1:07.0,Offensive rebound by T. Luwawu-Cabarrot,,89-106,,
1:04.0,Shooting foul by D. Ochefu (drawn by D. Saric),,89-106,,
1:04.0,D. Saric misses free throw 1 of 2,,89-106,,
1:04.0,Offensive rebound by Team,,89-106,,
1:04.0,D. Saric makes free throw 2 of 2,1,90-106,,
0:52.0,,,90-106,,T. Burke misses 3-pt shot from 26 ft
0:51.0,,,90-106,,Offensive rebound by T. Satoransky
0:43.0,,,90-106,,Shooting foul by T. Luwawu-Cabarrot (drawn by S. Mac)
0:43.0,,,90-106,,S. Mac misses free throw 1 of 2
0:43.0,,,90-106,,Offensive rebound by Team
0:43.0,,,90-107,1,S. Mac makes free throw 2 of 2
0:34.0,C. Randle makes 3-pt shot from 27 ft,3,93-107,,
0:16.0,,,93-109,2,T. Burke makes 2-pt shot from 6 ft
0:14.0,Turnover by J. Okafor (bad pass; steal by S. Mac),,93-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
