time,New York,pts.away,score,pts.home,Golden State
4:18.0,,,82-98,,I. Clark enters the game for S. Curry
4:02.0,,,82-98,,S. Livingston misses 2-pt shot from 14 ft
4:00.0,Defensive rebound by W. Hernangomez,,82-98,,
3:47.0,J. Holiday misses 3-pt shot from 25 ft (block by S. Livingston),,82-98,,
3:47.0,,,82-98,,Defensive rebound by D. Green
3:38.0,,,82-98,,D. Green misses 3-pt shot from 27 ft
3:38.0,,,82-98,,Offensive rebound by K. Looney
3:27.0,Violation by W. Hernangomez (kicked ball),,82-98,,
3:21.0,,,82-98,,P. McCaw misses 2-pt shot from 2 ft
3:19.0,,,82-98,,Offensive rebound by D. Green
3:19.0,,,82-98,,D. Green misses 2-pt shot from 2 ft
3:17.0,Defensive rebound by W. Hernangomez,,82-98,,
3:10.0,Turnover by B. Jennings (lost ball),,82-98,,
2:49.0,,,82-98,,Turnover by P. McCaw (bad pass; steal by J. Holiday)
2:43.0,K. Porzingis misses 2-pt shot from 8 ft,,82-98,,
2:41.0,Offensive rebound by K. Porzingis,,82-98,,
2:41.0,K. Porzingis makes 2-pt shot at rim,2,84-98,,
2:35.0,,,84-98,,Golden State full timeout
2:35.0,New York full timeout,,84-98,,
2:35.0,,,84-98,,J. McAdoo enters the game for D. Green
2:27.0,,,84-98,,Turnover by I. Clark (bad pass; steal by J. Holiday)
2:22.0,R. Baker makes 2-pt shot from 1 ft (assist by J. Holiday),2,86-98,,
2:02.0,,,86-98,,P. McCaw misses 3-pt shot from 25 ft
2:02.0,,,86-98,,Offensive rebound by Team
1:58.0,,,86-98,,I. Clark misses 2-pt shot from 12 ft (block by J. Holiday)
1:56.0,Defensive rebound by B. Jennings,,86-98,,
1:54.0,Shooting foul by K. Looney (drawn by W. Hernangomez),,86-98,,
1:54.0,W. Hernangomez misses free throw 1 of 2,,86-98,,
1:54.0,Offensive rebound by Team,,86-98,,
1:54.0,W. Hernangomez misses free throw 2 of 2,,86-98,,
1:54.0,,,86-98,,Defensive rebound by J. McAdoo
1:35.0,,,86-98,,Shooting foul by K. Porzingis (drawn by K. Looney)
1:35.0,,,86-99,1,K. Looney makes free throw 1 of 2
1:35.0,,,86-99,,K. Looney misses free throw 2 of 2
1:35.0,M. Ndour enters the game for K. Porzingis,,86-99,,
1:35.0,S. Vujacic enters the game for B. Jennings,,86-99,,
1:35.0,M. Plumlee enters the game for W. Hernangomez,,86-99,,
1:33.0,,,86-99,,Offensive rebound by K. Looney
1:14.0,,,86-101,2,S. Livingston makes 2-pt shot from 16 ft
1:04.0,S. Vujacic misses 3-pt shot from 27 ft,,86-101,,
1:04.0,,,86-101,,Defensive rebound by K. Looney
0:46.0,,,86-103,2,I. Clark makes 2-pt shot from 10 ft (assist by S. Livingston)
0:31.0,J. Holiday makes 2-pt shot at rim,2,88-103,,
0:09.0,,,88-103,,Turnover by I. Clark (lost ball; steal by J. Holiday)
0:04.0,M. Ndour makes 2-pt shot from 1 ft (assist by R. Baker),2,90-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
